subject_id,eta,rho,q_d_n,q_d,q_s_n,q_s,cost_stop_error,inv_temp
NDAR_INVDMT3XG3K,0.6205402,0.24802783,0.95066476,0.97462773,0.02834619,0.7589781,1.5106456,58.966198
NDAR_INVZ4V1KGHH,3.3328831,0.5265777,0.730574,0.7127651,0.030174613,0.61340517,1.6851686,53.470856
NDAR_INVTC53X138,0.22917634,0.83137673,0.9547634,0.9881625,0.018011784,0.65291876,1.810986,62.558052
NDAR_INVK4JJ20YY,0.4689396,0.3884378,0.8932158,0.85492957,0.028158857,0.7225831,1.6443526,29.322512
NDAR_INVBTWHMF8T,0.04218012,0.7534884,0.85366035,0.86039853,0.04482786,0.78874743,1.692725,22.405592
NDAR_INV7L9EAFEX,0.87062174,0.8061671,0.9148914,0.9349476,0.016537007,0.6902296,1.7054089,42.206905
NDAR_INVC2V6LPG4,0.4898879,0.24831489,0.9265917,0.9309789,0.038432416,0.7257109,1.5149283,55.487465
NDAR_INVVYY8ZHN5,1.4963727,0.8398406,0.8850521,0.9597206,0.021123406,0.631312,1.8338963,70.54588
NDAR_INV0T41MTFH,-0.0029011415,0.6949019,0.8383615,0.90747756,0.027730756,0.7457533,1.6831971,40.632515
NDAR_INVLX0YXH5F,2.3159614,0.4898037,0.90796435,0.91714156,0.025884308,0.7542958,1.670674,67.99183
NDAR_INVWAFKK7PK,-0.026218079,0.27049628,0.90118086,0.9096271,0.033633072,0.7178824,1.5725937,28.25903
NDAR_INVLG9JZFNH,1.7173039,0.6512753,0.6146758,0.7819053,0.031926963,0.9370861,1.9579841,95.55526
NDAR_INVDTHJM3Y9,0.2982063,0.39396107,0.9360916,0.97682405,0.017747473,0.6992759,1.692593,49.884953
NDAR_INVB2ZN28L8,4.4040394,0.58768284,0.92323005,0.90368396,0.028719874,0.71190906,1.7208602,74.443214
NDAR_INVY60AA8PN,-0.07986527,0.5365419,0.73904026,0.8575754,0.068211816,0.8912162,1.7469624,16.737125
NDAR_INVDAMXKG0G,5.2627077,0.8378754,0.9481422,0.8680824,0.02571897,0.6690756,1.6337786,59.17486
NDAR_INVU3ZHJV5Z,0.51395476,0.5702907,0.92047614,0.87600434,0.029452978,0.64457226,1.7124451,61.471622
NDAR_INV8K2UWB1D,0.18356624,0.5199043,0.8537719,0.8159162,0.04033078,0.6193658,1.7058806,17.12944
NDAR_INVE4YNZCW7,1.7590086,0.8251742,0.92215633,0.8958385,0.018408222,0.6526732,1.7911748,71.29537
NDAR_INV1JERB432,0.6375164,0.4662701,0.90253305,0.8739449,0.02573991,0.6924007,1.6282197,24.741789
NDAR_INVH5XZL20U,0.09083347,0.8183975,0.8754899,0.89116853,0.025730101,0.7037417,1.8149921,71.92365
NDAR_INV6AR8A46Z,0.5784364,0.7191045,0.87755793,0.8024601,0.0386182,0.73826873,1.6738249,59.82959
NDAR_INVUJ7CJMWD,0.3943041,0.87370986,0.5000194,0.7592289,0.017542016,0.9215182,1.8317257,85.350914
NDAR_INV3YJA47GG,0.7053561,0.5750892,0.9109637,0.91368294,0.022680797,0.6352591,1.583101,25.11571
NDAR_INV39Z1U19N,0.3076282,0.75504106,0.9105831,0.89811647,0.024377203,0.71161914,1.6634408,41.80512
NDAR_INVXF3EU2H1,0.4696274,0.5518993,0.86206615,0.8858171,0.029888367,0.73029095,1.7015684,41.46389
NDAR_INVHWPUPM4D,-0.14603174,0.72773796,0.78612125,0.92078906,0.05568216,0.87204814,1.6592228,32.09662
