subject_id,eta,gamma,q_d_n,q_d,q_s_n,q_s,cost_stop_error,inv_temp
NDAR_INVDMT3XG3K,0.8318311,2.9472353,0.9484499,0.9845334,0.027841998,0.74336535,1.4640983,55.15472
NDAR_INVZ4V1KGHH,2.5166929,3.2552876,0.887335,0.819788,0.024004694,0.6461319,1.6572236,65.118484
NDAR_INVTC53X138,0.24064824,3.4034967,0.6999796,0.7871059,0.032344896,0.8123902,1.4627976,83.84736
NDAR_INVK4JJ20YY,0.5271389,3.4077673,0.9132534,0.88516825,0.03237763,0.67071503,1.6033128,22.984426
NDAR_INVBTWHMF8T,0.08822945,4.2881694,0.87802225,0.8889593,0.027764184,0.717023,1.6983243,18.159672
NDAR_INV7L9EAFEX,0.43233985,3.2337513,0.8574688,0.9219476,0.020949721,0.65502524,1.6715472,37.19292
NDAR_INVC2V6LPG4,0.46193576,2.9766772,0.93097484,0.9446976,0.033654135,0.7381835,1.4374094,46.96559
NDAR_INVVYY8ZHN5,0.6248539,3.1797829,0.79899585,0.9238218,0.035717193,0.66437256,1.7825845,79.14379
NDAR_INV0T41MTFH,0.20488611,3.646068,0.8311435,0.9009799,0.028713882,0.7155631,1.7326665,38.70295
NDAR_INVLX0YXH5F,1.4308821,3.3212793,0.87175256,0.8797986,0.024189396,0.79626215,1.5755553,67.12307
NDAR_INVWAFKK7PK,0.5217757,3.0260677,0.9303459,0.94299257,0.04818067,0.7544197,1.4440603,37.272636
NDAR_INVLG9JZFNH,0.54324466,3.0927718,0.45185906,0.697914,0.021573678,0.9480053,1.7888786,92.37901
NDAR_INVDTHJM3Y9,0.6142913,3.1040132,0.9329619,0.9611019,0.025919253,0.73306966,1.5456231,53.608242
NDAR_INVB2ZN28L8,2.8017893,2.846967,0.88995963,0.8776816,0.024329219,0.7061837,1.7079539,79.459915
NDAR_INVY60AA8PN,0.10467847,3.5850348,0.7541029,0.87367797,0.045322437,0.8225581,1.6131495,18.381739
NDAR_INVDAMXKG0G,4.0277557,2.7618623,0.47509387,0.62612844,0.051712725,0.9637277,1.3575999,82.05319
NDAR_INVU3ZHJV5Z,0.22254571,3.4048672,0.9188847,0.88929534,0.018824007,0.6314317,1.750663,47.63239
NDAR_INV8K2UWB1D,0.34920585,3.4392002,0.87815136,0.8552209,0.03015,0.62525475,1.7395768,17.95557
NDAR_INVE4YNZCW7,0.5741357,3.6213863,0.87943554,0.88120353,0.028209306,0.6385484,1.7624391,63.612843
NDAR_INV1JERB432,0.45786086,3.5821943,0.83285815,0.7916832,0.021047058,0.8056624,1.3164591,29.059969
NDAR_INVH5XZL20U,-0.04178545,3.9730117,0.8790756,0.89505935,0.02075955,0.7509347,1.7982185,64.23585
NDAR_INV6AR8A46Z,0.21654484,3.4587831,0.9066731,0.84360456,0.03266393,0.75960994,1.6137457,55.40117
NDAR_INVUJ7CJMWD,0.12659824,3.9140906,0.5489562,0.7822637,0.01867366,0.8813466,1.6995738,84.01433
NDAR_INV3YJA47GG,1.4101975,2.9189906,0.9079919,0.91627264,0.027409911,0.6311994,1.6607094,35.193584
NDAR_INV39Z1U19N,0.31017032,3.4217331,0.8774482,0.86178935,0.025344469,0.74597144,1.509111,45.723766
NDAR_INVXF3EU2H1,0.95907754,2.792013,0.8834911,0.91591036,0.02231193,0.7044908,1.7072735,48.524952
NDAR_INVHWPUPM4D,-0.018088344,3.9574227,0.7764501,0.9395485,0.022421898,0.8594755,1.6313707,34.58472
NDAR_INV89FBL8RM,0.38380516,3.170718,0.21013603,0.6368677,0.029988984,0.9804394,1.4805707,84.92752
NDAR_INVEYTXWY7X,0.89590305,2.8121562,0.88605994,0.8673699,0.029343784,0.70063275,1.7292664,33.13482
NDAR_INVAVJXHAEC,1.7743506,2.9224057,0.90743834,0.8016308,0.02621378,0.7748085,1.329123,65.945076
NDAR_INVRUVFBX1L,0.2914983,3.1827137,0.83383423,0.88484293,0.030813534,0.7309243,1.6756564,23.863655
NDAR_INV87XG4274,0.23707119,3.4893477,0.91220045,0.8248905,0.02538841,0.6846956,1.6900991,37.55572
NDAR_INVABT64EYE,0.07079004,3.7669578,0.82549214,0.88070667,0.028919773,0.7746925,1.6889592,34.90145
NDAR_INV3DDJKN73,1.6348225,3.0523703,0.9708318,0.9087682,0.022912337,0.6152924,1.5976669,47.98048
NDAR_INVXDHB28GU,0.046661463,3.7234375,0.8965642,0.8847354,0.021429894,0.8740889,1.5822138,42.543755
NDAR_INVY2BPM655,0.518881,3.1768231,0.87588847,0.8652668,0.025163855,0.7092402,1.6360066,16.898624
NDAR_INV8UF58XPK,1.5259879,3.2929697,0.78725827,0.81778026,0.04369885,0.6941677,1.6073788,62.50832
NDAR_INVJZRPKRLG,1.0384058,3.2823234,0.847518,0.7780353,0.0176479,0.77142733,1.5785688,37.243713
NDAR_INVN3YUHW7U,0.31118682,2.9483998,0.7581477,0.91555977,0.034776807,0.79474235,1.5940067,38.79818
NDAR_INVLKDHWPWF,0.43000284,3.2733893,0.83370626,0.8607323,0.023623822,0.6985293,1.7321503,38.909195
NDAR_INVD0Y8TLGZ,0.3364925,3.5170908,0.8895917,0.8100453,0.032276873,0.67662656,1.7186674,22.868587
NDAR_INVV00NCT0L,0.4322549,3.1823082,0.9119708,0.97663367,0.014759405,0.6482112,1.6432467,38.483807
NDAR_INVHXY3TJAT,0.32492903,3.7089925,0.2290768,0.67509145,0.055299446,0.67151666,1.904826,96.96512
NDAR_INVXTT06FAP,0.7977079,2.8264232,0.895326,0.89864147,0.013789346,0.61234444,1.7437994,38.719257
NDAR_INV0RKF6F11,0.18362698,3.6557343,0.85576236,0.8554081,0.026637051,0.6706066,1.7712219,21.070902
NDAR_INVREMB1VEK,0.24304143,3.6419032,0.7870385,0.8618938,0.04060086,0.611564,1.8733293,75.335464
NDAR_INVEYHJ6V3Z,0.011783551,3.811114,0.6415804,0.9151146,0.047225174,0.86342275,1.4815431,25.690521
NDAR_INVL0WTR0H9,1.0461254,2.9466007,0.9397838,0.9692172,0.03786564,0.77743936,1.1495211,42.218845
NDAR_INVHZ1URTX6,0.26342154,3.194137,0.9119889,0.9567965,0.04176003,0.6660157,1.4593124,40.945374
NDAR_INV43TD8G0E,0.34592268,3.4549937,0.8311685,0.8649198,0.02639226,0.6446096,1.7473938,19.626694
NDAR_INV29Y8ZRVC,0.44895577,3.2020788,0.9551362,0.997529,0.035613246,0.80449504,1.3901074,48.10336
NDAR_INVE3MEFJL5,1.2693654,3.066794,0.9143847,0.90225965,0.02580185,0.6667121,1.5917305,21.41282
NDAR_INVL8EJK2VY,0.66009825,3.1533408,0.9168653,0.8311209,0.03067645,0.6442147,1.4945385,28.374628
NDAR_INVGVPPRTDN,0.22027609,3.2600977,0.82357395,0.8469858,0.0347726,0.7463705,1.71306,16.65645
NDAR_INVMTDA24C7,0.24934182,3.6696386,0.8570948,0.86221075,0.057650354,0.7359743,1.7028478,43.183144
NDAR_INVYM29ZAGR,0.41730466,3.477949,0.7704459,0.8265481,0.018494735,0.75661004,1.7376555,30.005066
NDAR_INV2P5N7AMV,0.11779921,3.880371,0.86883914,0.9121314,0.01438283,0.63788915,1.761054,16.110518
NDAR_INVF5G6PA74,1.5460682,3.0584548,0.8057143,0.83039236,0.02166813,0.78216326,1.5704416,46.290035
NDAR_INV2T5K2NDJ,0.4857363,3.1607327,0.8582276,0.8450836,0.031843726,0.6516386,1.6301051,42.80456
NDAR_INV9PLKGRTV,0.40001795,3.6032162,0.7050772,0.8528948,0.02448059,0.6132782,1.8419849,55.640553
NDAR_INVNBMXW84N,0.040311806,3.9746335,0.87482345,0.91025925,0.022706555,0.76788497,1.613194,23.565714
NDAR_INVH1WJETZ1,0.48316792,3.0146818,0.8898828,0.88350385,0.03195727,0.65954113,1.6952852,28.309017
NDAR_INVF5JET3CJ,3.364554,2.8485181,0.6818654,0.6929813,0.079142004,0.98930573,1.7626536,85.50289
