go_run_length,n_at_risk,n_events,empirical_hazard,se,fitted_hazard,fitted_pmf
1,303660,5536,0.01823091615622736,0.00024278124210202895,0.07252758332373088,0.07252758332373088
2,298124,42320,0.14195435456387276,0.0006391916392590823,0.14257722468970535,0.1322364431459565
3,255804,64941,0.2538701505840409,0.0008605168167028583,0.1895734673061642,0.15075564082873438
4,190863,54602,0.28607954396609087,0.0010344450898569356,0.227324974738488,0.1465064753508386
5,136261,43598,0.31995948950910386,0.0012636566990290759,0.2594647269947937,0.129206650948054
6,92663,34754,0.37505800589231947,0.0015904348966793262,0.28769287782116837,0.1060916988560614
7,57909,14575,0.2516879932307586,0.0018034311761811793,0.31298041466296533,0.08221228927374732
8,43334,8196,0.18913555176074215,0.00188124918863399,0.335947863891351,0.06062623268973162
9,35138,9869,0.28086402185667936,0.0023975354890092807,0.3570220441051599,0.0427844455522951
10,25269,8050,0.3185721635205192,0.002931027006732326,0.3765122697214067,0.029011226734814953
11,17219,4432,0.25739009233985716,0.003331749332631561,0.3946516400170571,0.01895958308085355
12,12787,1956,0.1529678579807617,0.0031832130411198014,0.4116212474807469,0.011970658070071607
13,10831,1949,0.17994645000461637,0.0036911225980860375,0.4275652539495114,0.007316099907072394
14,8882,1989,0.2239360504390903,0.00442339148461549,0.4426007386426758,0.004335261947539974
15,6893,2433,0.35296677789061365,0.005756069990664976,0.4568243856174501,0.0024941287991058787
16,4460,1570,0.35201793721973096,0.007151488745497144,0.4703171735810452,0.0013947639050556583
17,2890,1225,0.42387543252595156,0.00919238910074777,0.48314775536348675,0.0007589369909238036
18,1665,397,0.23843843843843843,0.010443198269600393,0.49537495043153557,0.00040218530970871934
19,1268,402,0.31703470031545744,0.013067517555834355,0.5070496205964743,0.00020773583917619093
20,866,866,1.0,0.0,0.5182161066073958,0.00010465863807203527
