file_name,MODEL_TAG,PARAM_RANGES,FIXED_PARAMS
tesbi_e2e_6p_v1.py,6p_v1,"{ ""q_d"": (0.5, 1.0), ""q_s"": (0.5, 1.0), ""tau"": (4.0, 16.0), ""cost_stop_error"": (1.0, 50.0), ""cost_go_error"": (1.0, 50.0), ""cost_time"": (0.01, 0.5) }","{ ""rate_stop_trial"": 1.0 / 6.0, ""q_d_n"": 0.05, ""q_s_n"": 0.05, ""cost_go_missing"": 1.0, ""inv_temp"": 20.0 }"
tesbi_e2e_8p_v1.py,8p_v1,"{ ""q_d"": (0.5, 1.0), ""q_s"": (0.5, 1.0), ""tau"": (4.0, 16.0), ""inv_temp"": (10.0, 100.0), ""cost_stop_error"": (1.0, 50.0), ""cost_go_error"": (1.0, 50.0), ""cost_go_missing"": (1.0, 50.0), ""cost_time"": (0.01, 0.5) }","{ ""rate_stop_trial"": 1.0 / 6.0, ""q_d_n"": 0.05, ""q_s_n"": 0.05 }"
tesbi_e2e_6p_v4.py,6p_v4,"{ ""q_d"": (0.5, 1.0), ""q_s"": (0.5, 1.0), ""tau"": (4.0, 16.0), ""cost_stop_error"": (1.0, 50.0), ""cost_go_error"": (1.0, 50.0), ""cost_go_missing"": (1.0, 50.0), ""cost_time"": (0.01, 0.5) }","{ ""rate_stop_trial"": 1.0 / 6.0, ""q_d_n"": 0.05, ""q_s_n"": 0.05, ""inv_temp"": 20.0 }"
tesbi_e2e_7p_v2.py,7p_v2,"{ ""q_d"": (0.5, 1.0), ""q_s"": (0.5, 1.0), ""q_d_n"": (0.0, 1.0), ""q_s_n"": (0.0, 1.0), ""tau"": (4.0, 16.0), ""cost_stop_error"": (1.0, 50.0), ""cost_time"": (0.01, 0.5) }","{ ""rate_stop_trial"": 1.0 / 6.0, ""cost_go_error"": 3.0, ""cost_go_missing"": 1.0, ""inv_temp"": 20.0 }"
tesbi_e2e_7p_v1.py,7p_v1,"{ ""q_d"": (0.5, 1.0), ""q_s"": (0.5, 1.0), ""tau"": (4.0, 16.0), ""inv_temp"": (10.0, 100.0), ""cost_stop_error"": (1.0, 50.0), ""cost_go_error"": (1.0, 50.0), ""cost_time"": (0.01, 0.5) }","{ ""rate_stop_trial"": 1.0 / 6.0, ""q_d_n"": 0.05, ""q_s_n"": 0.05, ""cost_go_missing"": 1.0 }"
tesbi_e2e_5p_v1.py,5p_v1,"{ ""q_d"": (0.5, 1.0), ""q_s"": (0.5, 1.0), ""tau"": (4.0, 16.0), ""cost_stop_error"": (1.0, 50.0), ""cost_time"": (0.01, 0.5) }","{ ""rate_stop_trial"": 1.0 / 6.0, ""q_d_n"": 0.05, ""q_s_n"": 0.05, ""cost_go_error"": 3.0, ""cost_go_missing"": 1.0, ""inv_temp"": 20.0 }"
tesbi_e2e_10p_v1.py,10p_v1,"{ ""q_d"": (0.5, 1.0), ""q_s"": (0.5, 1.0), ""q_d_n"": (0.0, 1.0), ""q_s_n"": (0.0, 1.0), ""tau"": (4.0, 16.0), ""inv_temp"": (10.0, 100.0), ""cost_stop_error"": (1.0, 50.0), ""cost_go_error"": (1.0, 50.0), ""cost_go_missing"": (1.0, 50.0), ""cost_time"": (0.01, 0.5) }","{ ""rate_stop_trial"": 1.0 / 6.0 }"
tesbi_e2e_8p_v2.py,8p_v2,"{ ""q_d"": (0.5, 1.0), ""q_s"": (0.5, 1.0), ""q_d_n"": (0.0, 1.0), ""q_s_n"": (0.0, 1.0), ""tau"": (4.0, 16.0), ""inv_temp"": (10.0, 100.0), ""cost_stop_error"": (1.0, 50.0), ""cost_time"": (0.01, 0.5) }","{ ""rate_stop_trial"": 1.0 / 6.0, ""cost_go_error"": 3.0, ""cost_go_missing"": 1.0 }"
tesbi_e2e_6p_v3.py,6p_v3,"{ ""q_d"": (0.5, 1.0), ""q_s"": (0.5, 1.0), ""tau"": (4.0, 16.0), ""inv_temp"": (10.0, 100.0), ""cost_stop_error"": (1.0, 50.0), ""cost_time"": (0.01, 0.5) }","{ ""rate_stop_trial"": 1.0 / 6.0, ""q_d_n"": 0.05, ""q_s_n"": 0.05, ""cost_go_error"": 3.0, ""cost_go_missing"": 1.0 }"
tesbi_e2e_6p_v2.py,6p_v2,"{ ""q_d"": (0.5, 1.0), ""q_s"": (0.5, 1.0), ""tau"": (4.0, 16.0), ""cost_stop_error"": (1.0, 50.0), ""cost_go_missing"": (1.0, 50.0), ""cost_time"": (0.01, 0.5) }","{ ""rate_stop_trial"": 1.0 / 6.0, ""q_d_n"": 0.05, ""q_s_n"": 0.05, ""cost_go_error"": 3.0, ""inv_temp"": 20.0 }"
