subject_idx,true_alpha,est_alpha,true_rho,est_rho,true_q_d_n,est_q_d_n,true_q_d,est_q_d,true_q_s_n,est_q_s_n,true_q_s,est_q_s,true_cost_stop_error,est_cost_stop_error,true_inv_temp,est_inv_temp
1,0.021867983,0.51484114,0.9911229,0.553226,0.6377651,0.64781046,0.75027287,0.7281125,0.9416249,0.89255506,0.86832255,0.77386874,1.4507313,1.1061,38.82872,37.83136
2,0.67650133,0.50989,0.14060192,0.5120439,0.9227218,0.6879116,0.74306214,0.623664,0.5128352,0.59453344,0.7285961,0.82707036,1.7406542,1.5107571,97.04644,80.30737
3,0.6758292,0.5002363,0.69517124,0.39473563,0.7509043,0.53415424,0.9139448,0.8651291,0.14539549,0.55598783,0.54826474,0.540624,0.5412209,0.8371979,30.89549,43.59427
4,0.30937275,0.47515035,0.2635242,0.46738315,0.42828393,0.20042743,0.8823172,0.83835083,0.3505511,0.4066213,0.85831183,0.8426188,0.5638902,0.7940517,63.768635,45.15259
5,0.9578313,0.48114568,0.6161122,0.44869974,0.35806498,0.23811586,0.8495338,0.8069628,0.44426158,0.58131546,0.76463675,0.8477033,1.8143762,0.8717213,10.2260895,17.492634
6,0.76236,0.4841506,0.31992623,0.55613256,0.8454288,0.3134335,0.97511333,0.8887526,0.33589464,0.4042229,0.9275135,0.7005786,1.6144443,1.4721892,73.42308,77.61664
7,0.21746755,0.44645473,0.13668065,0.53817594,0.41570187,0.30744132,0.96883243,0.9068855,0.51685286,0.6210711,0.7259582,0.777841,1.1393937,1.1934463,84.76929,71.35526
8,0.7309167,0.4436611,0.6445396,0.4609013,0.1486324,0.22962658,0.8419071,0.8962405,0.21192646,0.19486064,0.7008856,0.8434535,0.7361666,0.643407,29.773083,36.6578
9,0.5211531,0.49563804,0.48688775,0.5024437,0.567043,0.4851787,0.90260315,0.84450793,0.4089653,0.40058938,0.62236917,0.534378,1.8797688,1.153692,36.16877,53.610508
10,0.91012937,0.5369083,0.45316616,0.48974422,0.9979133,0.8994988,0.80398613,0.66042304,0.8721844,0.7074261,0.6894798,0.6224967,1.4222374,0.8934707,23.017986,43.65961
11,0.7328686,0.4886543,0.2530093,0.46869406,0.27315587,0.26943037,0.9390116,0.9226583,0.7301365,0.6139418,0.5971653,0.582949,0.55686283,0.81084925,97.4264,54.06104
12,0.6343232,0.5480216,0.2272805,0.5755389,0.5419829,0.39631832,0.6032746,0.58910984,0.19840808,0.1848175,0.832797,0.70539254,0.8264789,1.3367026,83.56839,66.11847
13,0.9970656,0.4894877,0.36360902,0.4682871,0.15804718,0.30934402,0.9966964,0.93794614,0.1324869,0.39789933,0.61023486,0.5617721,0.9809015,0.77930725,30.320202,36.387573
14,0.026020924,0.50089836,0.76028097,0.5430633,0.5671466,0.51900816,0.9428174,0.85414505,0.939651,0.91538423,0.9030402,0.75481915,1.1936369,1.0023979,34.92773,31.728832
15,0.41428968,0.421886,0.11552507,0.5797076,0.06357711,0.3905943,0.9169609,0.93429804,0.8212398,0.68469805,0.68092215,0.6698631,1.8755828,1.4434732,86.585304,71.120674
16,0.631621,0.5388291,0.82613105,0.49644414,0.39905825,0.51706934,0.81946826,0.7616032,0.37789688,0.6523189,0.5509379,0.59681135,1.8226752,0.99127984,39.448566,38.455173
