case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error
0,0.37351861570087996,0.42034364,1.0,0.6060718613226298,0.65254897,1.0,0.7543050752234044,0.6547932,1.0,30.98482585903483,33.68479,1.0,0.07731211314421167,0.26174867,1.0,0.0035439259334646904,0.0020176095,1.0,0.5941180102125172,0.5312294,1.0
1,0.21525312013459452,0.23383261,1.0,0.7760290542655943,0.789283,1.0,0.7430623729812764,0.7546803,1.0,70.34240408218743,38.83072,1.0,0.03600994827035255,0.11386227,1.0,0.016200194580933518,0.021155441,1.0,0.6652010100785102,1.0220331,1.0
2,0.22150815521897793,0.56887245,1.0,0.6671888610206318,0.6753447,1.0,0.5470611972619044,0.73778623,1.0,20.65601157638488,23.833055,1.0,0.24718794370876004,0.08031937,1.0,0.0018394633160812733,0.0033420136,1.0,0.03946866104493582,0.096049145,1.0
3,0.9086677761891497,0.8718778,1.0,0.9658467453915539,0.90589917,1.0,0.7840521329173491,0.80797523,1.0,40.09095283669615,36.185394,1.0,0.10767915061857318,0.29757977,1.0,0.0006070426420471425,0.003944301,1.0,0.22449845007188773,0.57698816,1.0
4,0.6107286206537846,0.43474498,1.0,0.6591588906602881,0.79578096,1.0,0.5528301379462361,0.72163975,1.0,15.922587147887235,31.255768,1.0,0.2834143116143989,0.09711141,1.0,0.013013316366316398,0.0048491056,1.0,0.6364722981229656,0.2053855,1.0
5,0.3951300274345122,0.40401143,1.0,0.9124104631733898,0.81622976,1.0,0.5468381999338348,0.71798193,1.0,15.062614779750248,32.395485,1.0,0.011003170576258,0.21503256,0.0,0.0004910188715540229,0.009736135,0.0,0.03181514638087018,0.10904015,1.0
6,0.8587325465993708,0.65276074,1.0,0.5637251823036258,0.5755285,1.0,0.9079429576561975,0.88151026,1.0,55.963518173962846,46.35831,1.0,0.7704229438258646,1.238062,1.0,0.00010684002321599242,0.0003376903,0.0,0.0116112070119552,0.052872065,0.0
7,0.791523427280175,0.48443383,0.0,0.8775133663807878,0.7772584,1.0,0.6030982482799572,0.6929287,1.0,94.02074864235416,31.42007,0.0,0.03864992919169427,0.13951218,1.0,0.00028677527488931044,0.0013130023,1.0,0.05719518943899435,0.25510156,1.0
8,0.14497334696898478,0.5256082,0.0,0.9075950262269014,0.97078806,0.0,0.9830194769721572,0.7609475,0.0,43.09933426537241,36.931366,1.0,0.01619414407778565,0.07264175,1.0,0.001274429931577311,0.0076944255,1.0,0.4521288196154401,0.9025012,1.0
9,0.5997868682687458,0.374714,1.0,0.7321550507422754,0.7910255,1.0,0.6405074866280331,0.68290895,1.0,73.90711633151622,77.60264,1.0,1.486678331995076,1.6341397,1.0,0.015495749961881307,0.022089029,1.0,0.05165167679040256,0.03257427,1.0
10,0.26411112764612754,0.2942245,1.0,0.6637050477637432,0.66742176,1.0,0.6125268467838678,0.69726336,1.0,17.8966178049559,37.47809,1.0,0.46137364770535916,0.25016013,1.0,0.0005346351995084566,0.00056237134,1.0,0.43134920412538835,0.3389359,1.0
