case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_q_s,mu_q_s,hit90_q_s,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing
0,0.00999591561921509,0.05656468,1.0,0.9363826555508231,0.932921,1.0,0.6981089877508139,0.48174518,1.0,0.8634213901595957,0.7831124,1.0,16.374193436409662,35.76125,1.0,1.15950483653455,31142.752,0.0,0.015918220624045173,0.0054449025,1.0,1.530113193237842,0.9066755,1.0,0.14070450012109936,0.39925638,1.0
1,0.6987695897807719,0.45694745,0.0,0.6690579879787178,0.6272033,0.0,0.1169385577712212,0.497987,1.0,0.5875735996166422,0.6739077,1.0,57.33653688818527,51.898216,1.0,1.214912520678078,0.36476585,0.0,0.004315166521404171,0.0010706978,0.0,1.1919251820365506,1.2464428,1.0,0.04732953004253089,0.04238893,1.0
2,0.11089449788765648,0.12536843,1.0,0.9176544727094365,0.9076263,1.0,0.41583680057713013,0.58341384,1.0,0.7070400099685676,0.69298124,1.0,17.320699690449672,36.04287,1.0,0.06131348394331871,0.15809293,1.0,0.000283745545873202,0.004117307,1.0,0.7376500013794131,0.6581013,1.0,0.05943404152783468,0.38336763,1.0
3,0.43765645892852656,0.5999643,1.0,0.7225205330478177,0.64963514,1.0,0.5564260519393242,0.5476759,1.0,0.5351826517289384,0.7623848,1.0,62.87313557591328,55.346825,1.0,1.254959900609057,0.61105055,1.0,0.02666217528467286,0.030206239,1.0,0.015095319150595803,0.101212904,1.0,0.2442699204313525,0.4072784,1.0
4,0.453518934741174,0.24562813,0.0,0.931154180626648,0.83569646,0.0,0.6840151268224284,0.6737663,1.0,0.6859468924770125,0.6112216,1.0,52.10773965751425,52.937836,1.0,0.39286273095704216,0.48085383,1.0,0.00016995328835365153,0.00079982675,1.0,0.47418726121984034,1.2223772,0.0,0.90447671412661,0.52678096,1.0
5,0.14917435553678593,0.33898434,1.0,0.9975165527319649,0.84265137,0.0,0.17561164249474615,0.54435056,1.0,0.712928056677613,0.74609095,1.0,60.91616729103504,61.050503,1.0,0.03422206594569115,0.27265006,1.0,0.022536382535464788,0.030834718,1.0,0.013465343056055956,0.0817776,0.0,0.016486042648861984,0.43614626,1.0
6,0.6820969200417327,0.4175713,1.0,0.6696668632916043,0.7684617,1.0,0.9442190291362627,0.565755,1.0,0.5075983168828129,0.73812294,0.0,15.999940848537614,30.916977,1.0,0.6089444256599992,0.14997494,0.0,0.037241973655680764,0.015486706,0.0,0.5807579709531476,0.10310438,0.0,0.1285060501447249,0.38600335,1.0
7,0.02197075791498726,0.37819037,0.0,0.6429918257486238,0.8027649,1.0,0.9579686286354714,0.55035144,1.0,0.9209890246541619,0.7393458,1.0,33.1839830288382,30.14357,1.0,0.02787537444781872,0.09078547,1.0,0.005356034746264818,0.0044016093,1.0,0.11930147589309363,0.10307532,1.0,0.01867052704826614,0.40367028,1.0
8,0.10507493134866974,0.15684852,1.0,0.8543880234852694,0.9441788,0.0,0.823032390793609,0.75061464,0.0,0.9198751042773647,0.93666273,1.0,30.059159846984684,46.40487,1.0,1.5930459228882614,0.83024496,1.0,0.015852454302628938,0.006155881,1.0,0.6972423332779522,0.75974244,1.0,0.03780139045198111,0.25931042,1.0
9,0.711436057279999,0.53898585,1.0,0.8050705897137229,0.72496957,1.0,0.0015535421107413239,0.54487014,0.0,0.7848535963078118,0.7480512,1.0,12.903053296292232,30.273317,1.0,0.1443800499525009,0.15298153,1.0,0.00014905006904990055,0.0012288378,1.0,0.07139826285322656,0.14173089,1.0,0.10075920804558423,0.40299585,1.0
10,0.15652849320348383,0.3442243,1.0,0.6792147181023371,0.8116466,1.0,0.5196902297569386,0.6959361,0.0,0.8756909526399241,0.91172326,1.0,24.185349280596295,34.332775,1.0,0.1763699187010898,0.31981328,1.0,0.0005109330275128389,0.0018109338,1.0,0.1369104428168632,0.1378251,1.0,0.0751130876898477,0.4323911,1.0
11,0.34081802662421357,0.46280995,1.0,0.8045486110974267,0.75498194,1.0,0.3376710681590557,0.5597454,1.0,0.7796878763115647,0.7189435,1.0,10.808002681843034,31.315664,0.0,0.08503811757084777,0.1497622,1.0,0.0001212117494356852,0.002280085,0.0,0.047236865879345266,0.108632825,1.0,0.023357012777822976,0.41669983,1.0
12,0.6894740432995479,0.4205794,1.0,0.8976507436183762,0.7935863,1.0,0.834623493370202,0.53540725,1.0,0.8930253941567877,0.73354363,1.0,12.624990306868712,33.13842,1.0,0.3486818217577351,0.13849203,1.0,0.0070868739636034,0.016187131,1.0,0.06865663005018485,0.11041234,1.0,0.23956783311224736,0.40525508,1.0
13,0.1475858247798706,0.59811574,1.0,0.8242310935797126,0.6345999,1.0,0.02829041498495377,0.5267574,0.0,0.850715667766496,0.71719044,1.0,12.855339300814698,24.90711,1.0,0.2068024279467215,0.07327507,1.0,0.0031318011948443343,0.0020595477,1.0,0.014427857325429812,0.09395047,1.0,0.09345573399902848,0.4190439,1.0
14,0.768132433334929,0.5760877,1.0,0.942198401605886,0.7517346,1.0,0.16949501279343915,0.5272648,1.0,0.8469791777922941,0.74220884,1.0,11.16645884124707,33.20137,0.0,0.026825647840574784,0.20133641,1.0,0.0370562575110267,0.023378827,1.0,0.029503668168176015,0.10726569,1.0,0.04862153623126577,0.39098132,1.0
15,0.025690961915475263,0.2383244,1.0,0.9055880808120932,0.88594997,1.0,0.1783865198930613,0.55444247,1.0,0.9170804186788241,0.7542042,1.0,42.983771583453205,39.42916,1.0,0.09820710750991908,0.17340097,1.0,0.003342899641426396,0.010150189,1.0,0.022384213799522056,0.11014107,1.0,0.1267704215270526,0.37456876,1.0
16,0.45270301858840933,0.6012117,1.0,0.6732675695450381,0.5818837,1.0,0.6790134501287947,0.52237236,1.0,0.567863133973976,0.7701863,1.0,26.02980090597937,29.250185,1.0,0.05987283013010364,0.06430176,1.0,0.0015454382901179187,0.005618301,1.0,0.01963149701781701,0.32140124,1.0,0.43145645152047624,0.4748329,1.0
17,0.6870632978607706,0.7240642,1.0,0.9837818147404043,0.9726657,1.0,0.15673593403907804,0.6235398,1.0,0.5876237811367699,0.7137498,1.0,87.05400818678119,44.736744,1.0,0.06672207863422407,0.21137165,1.0,0.00010490087812985415,0.0006538035,0.0,1.080679554884732,1.2804812,1.0,1.030952819596522,0.3750435,1.0
18,0.16779077232978,0.6272873,1.0,0.6478591968147887,0.62111974,1.0,0.6961730047360788,0.49476093,1.0,0.6752647223886732,0.7659541,1.0,12.441175307212017,29.08407,1.0,0.32963985738766033,0.08073251,0.0,0.0012653186146587754,0.0018254124,1.0,0.012356324200912904,0.35950786,0.0,0.228266906653409,0.5565144,1.0
19,0.9943296237354031,0.57404894,0.0,0.8081568714776929,0.5711234,0.0,0.30429119765821544,0.5515382,0.0,0.6314567596912131,0.6447904,1.0,16.076201099364454,27.671371,1.0,1.493652367553336,1.1494119,1.0,0.0006043565523676489,0.000607319,1.0,0.23453990655109175,0.18779582,1.0,0.39803109730685726,0.12443671,1.0
20,0.5548555670577481,0.5297129,1.0,0.9993482070329303,0.9947435,1.0,0.4170808988789432,0.45839554,1.0,0.6272043325355492,0.77402097,1.0,57.919738078096195,42.847153,1.0,0.030616579419470883,0.05607893,1.0,0.0028913842683421266,0.006626219,1.0,0.33906873654549674,1.1179179,1.0,0.3662904937438475,0.36395484,1.0
21,0.06516337784417248,0.50783014,1.0,0.6200757335720674,0.7364899,1.0,0.271234614615799,0.5388258,1.0,0.6423963812919635,0.7522235,1.0,32.387062256551175,29.690397,1.0,0.046729038043576566,0.110535294,1.0,0.000530260412121628,0.004298344,1.0,0.015730344284930097,0.10622559,1.0,0.46374795673900154,0.39138404,1.0
22,0.9690286326942392,0.54995835,0.0,0.9507369962144409,0.7019201,0.0,0.0032925136693580104,0.5280624,0.0,0.5095143979763599,0.7391199,0.0,10.56185747240845,27.556938,0.0,1.0039441602916515,0.09902531,0.0,0.005305440101769732,0.0017592518,1.0,0.12329320409712173,0.13530579,1.0,1.9489259119494091,0.39698648,0.0
23,0.5905689225707573,0.53930295,1.0,0.9782812633843846,0.6874511,0.0,0.3410956771009541,0.7925923,0.0,0.7107750421005861,0.8084785,1.0,15.14250481094327,33.64725,1.0,0.8110280169397922,0.8560907,1.0,0.0046068336587726634,0.0065970994,1.0,0.015615748348997946,0.100982115,1.0,1.0291690248604575,0.22175899,1.0
24,0.5154196078249184,0.31202936,1.0,0.8898345256397263,0.87919945,1.0,0.744502703090698,0.53873146,1.0,0.89747034969823,0.7473019,1.0,43.072753120410134,42.650406,1.0,0.019842561267346005,0.07290549,1.0,0.02979420760859821,0.018738646,1.0,0.3198233507700411,0.32170236,1.0,0.0245664133711346,0.37762505,1.0
25,0.6235203015949188,0.58899194,1.0,0.9261169420118405,0.9040747,1.0,0.2113870878263916,0.54989463,1.0,0.7583388669125459,0.7522437,1.0,42.89184380177288,43.35066,1.0,0.07872874681733288,0.111528404,1.0,0.011819209980679004,0.018294536,1.0,0.3474218389243641,0.5880667,1.0,0.7301166067016344,0.411349,1.0
26,0.11769564591330461,0.57118076,1.0,0.7617709310280187,0.73890334,1.0,0.7098955533783925,0.50096655,1.0,0.743568354326716,0.73977464,1.0,42.67689819604067,52.188313,1.0,0.13741471577375355,0.09275455,1.0,0.02448945578297298,0.02869582,1.0,0.010881729998685322,0.17138842,0.0,0.011349956003041005,0.42163354,0.0
27,0.8060445553945284,0.73660827,1.0,0.9347981133608789,0.9092942,1.0,0.8579875685514408,0.8211516,1.0,0.993085833485577,0.97691756,1.0,13.00357023870186,35.72074,1.0,0.7120217062873131,0.36005542,1.0,0.003536189430955113,0.0014350796,1.0,0.9515865597717563,0.4869803,1.0,0.04699459255981255,274.58182,1.0
28,0.6799205932266503,0.71085376,1.0,0.7013308887079002,0.72689265,1.0,0.4703465139052091,0.5877608,1.0,0.5282412337375588,0.67463136,1.0,49.78766987314453,35.901802,1.0,0.013304726617222547,0.08972105,0.0,0.002145723133605486,0.0013858832,1.0,0.6990952614160096,0.98235744,1.0,0.050985794451830414,0.077567995,1.0
29,0.33336171402461057,0.68758273,0.0,0.7114587755568315,0.85161096,0.0,0.3472091373453928,0.4678983,1.0,0.9696790345504052,0.7685083,1.0,41.00804070933117,51.72604,1.0,0.13583303129909102,0.07441873,1.0,0.01132168278161543,0.008311095,1.0,0.5252845017078285,0.5184988,1.0,0.38743915731132295,0.43661115,1.0
30,0.855465213388692,0.5517349,1.0,0.9520651038701479,0.69180065,0.0,0.5269937910338739,0.5358098,1.0,0.7369858507253422,0.7490629,1.0,19.19548894666436,27.897032,1.0,0.013567855527178646,0.10387572,1.0,0.0004074115068552931,0.0019875602,1.0,0.028481423523672517,0.11575668,1.0,0.4511516445589369,0.44548646,1.0
31,0.931819801926956,0.53772,1.0,0.6616250135405795,0.6705964,1.0,0.5971337413225128,0.5146851,1.0,0.7840222918122772,0.74881667,1.0,22.678979490535326,25.903683,1.0,0.01132227915244094,0.068914436,0.0,0.009566999053158193,0.0021706051,1.0,0.3688077134781514,0.15506244,1.0,0.16128138465187036,0.46770203,1.0
32,0.67981207837599,0.6394346,1.0,0.5989301648767422,0.59170425,1.0,0.7559455957241434,0.6150672,1.0,0.7746691990539267,0.69449514,1.0,72.92970821962659,39.289345,1.0,0.026062536598534754,0.06538429,1.0,0.0027628321680899476,0.0047947685,1.0,0.5382629152257759,1.0190866,1.0,0.05610234150631253,0.09776845,1.0
33,0.08248927760668434,0.25475904,1.0,0.8295256444189104,0.90016234,1.0,0.8328341006186257,0.54323983,1.0,0.5570411112978351,0.75656813,1.0,22.510925443786622,34.85271,1.0,0.029725631610052004,0.103824876,1.0,0.010878729945548875,0.009323659,1.0,0.1716135982955883,0.15103625,1.0,0.010932212079056829,0.39976612,0.0
34,0.8745634028295083,0.57713455,1.0,0.736550478223685,0.6449166,1.0,0.02216843433498672,0.80817515,0.0,0.5258843001523572,0.665325,0.0,38.561225977317214,24.326265,1.0,0.6363154684907903,1.2121841,1.0,0.0006044682080225685,0.00066056865,1.0,0.02572683264763526,0.080233365,1.0,0.014356952750423497,0.0793582,1.0
35,0.4405519025198624,0.5970318,1.0,0.5126336216412096,0.63175523,1.0,0.9527790474036121,0.53828144,1.0,0.6943830007877305,0.75210905,1.0,72.66673214739195,32.33658,1.0,0.09692892217124317,0.101329744,1.0,0.0028227281646650304,0.018004311,0.0,0.04251224000136706,0.19886272,1.0,0.12373050105500227,0.43805996,1.0
36,0.7702347098110586,0.53244936,1.0,0.5159405155225136,0.5064849,1.0,0.14923575412511159,0.5884873,1.0,0.5423642418750704,0.69173634,1.0,11.050969546059914,23.396992,1.0,0.31728795762339995,0.17477308,1.0,0.0025937494066456184,0.0008764207,1.0,1.2528510675353903,0.79703814,1.0,0.012035042399412277,0.05156474,1.0
37,0.9322384963676219,0.54585886,1.0,0.5072529911103509,0.69294834,0.0,0.2977322395808406,0.53419214,1.0,0.9209340080663686,0.74825,1.0,46.13629433961745,27.56932,1.0,0.03173114573172037,0.077457406,1.0,0.0020768836469358047,0.009618513,1.0,0.25642593035106304,0.16421108,1.0,0.07643486307754262,0.42726606,1.0
38,0.43562153533894477,0.62071025,0.0,0.784211222443353,0.85418147,0.0,0.8701105496857895,0.5324553,1.0,0.9908221230092378,0.7015625,0.0,10.850611675728825,34.108997,0.0,0.12322564213226805,0.090775914,1.0,0.003758451000728803,0.0033962668,1.0,1.4252286344270018,0.6491089,1.0,0.11301340407753313,0.42118007,1.0
39,0.35366447050833305,0.5446914,1.0,0.9626777248929725,0.67105705,0.0,0.32579754064547806,0.37434337,1.0,0.8074548382092274,0.82413214,1.0,26.407783016039488,31.801693,1.0,0.4972057318477331,0.91127056,1.0,0.00041276391707343593,0.0030445096,1.0,0.015972564397666606,0.04991586,1.0,0.5750794923533339,0.39800322,1.0
40,0.7322417525462879,0.6793261,1.0,0.903236474164796,0.89229614,1.0,0.05821942057900753,0.047097065,1.0,0.8075446307434231,0.8096859,1.0,53.67725441678631,33.537655,1.0,0.19524904331926246,0.45586133,1.0,0.00012537081731118482,0.0014359952,1.0,0.2527964969189276,0.81644005,1.0,0.012397007767905303,0.37402728,0.0
41,0.8733721747354395,0.6022052,1.0,0.7619880502101499,0.6430287,1.0,0.3097697906276473,0.51685804,1.0,0.982227261192635,0.7392606,0.0,21.970819313372115,34.889805,1.0,0.010734308160684995,0.19154613,0.0,0.03374620132852899,0.025738858,1.0,0.023456883056443986,0.10290941,1.0,0.67716467742808,0.39968953,1.0
42,0.6547145334256199,0.3430595,1.0,0.8278036712454591,0.84134156,1.0,0.4827908233840438,0.50436634,1.0,0.9182478393505105,0.91792846,1.0,17.366848199428595,42.451992,1.0,1.512771812252205,0.79755676,1.0,0.007732827268973343,0.0037956375,1.0,0.1850235201341899,0.08284648,1.0,0.6908794112917345,0.38458648,1.0
43,0.9509187644230943,0.9005961,1.0,0.709819429270155,0.6728853,1.0,0.3719844282287378,0.43100777,1.0,0.8956783522226106,0.8171268,1.0,15.455366055745028,35.996216,1.0,0.711337487781573,0.5238402,1.0,0.0009652685780593363,0.00090063614,1.0,0.665974807550051,0.7150355,1.0,0.07391409843390985,0.20387805,1.0
44,0.3084275153686383,0.5438357,1.0,0.7510903306704209,0.623462,1.0,0.6087093494421728,0.5409983,1.0,0.6065383422523338,0.7506113,1.0,13.728700658490189,31.206377,1.0,0.012534532409074827,0.0622521,1.0,0.0008368745170610322,0.008214771,1.0,0.014206442851242031,0.27395037,1.0,0.06555627405380107,0.42312238,1.0
45,0.8421228948623743,0.5858591,1.0,0.7399254008677447,0.6974486,1.0,0.6829266740741646,0.53584105,1.0,0.7002283939970398,0.73523366,1.0,47.6177550205062,63.206264,1.0,0.318422567290832,0.25914338,1.0,0.04273683513570225,0.032762825,1.0,0.12147837761473941,0.11549753,1.0,0.052829318349996664,0.40883973,1.0
46,0.8013772456003598,0.6185264,1.0,0.5643069730356237,0.66185135,1.0,0.973911205151057,0.51356655,0.0,0.5729822534069349,0.7199853,1.0,38.88662322247711,62.009632,1.0,0.39512256487182895,0.16762875,1.0,0.04249974154779183,0.03286586,1.0,0.020881079649179842,0.15365045,1.0,0.49151302656661655,0.41620448,1.0
47,0.2856264147975882,0.48703015,1.0,0.711229405781288,0.7674145,1.0,0.2672284934566901,0.60373163,1.0,0.7955516042882629,0.7967843,1.0,75.19352626877797,54.50321,1.0,0.5831949239718098,22396.615,1.0,0.011093331404058437,0.016372666,1.0,0.0151166869145107,0.12967491,1.0,0.870540301804232,0.38049722,1.0
48,0.3910910536744441,0.37646353,1.0,0.7035276757277273,0.7424009,1.0,0.15178600917975305,0.60122645,1.0,0.8127730036592378,0.789391,1.0,13.976619054286312,33.435295,1.0,0.12460713849405107,0.19893885,1.0,0.00011372405179182198,0.0011770441,0.0,0.2432585969640748,0.15999563,1.0,0.23303560867170883,0.41451877,1.0
49,0.5993276331662657,0.55700415,1.0,0.8308965378049701,0.80943835,1.0,0.15074515399503852,0.51465154,1.0,0.603174865886245,0.7061667,1.0,24.876486734979665,32.14197,1.0,0.3294282468170566,0.15535614,1.0,0.0033168019256626688,0.0015461032,1.0,0.295791995102417,0.27458474,1.0,0.2132776705684803,0.4370647,1.0
50,0.5666959797930757,0.43874398,1.0,0.7003944920298497,0.7673435,1.0,0.8208704400239546,0.552682,1.0,0.8237252208552822,0.7482435,1.0,43.85974456545489,31.183762,1.0,0.6826230916813609,0.19863665,1.0,0.01577192099252505,0.0071077747,1.0,0.32072229879816844,0.07890123,0.0,0.8452329149903941,0.38030288,1.0
51,0.5244300123118183,0.49727997,1.0,0.8558538395126235,0.8415936,1.0,0.7111529378392648,0.5613867,1.0,0.5638798629677817,0.69820374,1.0,77.86183941886775,59.557747,1.0,0.04781589667487515,0.085795484,1.0,0.0007423716120145453,0.0014579162,1.0,0.9985948159254574,1.3266252,1.0,0.44270322352326175,0.4470846,1.0
52,0.3803751610607998,0.22704814,1.0,0.9965491815856501,0.87186086,0.0,0.5663732449908067,0.5531069,1.0,0.6495207423274119,0.76139677,1.0,80.76600988041,84.16852,1.0,0.6501876702819062,0.48240986,1.0,0.03435948598346259,0.04056359,1.0,0.02228224903824175,0.066125624,1.0,0.858781845208023,0.3793858,1.0
53,0.1662281500410282,0.11159141,1.0,0.5643349244286973,0.5587885,1.0,0.8350125993025916,0.53117234,1.0,0.6603278467250363,0.7075234,1.0,62.59387182904652,43.266483,1.0,0.01302861456004943,0.29882008,0.0,0.0007536469640283109,0.0009322482,1.0,0.801960896113024,1.1450665,1.0,0.08230689324440439,0.13805725,1.0
