case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_q_s,mu_q_s,hit90_q_s,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error
74,0.5156924871166966,0.5412575,1.0,0.8629134344801345,0.8966764,1.0,0.1699799729591126,0.25654975,1.0,0.8772608488859368,0.89250314,1.0,91.1024741505357,89.67241,1.0,1.9304481877843434,1.9797734,1.0
178,0.49673744615412885,0.2952878,1.0,0.6379668528177307,0.6302227,1.0,0.05961275722989623,0.06546255,1.0,0.8009149856863387,0.7780171,1.0,75.16704032483914,85.77055,1.0,1.9217420116691586,1.9792237,1.0
29,0.8593911984434789,0.9256159,1.0,0.5350901756219766,0.58788234,1.0,0.9587043751541081,0.77195364,0.0,0.6213188933974263,0.7800123,1.0,95.63906796456268,68.42759,0.0,1.8833063401595083,1.7989525,1.0
25,0.1787918731265855,0.382272,1.0,0.9105248203110456,0.9024505,1.0,0.6345822623247888,0.6223387,1.0,0.5380029343750048,0.5515979,1.0,75.17156627655844,69.494484,1.0,1.6330422792857242,1.7386644,1.0
136,0.30558907067110563,0.3406664,1.0,0.7969817708278168,0.83646077,1.0,0.48485832636299964,0.46920538,1.0,0.9245648515768066,0.9538584,1.0,7.100688286645028,7.9693418,1.0,1.7421840022510044,1.735396,1.0
6,0.3017344468133124,0.58472764,1.0,0.531156341142399,0.57825226,0.0,0.11981257232335907,0.052313562,1.0,0.9889902698716748,0.9511224,0.0,95.6911007032969,94.568596,1.0,1.9635560568838546,1.7064663,0.0
173,0.25848958020156076,0.38278785,1.0,0.9493936668567349,0.9191764,1.0,0.8366497936680716,0.8227976,1.0,0.7059850687447328,0.86004084,0.0,87.16999392547945,83.609436,1.0,1.8266568925010935,1.6937866,1.0
64,0.2045912580641911,0.26425168,1.0,0.8198811380883961,0.8186265,1.0,0.32357079834291236,0.49261406,1.0,0.5248653864711974,0.55823267,1.0,53.925617766032246,23.40448,0.0,0.8867950574123296,1.6752872,0.0
162,0.8450752750400351,0.7670645,1.0,0.5590808298064436,0.5783049,1.0,0.05531433934155627,0.11472547,1.0,0.7108310709279675,0.72995824,1.0,44.51422468675184,51.731762,1.0,1.8121436526879948,1.5904297,1.0
22,0.7290922582602907,0.567739,1.0,0.5631689761690819,0.56026816,1.0,0.5057623002546069,0.5529811,1.0,0.9393941700292618,0.930088,1.0,63.43268401953207,68.665115,1.0,1.5032833500828826,1.5636876,1.0
23,0.801413131841369,0.7213949,1.0,0.921155321944946,0.8451549,1.0,0.31081466369368616,0.30640244,1.0,0.9980970821875836,0.9465348,0.0,77.70298110818251,69.968155,1.0,1.3405483711595256,1.5520232,1.0
