q_d_n,q_d,q_s_n,q_s,inv_temp,cost_stop_error,cost_time,cost_go_error,cost_go_missing
0.26096714,0.84476936,0.025004454,0.8126848,92.78684,1.7472738,0.0040758653,0.057437297,0.70447075
0.17959297,0.90249985,0.11536299,0.9409745,95.812584,1.8368466,0.0045019914,0.027485777,0.046186704
0.2854153,0.7121537,0.06016139,1.0168996,48.2073,1.9268088,0.002869573,0.18929848,1.4159074
0.15262568,0.9338044,0.042860087,0.92483205,85.618675,1.8984693,0.005215911,0.03521739,0.95831
0.37780526,0.8995248,0.018895835,0.8077422,73.82604,1.69997,0.002927097,0.036043797,0.17195535
0.26964355,0.8324047,0.027759135,0.94528013,79.59146,1.6449425,0.0033266924,0.048635747,0.06837739
0.065378726,0.6710904,0.11627998,0.8743521,61.897232,1.6877029,0.0037637418,0.34376264,0.31899717
0.29750144,0.72503364,0.035620473,0.94932395,52.68145,1.981241,0.0042706924,0.33250758,0.015058378
0.25746894,0.9871075,0.03895296,0.93603003,66.63054,2.023312,0.004392862,0.059753586,0.02392276
0.4235535,0.9267241,0.077498496,0.978534,89.59251,1.8071045,0.003924801,0.046905227,0.15274897
0.31126523,0.79372454,0.017520193,0.8574765,85.44168,1.5951734,0.0034284864,0.040468726,0.6043222
0.34876585,0.94419026,0.051191613,0.99477726,55.636124,1.7311603,0.0020307796,0.056816757,0.23911606
0.12464708,0.99453807,0.06388971,0.96938974,59.671627,1.9489814,0.0035783702,0.057116713,0.27883047
0.65510774,0.99502563,0.102165565,0.8692096,83.286064,1.7732407,0.004387042,0.043375377,0.17881203
0.81161606,0.91659194,0.058871977,0.8628839,82.014626,1.3122139,0.0023489962,0.08128477,0.15681167
0.6250626,0.8792558,0.033974282,0.8959271,93.73163,2.002698,0.0061666137,0.06119573,0.0361312
0.45067176,0.9707718,0.13596074,0.90821964,63.38699,1.7330301,0.003044341,0.054571845,0.18610291
0.8518674,1.0070677,0.024851236,0.82598,91.980606,1.8686906,0.004984764,0.04262778,0.7086478
0.45749247,0.7571079,0.018040266,0.8658079,63.153778,1.9145418,0.003653927,0.12323337,0.14680625
0.43898782,0.97195315,0.051686797,0.81848586,90.1686,1.422273,0.0028633215,0.04303687,0.4700008
0.14411873,0.9889871,0.06472646,0.96570903,85.56485,1.9566104,0.0053631756,0.03436601,2.0129418
0.22754812,0.73387384,0.03765885,0.9823313,95.0308,1.2501795,0.002728866,0.14570037,1.4558915
0.32667136,0.7613003,0.07481856,0.9493669,81.67135,0.9154367,0.001270258,0.07976939,0.26095465
