case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.6919369059460916,0.6936682,1.0,0.5274681724709782,0.5740497,1.0,0.7944536388388209,0.8122475,1.0,0.7471809087547038,0.64876413,1.0,12,13.077184,1.0,81.31357678219554,54.274853,1.0,7.402817606635386,20.877789,1.0,1.7190207087019833,2.5287774,1.0,1.1708891239328543,20.661505,0.0,0.04405278878098241,0.10359351,1.0
1,0.9419930967549418,0.94857496,1.0,0.5199479914473022,0.65766263,1.0,0.11717156191815958,0.13287775,1.0,0.4177180725850106,0.6286119,1.0,12,11.512015,1.0,65.0764292212092,81.17104,1.0,12.710424513466533,8.82883,1.0,49.67256338216565,26.807058,0.0,22.839944403803084,27.819555,1.0,0.2607293362572864,0.13593332,1.0
2,0.7371956227433587,0.6972487,1.0,0.9140457873157255,0.922316,1.0,0.8070420397712706,0.60017407,1.0,0.25536347579177443,0.3153533,1.0,15,13.039582,0.0,85.63980408553651,74.07075,1.0,41.22849518226905,28.887377,1.0,16.163621174097056,7.120998,1.0,32.7867389072347,25.1,1.0,0.254313436924393,0.0869661,0.0
3,0.9363954840106282,0.7405527,0.0,0.9190343803544386,0.92236704,1.0,0.8529897406239461,0.47619313,1.0,0.5123882956583767,0.53397363,1.0,12,9.780952,0.0,12.503823364040368,49.062603,0.0,14.027538762037532,11.299794,1.0,1.7139290685691848,6.6374516,1.0,24.507394117384703,20.578632,1.0,0.017363577983034086,0.040432755,1.0
4,0.7656009593106369,0.7921638,1.0,0.822033002367452,0.7520071,1.0,0.510323783505929,0.59799474,1.0,0.1991051822469314,0.523637,1.0,14,14.403481,1.0,51.93409110918169,55.06432,1.0,3.5340804473937046,4.4922037,1.0,24.048419865170715,10.162507,1.0,3.5142645526435206,14.199312,1.0,0.42679813660960797,0.1767881,0.0
5,0.6273312497019088,0.6331766,1.0,0.5252114708875666,0.77388245,1.0,0.08033813831363434,0.23131984,1.0,0.3815026240643308,0.6117123,1.0,10,8.811355,0.0,99.91597604916831,64.86542,0.0,7.46050717213023,11.824608,1.0,3.693240158287442,5.531176,1.0,19.350506889942572,19.090601,1.0,0.26114938953264066,0.22851309,1.0
6,0.6696209769850408,0.6362992,1.0,0.5460910921977257,0.7505921,1.0,0.8692399163932957,0.681827,1.0,0.08047784284873372,0.53605795,0.0,14,14.497837,1.0,32.64297173633224,68.883156,1.0,1.5884891937199204,12.226653,1.0,1.118432338955666,3.4098084,1.0,11.66543870919588,14.87123,1.0,0.26340208327197007,0.30363193,1.0
7,0.6831151988647959,0.70927405,1.0,0.5595390257392375,0.70000917,1.0,0.4414425585059568,0.57587403,1.0,0.5815905001978381,0.61598563,1.0,16,13.859338,0.0,38.630973799733155,51.12544,1.0,7.428330367792526,7.5963264,1.0,16.432265856219118,31.10797,1.0,1.000463062768802,2.411194,0.0,0.022777228379830653,0.02463068,1.0
8,0.6178742673742572,0.6807041,1.0,0.810677375504053,0.7548313,1.0,0.4992609516725537,0.71820176,1.0,0.5302386080041651,0.46375635,1.0,6,5.379046,1.0,31.678688009821496,55.49128,1.0,12.152055711938337,28.257742,1.0,44.6316231004496,19.150965,1.0,2.1292764579327335,2.6951518,1.0,0.010200893482206421,0.02687233,1.0
9,0.52894702417341,0.5258173,1.0,0.6887715264093022,0.6832764,1.0,0.6062273480195278,0.62685114,1.0,0.7886691559396319,0.6817204,1.0,7,5.5847774,0.0,90.79052986529078,52.867905,1.0,2.479790145828174,7.470308,1.0,5.8085661718155475,19.441769,1.0,4.457099626970011,22.200325,0.0,0.01469851601119755,0.03870778,1.0
10,0.8251659247911237,0.7010248,0.0,0.9792760254059463,0.8872065,1.0,0.627161745069346,0.25736132,0.0,0.44519680394781025,0.54371923,1.0,15,12.601167,0.0,48.776638597331285,60.823856,1.0,8.354999418659647,5.0525675,1.0,22.29569130694097,11.0346775,1.0,11.301009839431007,20.64562,1.0,0.08759458221676049,0.036368553,1.0
11,0.9398538827708823,0.8888125,1.0,0.874278402243431,0.9110116,1.0,0.42829161559041196,0.43885425,1.0,0.2057908627561572,0.30694494,1.0,10,8.698417,1.0,27.192683880807593,50.22475,1.0,22.29031562266319,21.683067,1.0,1.1757776311231576,12.048584,1.0,5.744893006285743,13.014268,1.0,0.03160633809137041,0.03280023,1.0
