case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.6575248384230934,0.64990705,1.0,0.8053588178830611,0.70410913,1.0,13,12.948457,1.0,6.856825047624495,12.347607,1.0,0.3710395752729947,0.40826228,1.0
1,0.6598468747851318,0.65143275,1.0,0.9547938971950588,0.94632226,1.0,16,15.680185,1.0,1.6895232254428123,1.550771,1.0,0.0920306872490818,0.08528621,1.0
2,0.9846254057968686,0.983255,1.0,0.5632158865061241,0.7519352,1.0,5,4.90543,1.0,8.272420623352689,5.679749,1.0,0.19133463339174875,0.26133385,1.0
3,0.5201931589897336,0.52718663,1.0,0.5064558158893201,0.7244957,0.0,11,11.133703,1.0,14.968108842449237,7.0536,1.0,0.23111607259130978,0.31275252,1.0
4,0.9275495068312787,0.94469017,1.0,0.9148248191186429,0.87918544,1.0,5,4.9719486,1.0,5.010035436659531,3.5735245,1.0,0.07302547491829736,0.057639692,1.0
5,0.9127806590805029,0.91933185,1.0,0.8714844724168278,0.7954369,1.0,12,12.360038,1.0,2.2871668703785826,2.7583315,1.0,0.018766944449854245,0.0247667,1.0
6,0.5828073803521305,0.58287114,1.0,0.7299196797874961,0.7998894,1.0,13,13.575389,1.0,1.358199576446846,1.5504299,1.0,0.024745110693434203,0.02679182,1.0
7,0.6201323617066898,0.6006424,1.0,0.7603541552077042,0.7835108,1.0,16,15.750003,1.0,3.5908122010572048,5.1339335,1.0,0.08288092876444197,0.094638176,1.0
8,0.9149750815263937,0.9253951,1.0,0.8197343814908444,0.6912786,1.0,10,10.057536,1.0,1.4906644278334633,1.6081635,1.0,0.04195301997117548,0.034533866,1.0
9,0.652338967135087,0.69688195,1.0,0.5669766999969055,0.69526297,1.0,9,9.023094,1.0,3.050420563906018,14.588126,1.0,0.3195445099712618,0.42817944,1.0
10,0.8263052213045141,0.76653516,1.0,0.5323711300934797,0.7867646,0.0,4,4.1966095,1.0,42.02923555511656,36.026188,1.0,0.011959637990978668,0.030687306,1.0
