case,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
0,8,7.942377,1.0,10.904128085062883,4.500676,0.0,20.95263098143751,18.265383,1.0,6.856825047624495,12.418097,1.0,0.3710395752729947,0.39292893,1.0
1,8,7.2380695,0.0,35.10446664120423,32.187317,1.0,47.5513552685896,13.946202,0.0,1.6895232254428123,1.4790983,1.0,0.0920306872490818,0.06594856,1.0
2,16,15.795229,1.0,1.6398487379760989,4.0532084,1.0,1.3954094110838413,3.6827047,1.0,8.272420623352689,14.576027,1.0,0.19133463339174875,0.27519593,1.0
3,4,4.1598525,1.0,1.05180801304529,3.7423224,0.0,10.034741864155471,13.353823,1.0,14.968108842449237,12.891899,1.0,0.23111607259130978,0.33629057,1.0
4,14,13.716531,1.0,25.677329223921102,25.140232,1.0,1.2319648688873508,12.512434,1.0,5.010035436659531,6.7766805,1.0,0.07302547491829736,0.070042476,1.0
5,14,13.5691805,1.0,18.29287435493858,24.918512,0.0,13.979361048201758,15.571604,1.0,2.2871668703785826,3.0960119,0.0,0.018766944449854245,0.051434547,1.0
6,6,5.4626102,1.0,6.043009524254674,9.482634,1.0,21.210371207635017,22.299212,1.0,1.358199576446846,1.3369921,1.0,0.024745110693434203,0.059911452,1.0
7,7,6.9609065,1.0,7.6677474530526,10.368325,1.0,49.04955450741352,41.805798,1.0,3.5908122010572048,2.7686567,1.0,0.08288092876444197,0.12062462,1.0
8,14,13.346572,0.0,12.202203034517881,13.39567,1.0,6.660555768068833,5.957544,1.0,1.4906644278334633,1.6820567,1.0,0.04195301997117548,0.047840618,1.0
9,8,7.9921107,1.0,1.68881784206213,2.5044012,1.0,4.73867034134832,3.1531606,1.0,3.050420563906018,12.243036,1.0,0.3195445099712618,0.29780915,1.0
10,12,12.027134,1.0,1.2882351891375032,1.9857253,1.0,1.1766975861059574,1.2571069,1.0,42.02923555511656,13.893641,0.0,0.011959637990978668,0.02241653,0.0
11,7,6.9682436,1.0,47.54695113771705,43.360428,1.0,31.385534227430192,14.171613,1.0,14.923142048157999,9.305627,1.0,0.011680597666933525,0.017001763,1.0
12,4,4.1465244,1.0,14.91784460669969,14.395985,1.0,2.5563103718883693,11.573684,1.0,3.1014153133245097,4.5825624,1.0,0.02892138373663051,0.028164914,1.0
13,10,9.395644,1.0,13.82915743159045,14.211229,1.0,1.6849223416203183,2.196995,1.0,3.1082069641008707,3.0174441,1.0,0.056338470684234594,0.058018655,1.0
14,13,12.6017885,1.0,2.7649120537588723,4.1971135,1.0,1.406961676164544,1.443682,1.0,5.295949295790403,10.216445,1.0,0.01665094344616732,0.030851131,1.0
15,8,7.2443695,1.0,2.911066402702622,4.223487,1.0,5.841460783294417,5.6342316,1.0,2.242137432513862,9.4495535,1.0,0.012541375747116978,0.023599321,1.0
16,12,11.9845915,1.0,4.040002066956933,6.376948,1.0,6.723617262295003,8.485103,1.0,1.2075948818917643,11.614023,1.0,0.11514699721139975,0.18353839,1.0
17,16,15.2920885,0.0,26.456776211252055,25.658474,1.0,1.261012386876162,14.463207,1.0,1.9088030574729438,1.9622961,1.0,0.07171059673622442,0.081491925,1.0
18,9,8.750789,1.0,8.207931411516912,9.036826,1.0,21.060096864860025,30.968948,1.0,44.74651082415697,22.868656,0.0,0.010167729912833308,0.015068806,0.0
19,14,12.824459,0.0,3.1136571809344473,7.1850343,0.0,30.68187456996232,36.433098,1.0,1.3167005795785736,1.9781451,1.0,0.01088462202184263,0.047978457,0.0
20,10,9.975278,1.0,1.7093765669356638,1.5694251,1.0,13.610454372110677,13.87733,1.0,26.836145243386724,12.826641,1.0,0.05133231201810536,0.05740143,1.0
21,12,11.336327,0.0,6.111926429519939,13.817925,1.0,33.421047199940155,37.56569,1.0,2.8972647868944166,3.473837,1.0,0.013493248752761871,0.08778323,1.0
22,12,11.955588,1.0,2.6434438544104184,2.9069204,1.0,6.29726493221376,6.555336,1.0,1.1909806190135064,11.432258,1.0,0.020258828100595233,0.024690028,1.0
23,7,6.8666024,1.0,1.1452224192657796,1.6253445,1.0,27.407515695914874,28.237984,1.0,10.095548835525314,10.68599,1.0,0.030060390545285885,0.036947723,1.0
24,8,7.912179,1.0,1.3896300999382034,1.8742249,1.0,8.43739060765706,8.62159,1.0,29.65150703473732,12.68414,1.0,0.09201655371485364,0.10905403,1.0
25,12,11.61981,1.0,29.284306684299835,30.640461,1.0,4.21977697061583,13.485525,1.0,3.1123244350902537,4.0035925,1.0,0.026592074187977464,0.025342753,1.0
26,10,9.986343,1.0,9.892448755877826,8.048094,1.0,6.443162974780617,2.7788715,1.0,7.091321463643946,12.692586,1.0,0.24392367818544136,0.16931558,1.0
27,5,5.034219,1.0,20.39297437979969,22.259768,1.0,6.649720312008596,14.674032,1.0,2.7779443513565836,3.6151013,1.0,0.012996237855704525,0.033958692,1.0
28,13,12.564496,1.0,18.766386892280053,19.81404,1.0,11.516190647572907,10.074104,1.0,6.085840113100976,5.2655535,1.0,0.0607304108776554,0.06673158,1.0
29,15,15.006871,1.0,1.6633787117885934,2.0145867,1.0,17.922383763027415,18.304882,1.0,4.788152821483463,5.151366,1.0,0.011985111966366407,0.018213378,1.0
30,15,15.080637,1.0,4.789656484029706,2.8773298,0.0,39.59712462707378,38.810368,1.0,12.070307137222311,16.511984,1.0,0.03452810423304039,0.018018002,1.0
31,11,10.4258,1.0,11.973816389612345,11.302475,1.0,1.2700212345981237,2.4408922,1.0,2.9755351830722594,1.9600183,1.0,0.01719815107508155,0.017773777,1.0
32,16,15.364871,0.0,31.054289114206014,32.85148,1.0,1.4009641394444532,16.166834,0.0,41.47189114023569,22.857431,0.0,0.02599350682267636,0.06522649,0.0
33,8,8.0421,1.0,19.6287130920304,18.658068,1.0,2.267062029415872,10.238721,1.0,3.440900749234998,4.231833,1.0,0.04262169264173011,0.04618408,1.0
34,8,8.026393,1.0,47.63727512791142,38.20521,0.0,6.1724971736471455,5.871595,1.0,13.131899580735622,14.942899,1.0,0.306912176434514,0.22797707,1.0
35,5,4.934095,1.0,7.034841839928979,5.208157,1.0,24.24706782740678,23.732668,1.0,3.247049339311456,6.6936464,1.0,0.056720532010262885,0.037064385,1.0
36,4,4.2554436,0.0,27.421515130879744,33.012764,1.0,10.402508378685443,16.13773,1.0,1.1391182004497866,1.2773634,1.0,0.03526480421024871,0.08432764,1.0
37,8,7.96092,1.0,30.57399203567464,23.409967,0.0,22.949590645422667,28.975367,1.0,19.140637939337832,13.027224,1.0,0.49209010327959996,0.43481728,1.0
38,9,8.20317,0.0,30.322225301287634,32.154133,1.0,44.66522085059241,15.28681,0.0,1.1605563492441275,1.445763,1.0,0.090119991811876,0.08339816,1.0
