case,gt_q_d,mu_q_d,hit90_q_d,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp
0,0.6575248384230934,0.6876186,1.0,0.6107176357661223,0.6082971,1.0,0.8888351650925043,0.88755697,1.0,10,10.185693,1.0,93.13732479907391,88.41197,1.0
1,0.6598468747851318,0.7867545,0.0,0.9095877943901176,0.9671507,0.0,0.9935822572100149,0.9629256,0.0,6,5.401095,1.0,61.06266717172787,68.87929,1.0
2,0.9846254057968686,0.9820714,1.0,0.12643177301224828,0.08268019,1.0,0.5425851095968419,0.5347442,1.0,10,10.271399,1.0,77.9008002954608,43.88179,1.0
3,0.5201931589897336,0.53156203,1.0,0.012911631778640187,0.3285271,1.0,0.7947392250973025,0.7943645,1.0,12,12.11749,1.0,82.24654530784716,87.74686,1.0
4,0.9275495068312787,0.92120093,1.0,0.8296496382372858,0.8264845,1.0,0.5266627201452778,0.55113137,1.0,9,9.01208,1.0,55.74106364922816,27.983257,1.0
5,0.9127806590805029,0.9121647,1.0,0.7429689448336556,0.73379916,1.0,0.8371122853054269,0.8397836,1.0,7,7.0587816,1.0,24.48255184087261,23.086027,1.0
6,0.5828073803521305,0.62219703,0.0,0.4598393595749921,0.48874852,1.0,0.8903977898038726,0.854469,1.0,5,5.2081056,1.0,30.844421026090103,26.127266,1.0
7,0.6201323617066898,0.6270837,1.0,0.5207083104154083,0.56652635,1.0,0.997547061731353,0.9955014,1.0,8,7.505911,1.0,58.65354574319037,55.8477,1.0
8,0.9149750815263937,0.9033565,1.0,0.639468762981689,0.6137084,1.0,0.7423557999401525,0.748032,1.0,5,4.872069,1.0,42.989805852482014,44.001534,1.0
9,0.652338967135087,0.6694116,1.0,0.13395339999381106,0.21605761,1.0,0.6988429740178765,0.70565003,1.0,7,6.8961353,1.0,89.6999488470049,83.42617,1.0
10,0.8263052213045141,0.8360887,1.0,0.06474226018695939,0.084622286,1.0,0.5207963832076088,0.5233335,1.0,15,15.203391,1.0,14.116978551974178,18.061068,1.0
