case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error
0,0.6575248384230934,0.7847998,0.0,0.8053588178830611,0.8365696,1.0,13,12.997666,1.0,6.856825047624495,9.097691,0.0,37.103957527299464,29.106226,1.0
1,0.6598468747851318,0.69560397,1.0,0.9547938971950588,0.8013077,1.0,16,15.207976,1.0,1.6895232254428123,3.2549348,0.0,9.203068724908178,11.531047,1.0
2,0.9846254057968686,0.89876646,1.0,0.5632158865061241,0.7946171,0.0,5,5.073373,1.0,8.272420623352689,7.121794,1.0,19.133463339174874,29.519411,1.0
3,0.5201931589897336,0.59529966,1.0,0.5064558158893201,0.781193,0.0,11,9.931759,1.0,14.968108842449237,24.691664,1.0,23.11160725913097,16.976667,1.0
4,0.9275495068312787,0.89371824,1.0,0.9148248191186429,0.8974318,1.0,5,6.026372,1.0,5.010035436659531,4.93571,1.0,7.302547491829734,7.165879,1.0
5,0.9127806590805029,0.8985487,1.0,0.8714844724168278,0.8169605,1.0,12,12.67656,1.0,2.2871668703785826,2.216206,1.0,1.8766944449854237,1.5631385,1.0
6,0.5828073803521305,0.60256594,1.0,0.7299196797874961,0.6342182,1.0,13,13.166145,1.0,1.358199576446846,1.771969,1.0,2.4745110693434196,2.8924072,1.0
7,0.6201323617066898,0.6185659,1.0,0.7603541552077042,0.77213657,1.0,16,15.125393,1.0,3.5908122010572048,4.2944493,1.0,8.288092876444198,9.513833,1.0
8,0.9149750815263937,0.9526365,1.0,0.8197343814908444,0.9306671,0.0,10,10.7743225,1.0,1.4906644278334633,1.3914946,1.0,4.195301997117547,3.364603,1.0
9,0.652338967135087,0.6861449,0.0,0.5669766999969055,0.750332,1.0,9,8.69015,1.0,3.050420563906018,3.7759237,1.0,31.954450997126184,35.056877,1.0
10,0.8263052213045141,0.7084322,1.0,0.5323711300934797,0.7765248,0.0,4,4.505999,1.0,42.02923555511656,32.566013,1.0,1.1959637990978667,11.818789,1.0
11,0.622176413045848,0.65866274,1.0,0.9935704190001861,0.8629366,0.0,15,14.560734,1.0,14.923142048157999,12.152384,1.0,1.1680597666933517,14.339145,0.0
12,0.5114336370709982,0.5101635,1.0,0.8454169514381564,0.7299558,1.0,7,5.0645547,0.0,3.1014153133245097,3.4945726,1.0,2.8921383736630504,3.0388036,1.0
13,0.7401339809244023,0.7315953,1.0,0.8357315661150184,0.81148505,1.0,6,6.3623657,1.0,3.1082069641008707,2.944438,1.0,5.633847068423459,5.420222,1.0
14,0.8730123006326601,0.877375,1.0,0.6299850264298643,0.6057043,1.0,5,6.0043645,1.0,5.295949295790403,5.460749,1.0,1.6650943446167317,1.996699,1.0
