case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.5556588343160853,0.5262158,1.0,0.8039830509341079,0.7442575,1.0,9,9.17465,1.0,4.394939796735715,6.362626,1.0,3.677765906631457,5.6348934,1.0,0.14416685429115145,0.17812875,1.0
1,0.6862691492882809,0.6506313,1.0,0.9234344479502027,0.71979064,1.0,7,7.171403,1.0,15.131136135874442,14.999103,1.0,1.0777163742393752,2.166041,0.0,0.41295236420175474,0.39890796,1.0
2,0.8832048005508424,0.8898628,1.0,0.9625626302920289,0.95288485,1.0,9,8.733672,1.0,1.2431825201264546,1.7379345,1.0,1.5326460157212232,4.5484304,1.0,0.044251674854798355,0.0995337,1.0
3,0.725495423272815,0.7499406,1.0,0.5179531611380157,0.6455648,0.0,5,5.2467914,1.0,3.85194111155056,2.2039106,1.0,5.908804936965314,4.2958484,1.0,0.03781216319043359,0.02106486,1.0
4,0.8444835497514515,0.8485741,1.0,0.8727310390225481,0.87724054,1.0,10,10.132274,1.0,1.2139934324638884,2.6816652,1.0,46.63141456633845,31.170301,1.0,0.26792579711107756,0.19692107,1.0
5,0.7723793630303225,0.8281444,1.0,0.7190984629019976,0.69660205,1.0,14,13.564459,1.0,33.49047855203642,36.945526,1.0,1.0099723499093456,4.206921,0.0,0.01985832566289398,0.020727603,1.0
6,0.5949942700451032,0.61815333,1.0,0.8084513569115578,0.83911306,1.0,11,9.877485,0.0,3.055004198261296,7.8530436,1.0,22.85071169158681,34.403095,1.0,0.01619088677455446,0.032050613,1.0
7,0.6613879388071906,0.66734535,1.0,0.5577020807139823,0.7332772,1.0,13,12.978395,1.0,4.232729767093937,11.131427,1.0,1.0090567937366297,2.2829883,0.0,0.22770713782746974,0.3524085,1.0
8,0.8721188392625056,0.8497348,1.0,0.5300128188967095,0.5958641,1.0,8,8.186227,1.0,22.904494381636432,12.263037,1.0,16.66488641788403,19.391981,1.0,0.4056468245561207,0.39536914,1.0
9,0.7634633847386074,0.77848774,1.0,0.5326586784382468,0.5344624,1.0,10,10.093983,1.0,1.4675793559245338,6.792537,1.0,9.105902063340732,10.326472,1.0,0.36245102474053104,0.3307766,1.0
10,0.8530274742608659,0.85122687,1.0,0.6423569366789573,0.5733765,1.0,14,13.956091,1.0,3.9318635183643424,5.4243374,1.0,2.509513534265989,3.2007117,1.0,0.09623779009432763,0.12068387,1.0
11,0.8992389446907623,0.77477163,1.0,0.9485151018723592,0.7843285,0.0,13,10.002267,0.0,45.614583537712384,42.23614,1.0,12.256443114991134,15.099,1.0,0.0486419164687733,0.025210653,1.0
12,0.5783574149240921,0.5563275,1.0,0.6295238478608276,0.72810143,1.0,7,7.286884,1.0,8.236534817815782,10.821602,1.0,2.129324312794878,3.5163457,1.0,0.26431995710606354,0.34893826,1.0
13,0.6423113192822478,0.62844324,1.0,0.5863041924004326,0.5777183,1.0,14,12.931209,1.0,3.5024697224899755,3.080121,1.0,3.4053319464366587,3.5927267,1.0,0.02788716730091209,0.026798317,1.0
14,0.9269309429429212,0.80897415,1.0,0.9460131651092596,0.8865014,1.0,5,4.6423025,1.0,43.53745652358901,31.960854,1.0,1.125190286607625,11.223308,0.0,0.18606993006590794,0.0588104,0.0
