case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing
0,0.5556588343160853,0.5334558,0.0,0.8039830509341079,0.8163785,1.0,9,8.961325,1.0,4.394939796735715,5.7252293,1.0,3.677765906631457,8.0938635,0.0,14.416685429115141,13.925192,1.0
1,0.6862691492882809,0.68856514,1.0,0.9234344479502027,0.8151183,0.0,7,7.8682656,1.0,15.131136135874442,15.068619,1.0,1.0777163742393752,12.369301,1.0,41.29523642017547,13.284662,0.0
2,0.8832048005508424,0.9406545,1.0,0.9625626302920289,0.9295039,1.0,9,8.910713,1.0,1.2431825201264546,1.2856907,1.0,1.5326460157212232,2.4967904,1.0,4.425167485479832,9.429112,1.0
3,0.725495423272815,0.8505905,0.0,0.5179531611380157,0.6145206,0.0,5,4.9544992,1.0,3.85194111155056,4.3739963,1.0,5.908804936965314,5.589618,1.0,3.781216319043358,15.385289,1.0
4,0.8444835497514515,0.8576611,1.0,0.8727310390225481,0.7607349,1.0,10,11.003971,1.0,1.2139934324638884,1.1480371,1.0,46.63141456633845,31.283817,0.0,26.79257971110776,8.8467245,1.0
5,0.7723793630303225,0.6960578,1.0,0.7190984629019976,0.7113095,1.0,14,15.0113945,1.0,33.49047855203642,35.702133,1.0,1.0099723499093456,13.820061,0.0,1.9858325662893972,4.2957473,1.0
6,0.5949942700451032,0.58817565,1.0,0.8084513569115578,0.65347433,1.0,11,12.086713,1.0,3.055004198261296,4.2692823,1.0,22.85071169158681,29.70891,1.0,1.6190886774554456,2.7166543,1.0
7,0.6613879388071906,0.6307488,0.0,0.5577020807139823,0.54530394,1.0,13,11.810717,1.0,4.232729767093937,4.9414053,1.0,1.0090567937366297,1.262321,1.0,22.770713782746974,15.252919,1.0
8,0.8721188392625056,0.905719,1.0,0.5300128188967095,0.5209559,1.0,8,8.626557,1.0,22.904494381636432,27.996666,0.0,16.66488641788403,20.98405,1.0,40.56468245561207,25.501652,1.0
9,0.7634633847386074,0.76464516,1.0,0.5326586784382468,0.559173,1.0,10,9.717209,1.0,1.4675793559245338,1.7984687,1.0,9.105902063340732,9.719918,1.0,36.2451024740531,14.63933,1.0
10,0.8530274742608659,0.85707724,1.0,0.6423569366789573,0.638139,1.0,14,14.068851,1.0,3.9318635183643424,4.5792627,0.0,2.509513534265989,3.7791774,1.0,9.62377900943276,14.154334,1.0
11,0.8992389446907623,0.71112317,1.0,0.9485151018723592,0.8572856,1.0,13,12.912207,1.0,45.614583537712384,30.051062,1.0,12.256443114991134,16.516722,1.0,4.864191646877328,3.9643223,1.0
12,0.5783574149240921,0.5768167,1.0,0.6295238478608276,0.56362575,0.0,7,7.144281,1.0,8.236534817815782,10.196704,0.0,2.129324312794878,4.1997843,1.0,26.431995710606344,21.848852,1.0
13,0.6423113192822478,0.6254771,0.0,0.5863041924004326,0.5594696,1.0,14,14.171971,1.0,3.5024697224899755,3.6638682,1.0,3.4053319464366587,7.6184855,0.0,2.7887167300912084,18.992405,0.0
14,0.9269309429429212,0.82206625,1.0,0.9460131651092596,0.82561994,1.0,5,6.76153,0.0,43.53745652358901,35.609158,1.0,1.125190286607625,13.405246,1.0,18.60699300659079,6.888951,1.0
15,0.6104411045359468,0.5873843,0.0,0.8859660683668107,0.81446445,1.0,14,14.220836,1.0,1.143194447315839,1.4439514,1.0,4.375515836412718,5.756882,1.0,22.298939332556902,13.733562,1.0
16,0.7570065109964379,0.83155787,1.0,0.6478984311689353,0.60875773,1.0,6,5.6168633,1.0,9.061314907181167,11.125426,0.0,1.8078022936689158,3.3540483,1.0,39.284075050141674,23.566883,1.0
17,0.7979102978485404,0.9152758,1.0,0.9290506709525626,0.88058364,1.0,12,11.929429,1.0,5.573516575860054,7.064464,0.0,13.648092668679507,9.157722,1.0,1.8390726581976484,8.541248,1.0
18,0.9025544897159326,0.90244263,1.0,0.5807176743354041,0.521719,0.0,9,8.057162,1.0,9.607281815830534,13.64797,0.0,8.66238748130544,10.363569,1.0,35.6697704397242,21.564722,1.0
19,0.902066050847534,0.91430396,1.0,0.810299891585223,0.7021181,1.0,10,10.676201,1.0,4.333304792641254,4.516326,1.0,34.5781752123687,24.310877,1.0,4.822540332108922,7.6025877,1.0
20,0.815922442580131,0.7861811,1.0,0.6241937580786135,0.74903953,1.0,11,12.214715,1.0,45.51556897641245,36.931736,1.0,38.956722953079414,19.337622,1.0,1.7661385023023264,2.4587095,1.0
21,0.6580749605121288,0.66765916,1.0,0.5253789422676849,0.55645126,1.0,10,10.01682,1.0,16.61999589969525,19.023113,1.0,5.2489502789397955,10.059032,1.0,11.88168456849822,24.009426,1.0
22,0.5445424483264725,0.6840181,1.0,0.5385704756927352,0.83749706,1.0,10,5.2915654,0.0,1.2918408125264897,20.532024,1.0,46.232592913328816,17.668886,0.0,1.1608922886031454,4.1290483,1.0
23,0.8118900307962379,0.8343413,1.0,0.5349969190537626,0.5584075,1.0,13,12.139393,1.0,4.370490363586475,5.0117335,1.0,3.7667526929176254,4.0001597,1.0,46.14354168093728,13.561658,0.0
24,0.9324676158245693,0.9421427,1.0,0.5841020110144266,0.55192965,1.0,14,15.093429,1.0,1.1157725236526765,1.372623,1.0,23.226961396521233,20.16369,0.0,27.37697915281334,13.811166,1.0
25,0.8307125573508748,0.7897082,1.0,0.7214935845360004,0.72091913,1.0,14,15.293124,0.0,29.870467570862022,27.220463,1.0,3.338811471918518,9.3278,1.0,33.514394664057406,19.865618,1.0
26,0.5440557513264774,0.53808415,1.0,0.8981994038158476,0.8360046,1.0,11,11.556842,1.0,3.9862592344422536,4.244006,1.0,3.835110561754159,9.548599,0.0,8.896727996611663,16.552065,1.0
27,0.8324268805330262,0.889647,1.0,0.8041655340266487,0.7040347,0.0,11,12.395161,0.0,7.413066116579071,8.414273,1.0,27.924694131882895,17.062527,1.0,44.42307499250325,18.552547,0.0
28,0.8030814091820881,0.81903386,1.0,0.9252684047783981,0.8654458,1.0,5,4.664014,1.0,1.8826539428196936,2.044673,1.0,6.784258572344856,7.997678,1.0,2.6586501297562535,8.722561,1.0
29,0.8353323736074716,0.8202657,1.0,0.7213990034844617,0.74538463,1.0,10,11.594172,0.0,32.96381244185766,33.3748,1.0,6.646371378152653,9.880058,1.0,10.390818989115182,24.806688,1.0
30,0.7697425204521753,0.8215665,1.0,0.7388380410687405,0.7905524,1.0,6,6.67214,1.0,24.421245936101222,23.291716,1.0,3.280330179922762,11.687524,1.0,3.6146566021391715,23.005335,0.0
31,0.7993571754752039,0.8053644,1.0,0.6559649489091903,0.74669343,1.0,11,12.590412,0.0,42.44124785008998,38.67737,1.0,6.305270879580572,11.993597,1.0,2.191649416995312,8.834102,1.0
32,0.6803497411392099,0.6876473,1.0,0.6161046330611708,0.58503246,1.0,10,10.524146,1.0,1.742276095041176,2.2598293,1.0,34.70959364780002,35.692665,1.0,30.15327595924395,21.544888,1.0
33,0.6463955986456817,0.6589707,1.0,0.8130127707978383,0.7813424,1.0,5,5.882727,1.0,23.474577316842954,30.582977,1.0,1.4865425964235917,11.577182,1.0,2.679452840856549,7.2186303,1.0
34,0.6601854263976195,0.64664465,1.0,0.997836338985096,0.86751807,0.0,6,5.5054746,1.0,7.990511339370986,8.727097,1.0,4.1702465695933,9.515906,1.0,3.347825924768234,4.051681,1.0
35,0.9221278429559743,0.9373539,1.0,0.7490957119894124,0.7020178,1.0,6,6.521965,1.0,3.538584741311643,3.5660377,1.0,17.56198027422463,17.81188,1.0,12.611771727342532,13.46824,1.0
36,0.5552669449265557,0.5560387,1.0,0.7801738728515424,0.75216347,1.0,6,6.306907,1.0,11.013605489392033,14.540186,1.0,46.63012296415477,11.32576,0.0,42.461937881300436,10.330748,0.0
37,0.6364718424332134,0.6354578,1.0,0.5434487809863968,0.5499405,1.0,9,8.812791,1.0,3.1242440632158415,3.408882,1.0,1.265974809467297,1.857718,1.0,1.1891320521804132,13.750218,0.0
38,0.6650215223328398,0.67122614,1.0,0.6908547125202464,0.70061046,1.0,6,6.2649927,1.0,2.255898467536217,2.0035765,1.0,3.3751341042564533,6.1006584,1.0,2.3286799588379488,10.697606,1.0
39,0.8091979822137666,0.9110785,0.0,0.5262805573414782,0.57561433,1.0,6,5.9392776,1.0,5.0458815256156555,6.0718813,1.0,47.107384155053985,27.938284,0.0,9.099924351283754,24.454615,1.0
40,0.9878479934959556,0.9738074,1.0,0.5297593951412805,0.5162998,1.0,10,10.150799,1.0,12.393196304575348,15.688682,1.0,25.97689875357873,33.512524,1.0,2.1290638596511133,9.0400505,1.0
41,0.7634826201181348,0.80895215,1.0,0.6176208010985278,0.5910641,1.0,4,4.2182293,1.0,11.58260746702681,12.879724,1.0,1.4904223530197216,2.7608476,1.0,39.40727391539348,20.835373,1.0
42,0.9293158252845901,0.9603945,1.0,0.5176579305143738,0.53424233,1.0,15,15.034934,1.0,4.633468345446365,5.5061884,0.0,24.328387606672308,20.54803,1.0,7.030207720429235,19.769192,1.0
43,0.9293070127649671,0.8638173,1.0,0.8854909360290217,0.88892066,1.0,14,14.447516,1.0,8.412130105744007,9.391805,1.0,7.125393451657732,5.2032676,1.0,1.1278529221164904,5.9786525,1.0
44,0.578235534116013,0.5593511,1.0,0.982387408324874,0.77037185,0.0,8,9.867302,0.0,14.146245463333543,17.216503,1.0,49.89121259149396,16.281525,0.0,18.07613440499233,4.1302657,0.0
45,0.5102254646988533,0.5228941,1.0,0.5830095419826605,0.74924237,1.0,7,8.339352,1.0,48.639529001897436,34.339485,1.0,7.171015443535332,10.692798,1.0,4.437373602682237,4.55137,1.0
46,0.6002987154849555,0.5992334,1.0,0.5902557493642601,0.5445443,1.0,9,9.550252,1.0,1.07614126255444,1.6307342,1.0,2.8616844474700676,3.5909414,1.0,5.741863773308301,15.584308,1.0
47,0.806579823595205,0.87732065,1.0,0.8826905770601026,0.86054385,1.0,6,5.6844416,1.0,3.406885542957345,3.8076973,1.0,3.6701682688167137,4.0857534,1.0,6.042852581367084,8.194235,1.0
48,0.6494523390004834,0.63913655,1.0,0.6887192442567003,0.7226702,1.0,16,15.220164,0.0,1.350049466691167,2.2013974,0.0,4.500814779398881,4.926761,1.0,1.651888084676362,8.311873,1.0
49,0.8222910474656923,0.8970472,1.0,0.7457652194525041,0.69463015,1.0,14,14.721442,1.0,3.0776776291500014,3.678437,0.0,36.11410931465541,23.410852,1.0,18.761785957553702,19.784382,1.0
50,0.5013513963319951,0.51199144,1.0,0.5873962587871694,0.61017615,1.0,13,12.789144,1.0,12.018165132454723,12.483491,1.0,13.55442637711468,7.3943253,1.0,16.330821379592344,17.555391,1.0
51,0.7566721832888466,0.7876954,1.0,0.6152272649436876,0.56382275,1.0,9,9.149053,1.0,1.318918078476906,2.033959,1.0,23.545456400200525,21.868711,1.0,15.719694453842711,17.787182,1.0
52,0.7376316826676969,0.85408396,1.0,0.8205035416255837,0.7312117,1.0,8,9.120387,1.0,32.239884291994116,33.718697,1.0,9.005900943297481,13.716543,1.0,6.198029148502861,5.4759474,1.0
53,0.8720729710325215,0.9473603,1.0,0.549530690101369,0.53021914,1.0,10,11.050376,1.0,17.640741280341263,21.230957,1.0,48.145208268945154,18.662973,0.0,17.438198743118352,21.58504,1.0
54,0.6598213840920845,0.66332865,1.0,0.9741270956700523,0.8707172,1.0,9,9.41408,1.0,3.8574375643084347,3.5627992,1.0,9.541498865049247,19.770145,0.0,3.123169366869274,9.150175,1.0
55,0.8141623025607426,0.8289014,1.0,0.5959704388707421,0.57823557,1.0,10,10.675233,1.0,14.980787785178146,18.842905,0.0,15.153688389940866,21.962221,1.0,15.61672643059166,25.856823,1.0
56,0.6004207469811121,0.60205394,1.0,0.7225274347971915,0.6653254,1.0,9,9.285108,1.0,1.938225784779232,2.4031482,1.0,4.14955605184744,5.5304685,1.0,27.476260532564357,12.378326,1.0
57,0.9868646544613605,0.870761,0.0,0.8419390347981554,0.8234257,1.0,16,15.140428,0.0,2.849926600786895,3.5211189,0.0,1.2287175776229593,1.8886101,1.0,44.22268500860405,8.268747,0.0
58,0.8066587433655221,0.7529139,1.0,0.9650619747535882,0.8969058,1.0,13,14.733286,0.0,21.434166893667246,18.733511,1.0,6.076643382654995,15.225462,1.0,3.2837031156336844,3.2353377,1.0
59,0.5761564868198391,0.5629487,1.0,0.7989274904710308,0.750442,1.0,9,9.719036,1.0,9.073732132350505,9.106951,1.0,1.3600447869294838,5.282727,0.0,1.2132205387954227,7.2568107,1.0
60,0.775789592249907,0.84830195,1.0,0.5088039048464024,0.5634204,1.0,7,7.3541093,1.0,2.5923296212671207,2.6861713,1.0,3.3711871109872313,6.227733,1.0,12.269676796308975,7.358206,1.0
61,0.5181477164965967,0.5262544,1.0,0.6549680835385774,0.5825127,0.0,15,15.601323,1.0,2.486481112791899,3.1423237,1.0,15.42281411222587,18.720993,1.0,37.21644563602486,20.359028,1.0
62,0.8533768622171931,0.8698772,1.0,0.9254093085146975,0.8391259,1.0,6,6.106639,1.0,8.172525383905203,9.270564,1.0,5.488899575231557,6.8076534,1.0,8.237730066884517,5.970085,1.0
63,0.876255537122018,0.8865943,1.0,0.6310440895153289,0.5649357,1.0,14,14.876617,1.0,1.354562026540939,1.7337645,1.0,16.427720844199055,17.169579,1.0,4.977870255406555,15.720192,1.0
64,0.8407803902571508,0.8446039,1.0,0.9285733165036651,0.8673472,1.0,13,14.599287,0.0,8.566830945079356,9.772172,1.0,35.62702461479861,8.237587,0.0,45.37998190444313,5.6768928,0.0
65,0.7994576044523678,0.8628523,1.0,0.5692237462232765,0.5851738,1.0,5,5.3323255,1.0,20.16841749268795,28.137932,0.0,15.827053731398236,17.998892,1.0,6.667891430760905,23.30462,1.0
66,0.9121578697111589,0.89897317,1.0,0.6240712948627456,0.59622437,1.0,5,5.274365,1.0,2.5253130280455225,2.4623694,1.0,13.062569510873162,14.6367655,1.0,3.824863709042112,7.0175414,1.0
67,0.5714853263148991,0.5680353,1.0,0.6561794821620075,0.65773165,1.0,15,14.958745,1.0,5.97138341682193,8.051893,1.0,8.821304642038712,20.152523,1.0,1.1536203158106586,3.1453886,1.0
68,0.8437747567536746,0.87770617,1.0,0.5988942924369651,0.5706469,1.0,15,14.642533,1.0,3.496823039632533,4.3330708,0.0,14.012567348134395,12.92453,1.0,12.56096078102227,15.964388,1.0
69,0.9069915888797568,0.9498079,1.0,0.8764003069515642,0.8819461,1.0,14,14.948919,1.0,1.0620864381552948,1.1944946,1.0,14.925056138580901,14.538593,1.0,11.480872174389791,8.401561,1.0
70,0.5287308309296539,0.50788313,0.0,0.8947946365054988,0.83616894,1.0,8,8.708519,1.0,19.125140307400237,24.751427,1.0,4.371889071775845,7.1916223,1.0,24.98138490896727,16.546515,1.0
71,0.6400226127048888,0.6263969,1.0,0.7431914349039686,0.73872215,1.0,8,7.698208,1.0,2.3131633847065105,2.8128517,1.0,2.7746867566157163,2.7757745,1.0,2.8256147066339694,7.0232162,1.0
72,0.9595115902779432,0.80173594,1.0,0.755853218033858,0.6982592,1.0,11,11.582339,1.0,14.184628830792526,15.448072,1.0,19.00922564100588,30.044254,1.0,1.5096055973789089,1.9989424,1.0
73,0.7902643746138482,0.84121686,1.0,0.6352388977654366,0.6804264,1.0,5,6.33797,0.0,36.45090765537227,35.329155,1.0,3.357917489440079,13.974189,1.0,1.4981536327021465,4.5203466,1.0
74,0.8677122199529309,0.9237182,1.0,0.9537208580735265,0.9105353,1.0,15,15.203998,1.0,4.391909047951447,5.3248544,0.0,12.196099464570594,10.99273,1.0,4.194953427307868,6.522838,1.0
75,0.8966189464659919,0.90239805,1.0,0.7197951209686451,0.6594296,0.0,12,11.529656,1.0,2.8507356044136816,3.2123418,1.0,3.5931389356266275,4.4689703,1.0,3.2022571179134567,2.5088556,1.0
76,0.82910018820528,0.8429514,1.0,0.5099398761002891,0.55883205,1.0,9,10.760087,0.0,1.7371538582889994,1.2110286,0.0,1.7740319868673247,3.279936,1.0,5.8933324267995415,10.737228,1.0
77,0.8164938703484119,0.82978326,1.0,0.7992382382189456,0.80387455,1.0,6,6.358832,1.0,1.8853410351403055,1.5248497,1.0,39.7117073170502,35.36824,1.0,2.212973659045362,2.8086503,1.0
78,0.626831533521977,0.63276213,1.0,0.8876117583119658,0.7355094,1.0,5,5.4459867,1.0,2.9827015684646097,2.9925556,1.0,32.05456557945983,32.904743,1.0,6.691726668328123,3.7880187,1.0
79,0.5252831488271621,0.62401193,1.0,0.9161991455400912,0.7865025,1.0,14,9.521194,1.0,26.61416164010821,23.516634,1.0,10.529264184343123,21.19744,1.0,2.013356833192738,3.1743274,1.0
80,0.9511909648944847,0.9059243,1.0,0.8486547523624646,0.765389,1.0,7,7.483285,1.0,9.056834947724358,10.130916,1.0,30.511126229654476,20.203669,1.0,20.29693487900418,8.235623,1.0
81,0.9772167849651769,0.9144393,1.0,0.5259170834903493,0.5898457,1.0,7,6.042838,1.0,47.42729732072581,42.351055,1.0,43.89127943081073,22.52053,1.0,11.29594075089418,7.390238,1.0
82,0.925827415274656,0.91578,1.0,0.8292431540184109,0.68236685,1.0,14,14.370134,1.0,2.0452769926227403,2.1966038,1.0,37.9485978916734,39.772713,1.0,3.214994696276788,3.206188,1.0
83,0.7124606259943749,0.69860643,1.0,0.5128570994339228,0.5503982,1.0,13,12.454943,1.0,2.553039864270853,3.113532,1.0,2.4459484970095002,2.556922,1.0,1.6785091080561285,14.390833,0.0
84,0.9332520152795445,0.8957312,1.0,0.5996400356976122,0.57497436,1.0,11,10.745986,1.0,13.971592544331598,20.677826,0.0,9.711586614913607,13.534871,1.0,5.269837670899336,14.475287,1.0
85,0.7358596005448637,0.85899913,1.0,0.9866763738858928,0.89475197,1.0,12,12.327428,1.0,11.29424327203255,12.656647,1.0,46.125413512915685,19.997028,0.0,1.7920786506931623,3.2992067,1.0
86,0.9356684040335355,0.9238189,1.0,0.9859088087279334,0.7528296,0.0,7,7.2643375,1.0,1.249914940202348,1.194831,1.0,37.363668472249856,37.331345,1.0,3.7144676189940324,3.5985324,1.0
87,0.8815863437485268,0.85861254,1.0,0.8751455028985435,0.78806317,1.0,6,5.3793974,1.0,10.119667052378684,10.52448,1.0,1.468021772627239,8.500986,1.0,28.99731988920485,12.735111,1.0
88,0.7553289938864911,0.79070604,1.0,0.859625697869806,0.8234141,1.0,15,15.333861,1.0,5.558479617009791,6.8626895,0.0,12.46838931270708,13.943232,1.0,26.57805243386052,14.483168,1.0
89,0.7131128049611438,0.72492677,1.0,0.8624467666301098,0.6744137,0.0,13,13.064859,1.0,1.1081728307072867,2.1352189,0.0,14.067261926924637,15.136525,1.0,46.96177978570139,4.2016454,0.0
90,0.5305901094945797,0.5186827,1.0,0.5285592834008147,0.5388334,1.0,4,10.934095,0.0,8.208028580575718,6.963439,1.0,2.258663186186672,3.8889058,1.0,32.58697885377482,16.860783,1.0
91,0.5579506552747561,0.5509153,1.0,0.8769013923286202,0.8035818,1.0,7,7.594041,1.0,7.331413584949796,8.621285,1.0,11.501028932509309,16.928167,1.0,4.528965288155006,6.212092,1.0
92,0.6163214422847626,0.6157188,1.0,0.8186373813084347,0.7422698,1.0,13,12.844948,1.0,5.447343415686287,6.4376135,0.0,1.5939274597248163,2.9218028,1.0,30.093564905029965,7.7900686,0.0
93,0.9010532120524446,0.86624855,1.0,0.990332170407535,0.9247522,1.0,5,4.5756145,1.0,7.211044561783747,8.288781,0.0,3.70159690908033,3.0460012,1.0,2.2559131861463615,5.016438,1.0
94,0.8541934720961665,0.9425098,1.0,0.6951334539690979,0.6411432,1.0,9,9.59737,1.0,5.886284663423712,8.02762,0.0,30.53375282366496,30.324007,1.0,5.8426313759515685,18.677885,1.0
95,0.9935367455317795,0.9004215,0.0,0.6074707912771642,0.53463095,0.0,10,8.548049,1.0,6.049167400458837,7.5399885,0.0,1.1408564358223443,5.804447,0.0,49.82784141093349,20.394402,0.0
96,0.8105638830466673,0.8867344,1.0,0.8338982311463039,0.74180114,0.0,5,5.2091703,1.0,3.2899856722730507,3.4909873,1.0,12.440237672067688,13.465823,1.0,3.3762543170331343,12.957043,1.0
97,0.6303105611746986,0.621468,1.0,0.5838942857898862,0.61452764,1.0,13,13.638686,1.0,26.057544222773434,31.601503,1.0,1.1868447031219513,17.448215,0.0,1.0808083662427925,3.1788154,1.0
98,0.7077889832980049,0.6852141,1.0,0.8779384639380576,0.8133737,1.0,15,14.955691,1.0,2.8869929801805108,2.8160315,1.0,3.344397557227641,5.1975956,1.0,47.03741022537777,8.941822,0.0
99,0.5946152059777365,0.5842769,1.0,0.8707038279848942,0.8247182,1.0,7,7.4142714,1.0,4.485228183257726,5.4704275,1.0,27.94189525434792,27.065742,1.0,19.700434676962413,22.105846,1.0
100,0.6776762587966868,0.6989822,1.0,0.6773713063610507,0.7324618,1.0,14,14.673578,1.0,32.67785465119467,28.8443,1.0,23.590221595539163,11.1421385,1.0,14.302660728052757,25.551407,1.0
101,0.9584833929217715,0.91554976,1.0,0.6007435954429533,0.5865456,1.0,10,10.497082,1.0,20.020157202857362,22.0773,1.0,34.5762428282211,30.8352,1.0,6.398999740898891,8.926978,1.0
102,0.9895013129095922,0.8927543,1.0,0.691741690167315,0.5976028,0.0,5,5.5493107,1.0,26.27369539462116,33.218796,1.0,33.234180531299806,18.182402,1.0,21.390429074947715,6.014256,0.0
