case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.5556588343160853,0.53130674,1.0,0.8039830509341079,0.7168527,1.0,9,9.027629,1.0,4.394939796735715,5.1980877,1.0,3.677765906631457,10.771127,1.0,0.14416685429115145,0.15812796,1.0
1,0.6862691492882809,0.6475823,1.0,0.9234344479502027,0.7197909,1.0,7,7.0613856,1.0,15.131136135874442,16.425472,1.0,1.0777163742393752,10.795047,0.0,0.41295236420175474,0.41859356,1.0
2,0.8832048005508424,0.94061583,0.0,0.9625626302920289,0.8787499,1.0,9,9.024986,1.0,1.2431825201264546,1.2838275,1.0,1.5326460157212232,12.471102,1.0,0.044251674854798355,0.032816872,1.0
3,0.725495423272815,0.73166287,1.0,0.5179531611380157,0.5587731,1.0,5,4.887867,1.0,3.85194111155056,2.6957831,1.0,5.908804936965314,12.942217,1.0,0.03781216319043359,0.024195172,1.0
4,0.8444835497514515,0.83317715,1.0,0.8727310390225481,0.73767453,1.0,10,9.95627,1.0,1.2139934324638884,3.8352544,0.0,46.63141456633845,11.195125,0.0,0.26792579711107756,0.27194068,1.0
5,0.7723793630303225,0.82408595,1.0,0.7190984629019976,0.8579325,1.0,14,13.614647,1.0,33.49047855203642,32.683804,1.0,1.0099723499093456,4.2250724,1.0,0.01985832566289398,0.026835725,1.0
6,0.5949942700451032,0.5926873,1.0,0.8084513569115578,0.8081918,1.0,11,9.526867,1.0,3.055004198261296,3.6435003,1.0,22.85071169158681,16.806204,1.0,0.01619088677455446,0.014406616,1.0
7,0.6613879388071906,0.6807468,1.0,0.5577020807139823,0.74014145,1.0,13,12.922721,1.0,4.232729767093937,2.9081361,1.0,1.0090567937366297,11.5783415,0.0,0.22770713782746974,0.26018375,1.0
8,0.8721188392625056,0.87114775,1.0,0.5300128188967095,0.74468535,0.0,8,7.9227843,1.0,22.904494381636432,13.944095,1.0,16.66488641788403,10.320873,1.0,0.4056468245561207,0.373532,1.0
9,0.7634633847386074,0.796002,1.0,0.5326586784382468,0.727024,1.0,10,9.919193,1.0,1.4675793559245338,4.9169064,1.0,9.105902063340732,10.022879,1.0,0.36245102474053104,0.39364505,1.0
10,0.8530274742608659,0.8310676,1.0,0.6423569366789573,0.6164845,1.0,14,14.185715,1.0,3.9318635183643424,5.053492,1.0,2.509513534265989,10.218543,1.0,0.09623779009432763,0.104505435,1.0
11,0.8992389446907623,0.8701938,1.0,0.9485151018723592,0.95418626,1.0,13,13.170131,1.0,45.614583537712384,42.303673,1.0,12.256443114991134,23.124369,1.0,0.0486419164687733,0.0646066,1.0
12,0.5783574149240921,0.55802757,1.0,0.6295238478608276,0.7286221,1.0,7,7.0350575,1.0,8.236534817815782,7.9908204,1.0,2.129324312794878,10.116811,1.0,0.26431995710606354,0.3329491,1.0
13,0.6423113192822478,0.62227935,0.0,0.5863041924004326,0.5863389,1.0,14,11.144011,0.0,3.5024697224899755,5.635023,1.0,3.4053319464366587,5.172094,1.0,0.02788716730091209,0.030901184,1.0
14,0.9269309429429212,0.74674135,1.0,0.9460131651092596,0.94623476,1.0,5,5.9713097,1.0,43.53745652358901,32.32771,0.0,1.125190286607625,2.371652,1.0,0.18606993006590794,0.07871942,1.0
15,0.6104411045359468,0.6747362,0.0,0.8859660683668107,0.73241657,1.0,14,13.88632,1.0,1.143194447315839,4.6322374,0.0,4.375515836412718,11.636798,1.0,0.22298939332556905,0.26192108,1.0
16,0.7570065109964379,0.78838307,1.0,0.6478984311689353,0.7294478,1.0,6,5.9134703,1.0,9.061314907181167,6.936529,1.0,1.8078022936689158,9.325981,1.0,0.39284075050141676,0.42047957,1.0
17,0.7979102978485404,0.74949,1.0,0.9290506709525626,0.8436819,0.0,12,9.767678,0.0,5.573516575860054,9.849867,1.0,13.648092668679507,15.607125,1.0,0.018390726581976487,0.048025627,1.0
18,0.9025544897159326,0.9010622,1.0,0.5807176743354041,0.72520775,1.0,9,8.855683,1.0,9.607281815830534,7.0992413,1.0,8.66238748130544,10.88296,1.0,0.356697704397242,0.3941577,1.0
19,0.902066050847534,0.9147003,1.0,0.810299891585223,0.7998377,1.0,10,10.139566,1.0,4.333304792641254,3.6297774,1.0,34.5781752123687,15.2595625,1.0,0.04822540332108924,0.0388827,1.0
20,0.815922442580131,0.8903888,1.0,0.6241937580786135,0.63793653,1.0,11,9.969417,1.0,45.51556897641245,35.133705,1.0,38.956722953079414,21.015738,1.0,0.017661385023023272,0.0128292,1.0
21,0.6580749605121288,0.64218485,1.0,0.5253789422676849,0.5646299,1.0,10,9.737461,1.0,16.61999589969525,16.423773,1.0,5.2489502789397955,13.252009,1.0,0.11881684568498226,0.12716147,1.0
22,0.5445424483264725,0.5655712,0.0,0.5385704756927352,0.5837792,1.0,10,9.780891,1.0,1.2918408125264897,1.664812,1.0,46.232592913328816,12.949529,0.0,0.011608922886031459,0.022302898,0.0
23,0.8118900307962379,0.84584844,1.0,0.5349969190537626,0.71054405,1.0,13,12.772778,1.0,4.370490363586475,5.1273484,1.0,3.7667526929176254,11.275363,1.0,0.4614354168093728,0.35729644,1.0
24,0.9324676158245693,0.9235309,1.0,0.5841020110144266,0.6177865,1.0,14,13.650758,1.0,1.1157725236526765,8.398117,0.0,23.226961396521233,12.215302,1.0,0.2737697915281334,0.33367166,1.0
25,0.8307125573508748,0.77823216,1.0,0.7214935845360004,0.7308731,1.0,14,13.616332,1.0,29.870467570862022,23.582176,1.0,3.338811471918518,4.978064,1.0,0.33514394664057423,0.27272716,1.0
26,0.5440557513264774,0.5278093,1.0,0.8981994038158476,0.8784662,1.0,11,11.217332,1.0,3.9862592344422536,10.133421,1.0,3.835110561754159,10.725038,1.0,0.08896727996611664,0.17242603,1.0
27,0.8324268805330262,0.81779456,1.0,0.8041655340266487,0.73238486,1.0,11,10.761481,1.0,7.413066116579071,10.539478,1.0,27.924694131882895,11.81274,1.0,0.44423074992503253,0.40535194,1.0
28,0.8030814091820881,0.82846665,1.0,0.9252684047783981,0.9195094,1.0,5,4.9115777,1.0,1.8826539428196936,3.0555649,1.0,6.784258572344856,9.330965,1.0,0.026586501297562546,0.03367846,1.0
29,0.8353323736074716,0.8457311,1.0,0.7213990034844617,0.7238923,1.0,10,8.071916,1.0,32.96381244185766,25.566118,1.0,6.646371378152653,21.97367,1.0,0.10390818989115187,0.06586388,1.0
30,0.7697425204521753,0.8466548,1.0,0.7388380410687405,0.78141123,1.0,6,4.926141,1.0,24.421245936101222,20.473585,1.0,3.280330179922762,10.122289,1.0,0.03614656602139171,0.037073646,1.0
31,0.7993571754752039,0.86396873,1.0,0.6559649489091903,0.6819562,1.0,11,9.942806,1.0,42.44124785008998,34.3219,1.0,6.305270879580572,9.748119,1.0,0.021916494169953126,0.015791036,1.0
32,0.6803497411392099,0.68719333,1.0,0.6161046330611708,0.73680204,1.0,10,9.827274,1.0,1.742276095041176,3.648548,1.0,34.70959364780002,10.49,1.0,0.30153275959243947,0.3285105,1.0
33,0.6463955986456817,0.64628404,1.0,0.8130127707978383,0.85023457,1.0,5,4.672284,1.0,23.474577316842954,22.145273,1.0,1.4865425964235917,3.0978124,1.0,0.026794528408565495,0.03165128,1.0
34,0.6601854263976195,0.65866125,1.0,0.997836338985096,0.9235049,0.0,6,4.5781054,0.0,7.990511339370986,8.703921,1.0,4.1702465695933,5.8952804,1.0,0.03347825924768234,0.034087643,1.0
35,0.9221278429559743,0.90282005,1.0,0.7490957119894124,0.8413394,1.0,6,6.123071,1.0,3.538584741311643,7.7866526,0.0,17.56198027422463,9.023229,1.0,0.12611771727342533,0.18425031,1.0
36,0.5552669449265557,0.55398816,1.0,0.7801738728515424,0.7373027,1.0,6,6.2050924,1.0,11.013605489392033,13.321022,1.0,46.63012296415477,10.086654,0.0,0.4246193788130043,0.38623136,1.0
37,0.6364718424332134,0.6483644,1.0,0.5434487809863968,0.6166128,0.0,9,6.5965734,0.0,3.1242440632158415,4.8843107,0.0,1.265974809467297,3.2269342,1.0,0.011891320521804135,0.015318247,1.0
38,0.6650215223328398,0.66613775,1.0,0.6908547125202464,0.71781385,1.0,6,5.5131855,1.0,2.255898467536217,3.331478,1.0,3.3751341042564533,9.421166,1.0,0.0232867995883795,0.026828501,1.0
39,0.8091979822137666,0.79780567,1.0,0.5262805573414782,0.59739155,1.0,6,6.134922,1.0,5.0458815256156555,3.1318862,1.0,47.107384155053985,10.872919,0.0,0.09099924351283759,0.087808,1.0
40,0.9878479934959556,0.979421,1.0,0.5297593951412805,0.5272473,1.0,10,9.836226,1.0,12.393196304575348,12.294479,1.0,25.97689875357873,20.727373,1.0,0.02129063859651114,0.018832386,1.0
41,0.7634826201181348,0.7521648,1.0,0.6176208010985278,0.5988944,1.0,4,4.3842883,0.0,11.58260746702681,5.5501466,1.0,1.4904223530197216,10.423226,1.0,0.3940727391539348,0.36413428,1.0
42,0.9293158252845901,0.90075904,1.0,0.5176579305143738,0.6198906,1.0,15,14.836071,1.0,4.633468345446365,2.2072825,0.0,24.328387606672308,13.319854,1.0,0.07030207720429238,0.09202905,1.0
43,0.9293070127649671,0.8622962,1.0,0.8854909360290217,0.83242357,1.0,14,12.142097,0.0,8.412130105744007,10.387649,0.0,7.125393451657732,9.443133,1.0,0.01127852922116491,0.016938733,1.0
44,0.578235534116013,0.60010684,1.0,0.982387408324874,0.92594236,1.0,8,8.321175,1.0,14.146245463333543,15.117586,1.0,49.89121259149396,10.050075,0.0,0.18076134404992333,0.20431238,1.0
45,0.5102254646988533,0.50895846,1.0,0.5830095419826605,0.60463184,1.0,7,5.3048077,0.0,48.639529001897436,28.748854,1.0,7.171015443535332,4.1354275,0.0,0.04437373602682238,0.023538506,1.0
