case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.5556588343160853,0.5325557,1.0,0.8039830509341079,0.70585054,1.0,9,8.932796,1.0,44.05932040217281,63.21084,1.0,3.677765906631457,7.4814005,1.0,0.14416685429115145,0.28799468,1.0
1,0.6862691492882809,0.6712818,1.0,0.9234344479502027,0.72927564,1.0,7,6.97885,1.0,72.501655831989,59.739197,1.0,1.0777163742393752,3.5005963,0.0,0.41295236420175474,0.25300142,0.0
2,0.8832048005508424,0.90742475,1.0,0.9625626302920289,0.90891284,1.0,9,9.169825,1.0,15.007822700907358,23.05441,1.0,1.5326460157212232,1.2677088,1.0,0.044251674854798355,0.03602184,1.0
3,0.725495423272815,0.73966146,1.0,0.5179531611380157,0.5246458,1.0,5,4.905248,1.0,41.02536676725832,53.190304,1.0,5.908804936965314,5.6960683,1.0,0.03781216319043359,0.034417905,1.0
4,0.8444835497514515,0.8783175,1.0,0.8727310390225481,0.918085,1.0,10,9.523777,1.0,14.461214933281262,25.456875,1.0,46.63141456633845,15.141236,0.0,0.26792579711107756,0.05412377,0.0
5,0.7723793630303225,0.76717025,1.0,0.7190984629019976,0.68675095,1.0,14,14.514588,1.0,90.78007348396407,65.305855,1.0,1.0099723499093456,2.8391335,0.0,0.01985832566289398,0.04536536,0.0
6,0.5949942700451032,0.58960253,1.0,0.8084513569115578,0.7597711,1.0,11,10.86313,1.0,35.692662562806326,72.9369,0.0,22.85071169158681,25.504997,1.0,0.01619088677455446,0.030238625,1.0
7,0.6613879388071906,0.6663396,1.0,0.5577020807139823,0.74365807,1.0,13,13.005465,1.0,43.1941403753174,59.603256,1.0,1.0090567937366297,2.9349253,0.0,0.22770713782746974,0.21271935,1.0
8,0.8721188392625056,0.8828762,1.0,0.5300128188967095,0.7124132,1.0,8,8.050106,1.0,82.03944949579478,58.399784,1.0,16.66488641788403,12.464738,1.0,0.4056468245561207,0.31666335,1.0
9,0.7634633847386074,0.7957613,1.0,0.5326586784382468,0.72337365,1.0,10,10.014408,1.0,18.825431539689106,63.186764,0.0,9.105902063340732,4.644617,1.0,0.36245102474053104,0.3414449,1.0
10,0.8530274742608659,0.8620795,1.0,0.6423569366789573,0.65973437,1.0,14,14.178199,1.0,41.497824536461636,49.461548,1.0,2.509513534265989,2.066063,1.0,0.09623779009432763,0.10224373,1.0
11,0.8992389446907623,0.7642249,1.0,0.9485151018723592,0.77759814,0.0,13,11.771559,0.0,97.88815216735729,67.703964,0.0,12.256443114991134,29.852644,0.0,0.0486419164687733,0.03644696,1.0
12,0.5783574149240921,0.5683702,1.0,0.6295238478608276,0.7091875,1.0,7,6.9634914,1.0,58.50998444170577,63.923477,1.0,2.129324312794878,7.626625,1.0,0.26431995710606354,0.31793305,1.0
13,0.6423113192822478,0.63795495,1.0,0.5863041924004326,0.54922014,1.0,14,12.784705,0.0,38.83729256241426,50.60901,1.0,3.4053319464366587,2.317232,0.0,0.02788716730091209,0.015777474,0.0
14,0.9269309429429212,0.9089946,1.0,0.9460131651092596,0.71923196,1.0,5,4.964991,1.0,96.8159381648008,59.36355,0.0,1.125190286607625,6.1352596,0.0,0.18606993006590794,0.34779853,0.0
15,0.6104411045359468,0.6691062,0.0,0.8859660683668107,0.8096754,1.0,14,13.951295,1.0,13.078812196786197,51.641426,0.0,4.375515836412718,4.1769404,1.0,0.22298939332556905,0.21437353,1.0
16,0.7570065109964379,0.8002731,0.0,0.6478984311689353,0.7166187,1.0,6,5.926961,1.0,60.70555095759809,60.894524,1.0,1.8078022936689158,4.8553944,1.0,0.39284075050141676,0.3435702,1.0
17,0.7979102978485404,0.78108937,1.0,0.9290506709525626,0.7780465,0.0,12,11.328666,1.0,49.524910131078116,66.68655,1.0,13.648092668679507,29.24858,0.0,0.018390726581976487,0.03772261,1.0
18,0.9025544897159326,0.91370505,1.0,0.5807176743354041,0.73893535,1.0,9,9.015713,1.0,62.05156506635009,57.59209,1.0,8.66238748130544,5.644697,1.0,0.356697704397242,0.33165976,1.0
19,0.902066050847534,0.7567214,1.0,0.810299891585223,0.78349364,1.0,10,8.61538,0.0,43.73439860607184,67.670845,1.0,34.5781752123687,30.636637,1.0,0.04822540332108924,0.041280188,1.0
20,0.815922442580131,0.78156996,1.0,0.6241937580786135,0.76606774,1.0,11,10.392734,1.0,97.83815927699467,69.86127,1.0,38.956722953079414,29.263214,1.0,0.017661385023023272,0.03466638,1.0
21,0.6580749605121288,0.65020144,1.0,0.5253789422676849,0.90238696,0.0,10,9.996832,1.0,74.66081321445446,54.719982,1.0,5.2489502789397955,13.222849,0.0,0.11881684568498226,0.26932344,0.0
22,0.5445424483264725,0.7673513,0.0,0.5385704756927352,0.7902522,0.0,10,7.815322,0.0,15.89110464242582,68.90264,0.0,46.232592913328816,30.600922,1.0,0.011608922886031459,0.04409053,1.0
23,0.8118900307962379,0.85852855,0.0,0.5349969190537626,0.7613557,1.0,13,13.04501,1.0,43.9309787008293,54.581905,1.0,3.7667526929176254,4.105874,1.0,0.4614354168093728,0.31797972,1.0
24,0.9324676158245693,0.939178,1.0,0.5841020110144266,0.7262991,1.0,14,14.032307,1.0,12.520238507297295,60.82154,0.0,23.226961396521233,13.763944,1.0,0.2737697915281334,0.30651617,1.0
25,0.8307125573508748,0.7971359,1.0,0.7214935845360004,0.7142644,1.0,14,14.061031,1.0,88.14839669469124,59.770374,1.0,3.338811471918518,4.755123,1.0,0.33514394664057423,0.33251897,1.0
26,0.5440557513264774,0.55672115,1.0,0.8981994038158476,0.92605776,1.0,11,11.031955,1.0,41.81392155912691,53.831345,1.0,3.835110561754159,13.709034,1.0,0.08896727996611664,0.2545519,1.0
27,0.8324268805330262,0.8401941,1.0,0.8041655340266487,0.8508726,1.0,11,11.2568245,1.0,56.086633914820325,58.272633,1.0,27.924694131882895,23.263546,1.0,0.44423074992503253,0.35216027,1.0
28,0.8030814091820881,0.8857714,1.0,0.9252684047783981,0.86793834,1.0,5,4.3439765,0.0,24.555492311377744,20.212261,1.0,6.784258572344856,10.351772,1.0,0.026586501297562546,0.03860842,1.0
29,0.8353323736074716,0.8452666,1.0,0.7213990034844617,0.75200266,1.0,10,9.849512,1.0,90.41540977706391,79.15175,1.0,6.646371378152653,3.9172666,0.0,0.10390818989115187,0.07129529,0.0
30,0.7697425204521753,0.756552,1.0,0.7388380410687405,0.7632055,1.0,6,5.7200227,1.0,83.51460192522825,79.93887,1.0,3.280330179922762,3.3074083,1.0,0.03614656602139171,0.034343787,1.0
31,0.7993571754752039,0.8326783,1.0,0.6559649489091903,0.65609634,1.0,11,10.022615,0.0,96.22926398236838,65.204575,0.0,6.305270879580572,10.833033,0.0,0.021916494169953126,0.034846954,1.0
32,0.6803497411392099,0.66830724,1.0,0.6161046330611708,0.60319823,1.0,10,9.890689,1.0,22.772755232078655,51.673088,1.0,34.70959364780002,26.246784,1.0,0.30153275959243947,0.22905165,1.0
33,0.6463955986456817,0.6516322,1.0,0.8130127707978383,0.71649885,0.0,5,5.2238936,1.0,82.60504893229998,76.26797,1.0,1.4865425964235917,2.2887685,1.0,0.026794528408565495,0.035460457,0.0
34,0.6601854263976195,0.66394687,1.0,0.997836338985096,0.93831336,0.0,6,4.7528973,0.0,57.81232822604572,52.744835,1.0,4.1702465695933,3.838601,1.0,0.03347825924768234,0.020967545,1.0
35,0.9221278429559743,0.86027586,1.0,0.7490957119894124,0.7849226,1.0,6,6.4013925,1.0,39.073299655401506,54.834515,1.0,17.56198027422463,20.730629,1.0,0.12611771727342533,0.16463014,1.0
36,0.5552669449265557,0.56828266,1.0,0.7801738728515424,0.78877306,1.0,6,5.34754,1.0,65.19441555101446,78.2792,1.0,46.63012296415477,43.41151,1.0,0.4246193788130043,0.3929464,1.0
37,0.6364718424332134,0.65808713,0.0,0.5434487809863968,0.60488665,1.0,9,8.065935,0.0,36.208258931934864,69.248825,1.0,1.265974809467297,1.5582159,1.0,0.011891320521804135,0.013449923,1.0
38,0.6650215223328398,0.66785055,1.0,0.6908547125202464,0.6710098,1.0,6,4.952191,0.0,28.71649255059384,47.765038,1.0,3.3751341042564533,3.512658,1.0,0.0232867995883795,0.021631423,1.0
39,0.8091979822137666,0.8522401,1.0,0.5262805573414782,0.502055,0.0,6,11.939388,0.0,47.23687544637416,39.9478,1.0,47.107384155053985,31.488707,0.0,0.09099924351283759,0.072112516,1.0
40,0.9878479934959556,0.8017781,0.0,0.5297593951412805,0.56703925,0.0,10,8.765512,0.0,67.90949772224224,50.878876,1.0,25.97689875357873,38.027798,0.0,0.02129063859651114,0.019041225,1.0
41,0.7634826201181348,0.78694504,1.0,0.6176208010985278,0.5959403,1.0,4,4.1737394,1.0,66.353302420178,56.950253,1.0,1.4904223530197216,4.532838,1.0,0.3940727391539348,0.31167224,1.0
42,0.9293158252845901,0.7897777,0.0,0.5176579305143738,0.51109856,1.0,15,13.588228,1.0,45.27523021718631,70.083565,1.0,24.328387606672308,24.26351,1.0,0.07030207720429238,0.06006744,1.0
43,0.9293070127649671,0.8446783,1.0,0.8854909360290217,0.8979962,1.0,14,13.809264,1.0,58.995296022150995,62.808575,1.0,7.125393451657732,9.302926,1.0,0.01127852922116491,0.02809989,1.0
44,0.578235534116013,0.7179478,1.0,0.982387408324874,0.8484109,1.0,8,10.513308,1.0,70.95322860401949,67.747795,1.0,49.89121259149396,32.61495,0.0,0.18076134404992333,0.049644727,0.0
45,0.5102254646988533,0.52592385,0.0,0.5830095419826605,0.552705,0.0,7,5.449498,1.0,99.36534611337434,56.25149,0.0,7.171015443535332,19.782465,0.0,0.04437373602682238,0.1003125,0.0
46,0.6002987154849555,0.5950754,1.0,0.5902557493642601,0.59238863,1.0,9,8.869607,1.0,11.688220241299785,22.136036,1.0,2.8616844474700676,1.4981197,0.0,0.05741863773308303,0.058668222,1.0
47,0.806579823595205,0.8165521,1.0,0.8826905770601026,0.84535295,1.0,6,5.806529,1.0,38.200720894758774,43.047882,1.0,3.6701682688167137,3.3009522,1.0,0.06042852581367086,0.051715937,1.0
48,0.6494523390004834,0.64698786,1.0,0.6887192442567003,0.73671913,1.0,16,14.316972,0.0,16.905049127278346,43.602375,1.0,4.500814779398881,4.732322,1.0,0.016518880846763624,0.02248811,1.0
49,0.8222910474656923,0.8662271,1.0,0.7457652194525041,0.7672351,1.0,14,13.972254,1.0,35.86277649830322,54.718422,1.0,36.11410931465541,29.045683,1.0,0.18761785957553703,0.1673801,1.0
50,0.5013513963319951,0.53126353,0.0,0.5873962587871694,0.7129065,1.0,13,13.011955,1.0,67.20256083655676,60.79212,1.0,13.55442637711468,7.1722746,1.0,0.16330821379592345,0.29707026,1.0
51,0.7566721832888466,0.7958445,1.0,0.6152272649436876,0.6155945,1.0,9,9.531278,1.0,16.36833133008634,36.095787,1.0,23.545456400200525,20.948437,1.0,0.1571969445384271,0.1501054,1.0
52,0.7376316826676969,0.7490332,1.0,0.8205035416255837,0.7444384,0.0,8,7.1302466,1.0,89.90453766425338,76.17811,1.0,9.005900943297481,9.931668,1.0,0.06198029148502863,0.051292244,1.0
53,0.8720729710325215,0.83935785,1.0,0.549530690101369,0.5490287,1.0,10,10.225067,1.0,76.0320750048607,82.34013,1.0,48.145208268945154,44.631157,1.0,0.1743819874311836,0.15487552,1.0
54,0.6598213840920845,0.8503926,0.0,0.9741270956700523,0.9566998,1.0,9,8.155312,0.0,41.058171333518544,36.202595,1.0,9.541498865049247,15.825691,1.0,0.031231693668692755,0.05298809,1.0
55,0.8141623025607426,0.81843424,1.0,0.5959704388707421,0.60175526,1.0,10,9.987605,1.0,72.27191675184724,62.632984,1.0,15.153688389940866,22.712214,1.0,0.15616726430591657,0.23545116,1.0
56,0.6004207469811121,0.56005865,1.0,0.7225274347971915,0.70134753,1.0,9,8.952892,1.0,25.22474967045139,61.926765,1.0,4.14955605184744,8.19724,1.0,0.2747626053256436,0.31279942,1.0
57,0.9868646544613605,0.9913236,1.0,0.8419390347981554,0.7633181,1.0,16,15.741397,1.0,34.09402793764991,57.74253,1.0,1.2287175776229593,5.0432167,1.0,0.44222685008604073,0.26457632,1.0
58,0.8066587433655221,0.9233782,0.0,0.9650619747535882,0.9479263,1.0,13,12.548407,1.0,80.51307227911532,78.377174,1.0,6.076643382654995,5.3944054,1.0,0.032837031156336856,0.023725064,1.0
59,0.5761564868198391,0.5813406,1.0,0.7989274904710308,0.7301026,1.0,9,8.232051,0.0,60.73705578052552,77.02033,1.0,1.3600447869294838,1.7993131,1.0,0.01213220538795423,0.01358201,1.0
60,0.775789592249907,0.7832281,1.0,0.5088039048464024,0.55083656,1.0,7,7.109708,1.0,31.91452463351075,43.156406,1.0,3.3711871109872313,4.266279,1.0,0.12269676796308975,0.11680926,1.0
61,0.5181477164965967,0.5434241,1.0,0.6549680835385774,0.69998306,1.0,15,15.031204,1.0,30.955440491554853,61.64843,1.0,15.42281411222587,8.153419,1.0,0.3721644563602486,0.30122513,1.0
62,0.8533768622171931,0.80636734,0.0,0.9254093085146975,0.8818783,1.0,6,6.050913,1.0,58.33049719902087,66.09623,1.0,5.488899575231557,9.439193,0.0,0.08237730066884517,0.13876212,0.0
63,0.876255537122018,0.9149096,1.0,0.6310440895153289,0.6373335,1.0,14,13.203316,1.0,16.98181878313533,51.946117,0.0,16.427720844199055,11.789176,0.0,0.04977870255406557,0.040549118,1.0
64,0.8407803902571508,0.8118612,1.0,0.9285733165036651,0.9088735,1.0,13,13.26911,1.0,59.41453792279729,62.51094,1.0,35.62702461479861,35.258884,1.0,0.45379981904443123,0.44296443,1.0
65,0.7994576044523678,0.83638,1.0,0.5692237462232765,0.5672864,1.0,5,5.5066867,1.0,79.1127352172006,67.50474,1.0,15.827053731398236,24.192137,1.0,0.06667891430760904,0.102585234,1.0
66,0.9121578697111589,0.8644437,1.0,0.6240712948627456,0.6172909,1.0,5,4.3544784,0.0,31.311953501683345,71.42656,0.0,13.062569510873162,9.6847515,0.0,0.03824863709042113,0.02961217,1.0
67,0.5714853263148991,0.5821208,1.0,0.6561794821620075,0.66013086,1.0,15,14.10959,0.0,51.11122975432251,33.615658,1.0,8.821304642038712,18.554348,1.0,0.011536203158106597,0.02571587,1.0
68,0.8437747567536746,0.8455969,1.0,0.5988942924369651,0.60069424,1.0,15,15.214613,1.0,38.80017235138901,47.177734,1.0,14.012567348134395,15.453554,1.0,0.1256096078102227,0.14295624,1.0
69,0.9069915888797568,0.8902616,1.0,0.8764003069515642,0.8300333,1.0,14,14.417104,1.0,11.385773553877504,31.059235,0.0,14.925056138580901,5.167531,0.0,0.11480872174389796,0.039535698,0.0
70,0.5287308309296539,0.5522555,1.0,0.8947946365054988,0.7054214,1.0,8,7.9569507,1.0,77.89079053812046,63.66614,1.0,4.371889071775845,7.661079,1.0,0.24981384908967275,0.30486724,1.0
71,0.6400226127048888,0.6492251,1.0,0.7431914349039686,0.73071796,1.0,8,8.021995,1.0,29.293199846923894,53.60564,1.0,2.7746867566157163,3.8164406,1.0,0.0282561470663397,0.036866203,1.0
72,0.9595115902779432,0.8400149,1.0,0.755853218033858,0.75174254,1.0,11,10.6756735,1.0,71.0155668340717,80.06636,1.0,19.00922564100588,23.300323,1.0,0.015096055973789099,0.02575613,1.0
73,0.7902643746138482,0.8475682,1.0,0.6352388977654366,0.6387902,1.0,5,4.4923506,1.0,92.72880090641823,80.68674,1.0,3.357917489440079,3.794761,1.0,0.014981536327021474,0.015769703,1.0
74,0.8677122199529309,0.8397653,1.0,0.9537208580735265,0.93983865,1.0,15,14.0614605,0.0,44.04345000095163,56.859932,1.0,12.196099464570594,14.303236,1.0,0.041949534273078695,0.052452117,1.0
75,0.8966189464659919,0.93974966,1.0,0.7197951209686451,0.7596637,1.0,12,12.778513,1.0,34.100557683364244,23.154758,1.0,3.5931389356266275,3.953836,1.0,0.03202257117913457,0.0308224,1.0
76,0.82910018820528,0.82081825,1.0,0.5099398761002891,0.5727681,0.0,9,9.229369,1.0,22.705018698348848,47.5689,0.0,1.7740319868673247,1.5616089,1.0,0.05893332426799541,0.07483756,1.0
77,0.8164938703484119,0.77438796,1.0,0.7992382382189456,0.78999126,1.0,6,5.1651263,0.0,24.588305123444535,69.440636,0.0,39.7117073170502,29.752722,1.0,0.02212973659045363,0.039613746,1.0
78,0.626831533521977,0.7558388,1.0,0.8876117583119658,0.8062178,1.0,5,4.6024485,1.0,35.14163412190711,63.414448,1.0,32.05456557945983,30.798117,1.0,0.06691726668328123,0.051377617,1.0
