case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.6867593078504399,0.6874906,1.0,0.6060718613226298,0.6408222,1.0,10,10.077959,1.0,6.830421744627254,7.352553,1.0,4.527300416864747,3.4375794,1.0,9.448925602234612,12.578882,1.0,0.20405272351631373,0.15506692,1.0
1,0.6076265600672972,0.60173917,1.0,0.7760290542655943,0.7432082,1.0,10,9.223827,1.0,27.504048295712636,25.775959,1.0,2.5753463305784736,2.4702802,1.0,24.596148414968948,38.399235,1.0,0.22180985828002087,0.19524576,1.0
2,0.610754077609489,0.60333663,1.0,0.6671888610206318,0.6991371,1.0,5,4.6365075,1.0,3.4296870976263003,4.4445314,1.0,10.679340265139315,12.31464,1.0,6.253285447248032,19.591301,1.0,0.027557773262281048,0.04274398,1.0
3,0.9543338880945749,0.91877115,1.0,0.9658467453915539,0.947282,1.0,11,10.17254,1.0,10.58175513918017,9.893892,1.0,5.781977590395922,7.390972,1.0,3.111912034043442,12.748559,1.0,0.099465168200971,0.091391064,1.0
4,0.8053643103268924,0.8048148,1.0,0.6591588906602881,0.5854723,0.0,5,5.231043,1.0,2.204017840349078,4.4342194,1.0,11.814040735176013,13.44735,1.0,21.42804118196947,21.510729,1.0,0.214696088117878,0.2919696,1.0
5,0.6975650137172561,0.6826455,1.0,0.9124104631733898,0.90736765,1.0,5,4.6405516,1.0,2.00561417891189,3.4259071,1.0,1.073136045623604,1.5814906,1.0,2.722940878186483,10.666591,1.0,0.023502861622219137,0.04548455,1.0
6,0.9293662732996855,0.92688966,1.0,0.5637251823036258,0.57358104,1.0,14,14.005403,1.0,18.64954222761027,29.03869,1.0,24.72123745948359,32.55057,1.0,1.0425279325427068,2.8135347,1.0,0.01116612105234033,0.030424973,1.0
7,0.8957617136400875,0.6729617,1.0,0.8775133663807878,0.8138891,1.0,6,5.9312344,1.0,45.02750490559172,34.06176,1.0,2.7134535691965453,19.61009,1.0,1.9409624960477032,2.7111225,1.0,0.03624080803993841,0.046104006,1.0
8,0.5724866734844924,0.6169636,0.0,0.9075950262269014,0.8417738,1.0,16,15.6761265,1.0,11.965929871723912,17.560076,1.0,1.427512397051852,3.4432564,1.0,4.963447721062956,10.580121,1.0,0.16678849147201055,0.28151727,1.0
9,0.7998934341343729,0.86148596,1.0,0.7321550507422754,0.7469261,1.0,7,7.0990458,1.0,29.913821286892723,31.801746,1.0,40.16619435131702,14.066522,0.0,23.917356528445954,17.872204,1.0,0.033613000484203466,0.05818866,1.0
10,0.6320555638230638,0.62132937,1.0,0.6637050477637432,0.6017123,0.0,7,7.20504,1.0,2.688130107066848,5.661102,1.0,16.929987341925333,27.47563,1.0,2.8727888003378688,3.9110093,1.0,0.16109393686974216,0.27461505,1.0
11,0.582056267169052,0.56847435,1.0,0.9091069802616829,0.9175896,1.0,14,12.786052,1.0,1.6545322074820645,4.343788,1.0,2.6742077651854577,5.6614256,1.0,1.1863511610189965,17.031673,0.0,0.015109275943455491,0.04253614,1.0
12,0.6685728484546222,0.67913187,1.0,0.7771028682310748,0.7936049,1.0,15,13.71848,1.0,7.463001178560488,14.187609,0.0,1.75233922671646,6.2949963,1.0,2.5211204520090593,19.12122,0.0,0.011486717892898056,0.049298164,0.0
13,0.5162283900138438,0.5235895,1.0,0.6393602580926314,0.7241267,1.0,6,6.3120813,1.0,8.404339903538006,9.431344,1.0,6.026812834001839,4.547743,1.0,5.102782789725789,9.815791,1.0,0.1740017078047245,0.32681286,1.0
14,0.5594645996513126,0.5456344,0.0,0.9664111379291598,0.92952335,1.0,10,9.389273,1.0,1.6775798220851872,2.89953,1.0,18.504189860358146,26.470356,1.0,23.21495473084798,28.40628,1.0,0.028394959310686536,0.025786018,1.0
15,0.5491299121959075,0.53802395,1.0,0.7068382909063512,0.74104995,1.0,6,5.086999,1.0,25.029664557596565,36.43886,1.0,2.5041157223516795,3.8391654,1.0,10.088254325035054,22.245886,1.0,0.061920435643287794,0.1437558,1.0
16,0.8657205154726515,0.8995013,1.0,0.6372559238544928,0.6575338,1.0,9,8.947425,1.0,21.525180120988768,18.150352,1.0,38.160852366033396,36.315395,1.0,2.190700706353506,2.957271,1.0,0.09722883605910347,0.07277074,1.0
17,0.9176783821063716,0.9547396,1.0,0.7131357774687996,0.71123195,1.0,11,8.818693,1.0,7.02439439962981,9.846726,1.0,48.96226543207214,38.49751,1.0,1.0709215395646188,2.4488986,1.0,0.05299787031467953,0.054564796,1.0
18,0.8947628160404218,0.8725802,1.0,0.767074810243914,0.72400695,1.0,14,14.217744,1.0,2.9901070351969556,3.9382222,1.0,8.147215035509026,23.805132,0.0,7.756914960373882,4.175848,1.0,0.10813630424393675,0.29224676,0.0
19,0.8241364391450725,0.8217343,1.0,0.7856029376914928,0.8096813,1.0,8,7.7797756,1.0,3.1144768943294143,3.922752,1.0,37.23369471295324,33.52996,1.0,9.30927669771766,11.63698,1.0,0.01654133641916693,0.030374479,1.0
20,0.8064508974201618,0.7980357,1.0,0.7621345736252552,0.72647876,1.0,5,5.178955,1.0,1.4309702724901188,1.8224889,1.0,3.2504075549089277,3.710585,1.0,41.17777846057801,11.271131,0.0,0.1851366668643709,0.22320618,1.0
21,0.7279950087529012,0.84659535,0.0,0.5978783082619965,0.63669604,1.0,12,10.124133,0.0,24.670425587573412,10.142078,0.0,26.22327865910482,4.9121885,0.0,7.002986440796281,9.541795,1.0,0.23088448450688043,0.063087285,0.0
22,0.7383472646171094,0.77942294,0.0,0.9474188685564175,0.9328646,1.0,14,14.122562,1.0,13.983339269362876,3.823118,0.0,17.457090658214412,13.339247,1.0,1.0564312276546428,14.233827,0.0,0.41880986110770985,0.14451712,0.0
23,0.8952884717259926,0.8975759,1.0,0.5636071713669459,0.57949024,1.0,12,12.069703,1.0,1.2137821039562156,3.7113535,1.0,19.275340120316454,23.44162,1.0,12.482909200440751,15.030155,1.0,0.013651885706535038,0.04533223,1.0
24,0.9552044936027893,0.95781577,1.0,0.8221764004943842,0.6958135,1.0,7,7.5703483,1.0,3.5493110933765983,4.933462,1.0,2.7366687132141956,4.667965,1.0,1.9078929824327835,10.024627,1.0,0.4117004889446536,0.3250628,1.0
25,0.673154034685243,0.6539813,1.0,0.6782897634081864,0.63613427,1.0,5,5.3232126,1.0,3.8768699980374706,3.2427783,1.0,12.354094936544605,17.032192,1.0,6.974194321036842,25.480959,1.0,0.19195159781473367,0.24579859,1.0
26,0.8441779286603843,0.8994605,1.0,0.5976989549211045,0.57065374,1.0,8,7.4556575,1.0,41.76059063084425,33.3095,1.0,1.7922049645604334,3.858316,1.0,2.2835871175565807,3.324729,1.0,0.08006124571858866,0.056732338,1.0
27,0.9092268632543286,0.8781917,1.0,0.8129916061131622,0.83212066,1.0,9,10.3675585,1.0,40.43837565203893,36.86543,1.0,44.4928366036681,13.101154,0.0,43.32530432124964,17.544956,0.0,0.1905697856303343,0.18850839,1.0
28,0.6747873708341543,0.6694824,1.0,0.9014348577189668,0.7280961,1.0,10,9.07059,1.0,9.590116673189408,19.027586,1.0,21.83140046984178,24.9289,1.0,2.220810765481929,2.241524,1.0,0.16882330622611327,0.22733042,1.0
29,0.7568198549228752,0.81103855,1.0,0.7580837164746336,0.78056127,1.0,10,9.971302,1.0,16.65805823303331,22.514376,1.0,19.442389794682672,15.399766,1.0,1.501418384306983,2.7404037,1.0,0.015604108874440997,0.045088742,1.0
30,0.9419396312372227,0.8432362,1.0,0.7948625348471705,0.737027,0.0,5,5.176288,1.0,48.20948689938378,31.13203,0.0,2.0446457976447476,8.169952,1.0,1.7051577210680702,3.5291672,1.0,0.23684718574127425,0.117442064,1.0
31,0.9967295621932664,0.9561324,1.0,0.8016499002368929,0.7401676,1.0,10,8.904996,1.0,4.243221580723186,9.641024,1.0,40.6584617524527,40.219563,1.0,10.072453065725654,2.3679082,0.0,0.01965492643623729,0.046047676,1.0
32,0.876465147863509,0.8555548,1.0,0.8358117571215242,0.69618106,1.0,11,11.24236,1.0,2.203835965424798,3.36843,1.0,4.251658191824667,3.4862769,1.0,13.468184189750863,11.3097925,1.0,0.3969394234536844,0.3151537,1.0
33,0.7483421775615573,0.771734,1.0,0.9278878853188959,0.7888518,1.0,12,12.301885,1.0,4.41603348757822,8.811915,1.0,2.6481106600752593,3.5438297,1.0,6.135137009394571,11.727998,1.0,0.1863174520978968,0.22491632,1.0
34,0.693225738975635,0.6848976,1.0,0.7778458929218816,0.8041488,1.0,10,8.238037,0.0,11.90187339275762,11.384941,1.0,6.2622510408211,3.4149938,1.0,1.827668015353094,4.34064,1.0,0.050494665571854426,0.046123803,1.0
35,0.9409722433276635,0.9454382,1.0,0.9638570402869804,0.82770336,0.0,15,15.135053,1.0,26.48902731434487,28.970238,1.0,1.1260493358461618,2.9152122,1.0,7.759231545153735,9.938925,1.0,0.35491329883978423,0.411688,1.0
36,0.848015834057342,0.82476956,1.0,0.8339189188386872,0.9240189,0.0,7,7.459823,1.0,3.2314764528638915,4.6535773,1.0,6.6958123323120216,8.156823,1.0,1.0744002118851248,12.236673,0.0,0.01602195377016222,0.037156913,1.0
37,0.6407785511223321,0.6556278,1.0,0.6582341305810309,0.5976783,1.0,7,6.646557,1.0,1.007925615455071,2.5826752,1.0,3.563025184247679,7.3123283,1.0,17.188742141501603,19.936203,1.0,0.015116798752084276,0.03912925,1.0
38,0.8632782759033519,0.8464735,1.0,0.9287908587535258,0.9010858,1.0,14,14.1827345,1.0,2.0477560587058314,4.6338067,1.0,6.748986568432045,5.56618,1.0,1.1109176871069362,10.863654,0.0,0.03870280546215082,0.07060169,1.0
39,0.9516677470926709,0.8552324,1.0,0.6320930392198969,0.6298159,1.0,6,5.465249,1.0,17.414998510296623,25.688805,1.0,1.189802477735832,5.394368,1.0,3.818797906852952,6.655829,1.0,0.010855775319940164,0.027272526,0.0
40,0.6864223636606851,0.68294066,1.0,0.9070101642638717,0.88777477,1.0,8,8.24133,1.0,13.670163346037604,5.271019,1.0,29.659802846104462,10.155427,0.0,3.2479837282705812,5.9990473,1.0,0.4046657065032038,0.15514378,1.0
41,0.7621258366938355,0.7272798,0.0,0.607942729989561,0.57912004,1.0,12,10.725461,1.0,19.71702609685308,24.893694,1.0,1.9669340469982277,5.652902,1.0,8.750601970624139,15.522085,1.0,0.10469154005470802,0.13229628,1.0
42,0.6720020165861935,0.6814291,1.0,0.9703724319138376,0.9265636,0.0,6,6.240521,1.0,2.1322700845178812,2.8478315,1.0,4.988273273016464,6.249061,1.0,4.345172885904324,10.178092,1.0,0.130068672742815,0.18935248,1.0
43,0.8159490591393896,0.7995929,1.0,0.7542244466339738,0.8003235,1.0,12,11.315053,1.0,14.220270261850306,4.001147,0.0,36.054194149209245,19.62547,0.0,8.890405348027578,20.508509,1.0,0.17970962362859733,0.053620018,0.0
44,0.9011584476816217,0.8898711,1.0,0.5987019879526059,0.5874348,1.0,5,4.8641014,1.0,40.2747048413446,18.85285,0.0,13.863237141672426,8.840593,1.0,23.763401971977814,15.083982,1.0,0.11468451400187563,0.045152497,0.0
45,0.9377587024376559,0.92218816,1.0,0.5845070396826133,0.56608945,1.0,9,9.123642,1.0,4.365034173533929,4.7714067,1.0,3.2199195501680973,2.871539,1.0,30.449280610940193,11.81078,1.0,0.041676293752156444,0.059836254,1.0
46,0.5376593779579633,0.5345307,1.0,0.792758669750335,0.72058535,1.0,12,12.224145,1.0,2.773985093310701,4.1265264,1.0,1.8273228100199892,6.105001,1.0,2.342926019089925,11.917493,1.0,0.06758620324753538,0.14672783,1.0
47,0.984840477518999,0.98415273,1.0,0.8960136517043166,0.8664214,1.0,4,4.4423594,1.0,4.9416838983460245,6.9205246,1.0,5.107713828741119,5.305581,1.0,1.046097753274682,9.912864,1.0,0.09310083621783413,0.13918896,1.0
48,0.8066447074518646,0.79815537,1.0,0.9406346299374998,0.9008809,0.0,6,6.147368,1.0,3.6220267722859454,2.7288017,1.0,13.558341382247159,19.655157,1.0,20.1170754621204,12.203283,1.0,0.14143570196309616,0.1819801,1.0
