case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.11131766863217074,0.1741019,1.0,0.8039830509341079,0.8034663,1.0,0.6990160214892094,0.6844251,1.0,9,9.126977,1.0,2.3161486836513894,1.4406343,1.0,0.11565585650204903,0.118476346,1.0
1,0.37253829857656184,0.32990864,1.0,0.9234344479502027,0.9102493,1.0,0.6213926115355444,0.8367037,1.0,12,12.192455,1.0,0.5460516878549118,4.4971623,0.0,0.3991915029652126,0.28918055,1.0
2,0.7664096011016847,0.75144583,1.0,0.9625626302920289,0.972865,1.0,0.7273871134336489,0.6506387,1.0,5,5.0667505,1.0,0.8265500607660544,1.6736907,1.0,0.028797050703371373,0.035299446,1.0
3,0.45099084654563004,0.7335821,1.0,0.5179531611380157,0.52737147,1.0,0.5210707994522193,0.5673553,1.0,8,8.611855,1.0,4.047314130646691,2.5824003,1.0,0.02393031899532835,0.01818887,1.0
4,0.6889670995029029,0.4264846,1.0,0.8727310390225481,0.7952608,1.0,0.7673470374431832,0.69877356,0.0,5,5.320215,1.0,46.05867513949891,38.60713,1.0,0.23988638823654482,0.15326554,0.0
5,0.544758726060645,0.7299097,0.0,0.7190984629019976,0.7881832,1.0,0.9145456469235265,0.6211852,0.0,15,13.144909,0.0,0.5058748160136622,4.1829724,0.0,0.011212520394494004,0.02954391,1.0
6,0.1899885400902065,0.34220582,1.0,0.8084513569115578,0.87318116,1.0,0.781293174680157,0.7534577,1.0,7,6.636876,1.0,19.890457876672365,25.239618,1.0,0.008816983147928706,0.023378287,1.0
7,0.3227758776143811,0.49639794,1.0,0.5577020807139823,0.6766796,1.0,0.8928604275708323,0.75970435,1.0,8,8.239566,1.0,0.5053350221213806,4.531246,0.0,0.19808510864909493,0.24423999,1.0
8,0.7442376785250111,0.60839236,1.0,0.5300128188967095,0.6314881,1.0,0.6610038816814701,0.72519135,1.0,14,14.114367,1.0,13.716899970375968,11.393592,1.0,0.39089121063207644,0.36619842,1.0
9,0.5269267694772148,0.64251935,1.0,0.5326586784382468,0.6025509,1.0,0.7491928091615451,0.7256218,1.0,5,5.2866406,1.0,6.733943819945675,10.039814,1.0,0.3423679397918609,0.344009,1.0
10,0.7060549485217318,0.6790881,1.0,0.6423569366789573,0.658894,1.0,0.9329132760659058,0.6796345,1.0,8,8.138697,1.0,1.4769314828176476,2.146873,1.0,0.07187015531833124,0.08955531,1.0
11,0.7984778893815246,0.66021234,1.0,0.9485151018723592,0.83773327,1.0,0.8577471690252142,0.8553744,1.0,16,14.728003,0.0,9.553775458285926,7.8011913,1.0,0.03218902767481523,0.02662719,1.0
12,0.1567148298481842,0.3615932,1.0,0.6295238478608276,0.7044465,1.0,0.6199269052063758,0.759489,1.0,10,10.193827,1.0,1.2172252580455258,3.0814867,1.0,0.23609042701663197,0.2815208,1.0
13,0.28462263856449566,0.7244631,0.0,0.5863041924004326,0.60872924,1.0,0.9088143773504594,0.85040736,1.0,8,6.639806,0.0,2.115531526465831,3.9654732,0.0,0.016722178690245382,0.021696538,1.0
14,0.8538618858858424,0.8363622,1.0,0.9460131651092596,0.92578167,1.0,0.5435004461735504,0.76940054,1.0,16,15.51866,0.0,0.5744766650460279,1.6356134,1.0,0.15617527422807376,0.09711452,0.0
15,0.2208822090718937,0.23336647,1.0,0.8859660683668107,0.90400565,1.0,0.8978151794202845,0.82793593,1.0,4,4.512039,0.0,2.8417068717485314,7.204822,1.0,0.19326283970093813,0.31862262,1.0
16,0.5140130219928759,0.4957505,1.0,0.6478984311689353,0.67803794,1.0,0.5954076897943272,0.74704856,1.0,11,11.273584,1.0,1.0038849006240735,5.0347486,1.0,0.3764054575395286,0.3083084,1.0
17,0.5958205956970809,0.30818835,1.0,0.9290506709525626,0.8809431,1.0,0.8198151441144909,0.81981516,1.0,9,7.518234,0.0,10.843222099701938,13.76482,1.0,0.010243574580897327,0.02309051,1.0
18,0.8051089794318652,0.56849414,1.0,0.5807176743354041,0.62603956,1.0,0.7115622033743412,0.7142823,1.0,11,11.2687645,1.0,6.3495335722969255,12.104916,1.0,0.3359795301227273,0.35466373,1.0
19,0.804132101695068,0.6036046,1.0,0.810299891585223,0.7726654,1.0,0.7384552963661624,0.7349432,1.0,8,7.075134,0.0,32.390891716483466,30.577171,1.0,0.03186480765928245,0.019028204,1.0
20,0.631844885160262,0.3976768,1.0,0.6241937580786135,0.8188349,1.0,0.791399562896008,0.7600069,1.0,16,15.180445,0.0,37.271587418007655,41.262585,1.0,0.009767053195267626,0.016620694,1.0
21,0.31614992102425743,0.62545884,1.0,0.5253789422676849,0.614412,1.0,0.7664638370254407,0.74035525,1.0,13,13.026869,1.0,3.5206889101071503,2.7301764,1.0,0.09210835296394417,0.14026476,1.0
22,0.08908489665294494,0.5727941,1.0,0.5385704756927352,0.66326,1.0,0.7365015186610636,0.80379075,1.0,5,10.558142,0.0,45.59530728476598,36.02689,1.0,0.005959941702689424,0.01709022,1.0
23,0.6237800615924758,0.6415791,1.0,0.5349969190537626,0.60749304,1.0,0.8789510598583541,0.7333935,1.0,9,9.364617,1.0,2.382260030006597,10.005481,1.0,0.4549194027338736,0.352887,1.0
24,0.8649352316491384,0.77966297,1.0,0.5841020110144266,0.63064796,1.0,0.9171751599831668,0.8976604,1.0,4,4.5296655,0.0,20.27655424525803,23.202152,1.0,0.24605771575095253,0.3117821,1.0
25,0.6614251147017496,0.71177,1.0,0.7214935845360004,0.6128727,1.0,0.8989832622765845,0.7626467,1.0,14,13.996481,1.0,2.066968765219872,2.4540915,1.0,0.3122106448938551,0.17309774,0.0
26,0.08811150265295498,0.18222424,1.0,0.8981994038158476,0.9248579,1.0,0.7876241222673515,0.79810375,1.0,8,7.943374,1.0,2.4332340735259432,1.7354611,1.0,0.06552221496998024,0.03942238,1.0
27,0.6648537610660524,0.4388419,1.0,0.8041655340266487,0.7649332,1.0,0.7797616925962452,0.8667964,1.0,10,10.033449,1.0,25.186288988763785,15.65444,1.0,0.4350189848858874,0.30382416,1.0
28,0.6061628183641764,0.3846182,1.0,0.9252684047783981,0.9313569,1.0,0.5487736270837267,0.54872996,1.0,6,5.3473935,1.0,4.762129120441315,6.8033056,1.0,0.015807903838263537,0.022926578,1.0
29,0.6706647472149431,0.65975535,1.0,0.7213990034844617,0.7140298,1.0,0.7486197008033516,0.73234934,1.0,15,15.219294,1.0,4.648397849396081,13.317164,0.0,0.07865995168948033,0.16917917,0.0
30,0.5394850409043507,0.51773566,1.0,0.7388380410687405,0.702501,0.0,0.5662619942389168,0.5331484,1.0,14,13.773248,1.0,2.0244162186836117,2.9820533,1.0,0.022694337029765473,0.032201752,1.0
31,0.5987143509504078,0.7935736,0.0,0.6559649489091903,0.7277013,1.0,0.8031548863783983,0.8178374,1.0,15,13.425464,0.0,4.3688619166701645,5.281914,1.0,0.012592739259729584,0.013916143,1.0
32,0.36069948227841986,0.3883933,1.0,0.6161046330611708,0.61959416,1.0,0.766473182815609,0.75148934,1.0,6,8.174332,0.0,32.53585815264484,36.47571,1.0,0.27568849658645445,0.35546574,1.0
33,0.2927911972913636,0.22284265,1.0,0.8130127707978383,0.79223335,1.0,0.5611790380797028,0.5912572,1.0,14,14.159332,1.0,0.7973599255717819,1.1188425,1.0,0.015953609899885212,0.019181808,1.0
34,0.3203708527952388,0.19399771,1.0,0.997836338985096,0.9823478,0.0,0.596711928746817,0.59441257,1.0,10,9.635375,1.0,2.685433258256297,3.544579,1.0,0.020735397348797292,0.026914436,1.0
35,0.8442556859119487,0.81858176,1.0,0.7490957119894124,0.75546926,1.0,0.5814975107773126,0.5942001,1.0,8,7.61063,1.0,14.590217761603963,24.374542,1.0,0.09880656936323584,0.16765597,1.0
36,0.1105338898531113,0.17270951,1.0,0.7801738728515424,0.755094,1.0,0.5974317195308283,0.60472727,1.0,11,11.034645,1.0,46.05717336460156,34.681118,0.0,0.41250103314420583,0.33938384,1.0
37,0.27294368486642673,0.51460975,1.0,0.5434487809863968,0.55481064,1.0,0.7189610190623646,0.82682383,1.0,7,5.935293,0.0,0.6599987797547812,0.95046216,1.0,0.006130976388823343,0.0072932537,1.0
38,0.3300430446656797,0.3017959,1.0,0.6908547125202464,0.69479173,1.0,0.5828430142248322,0.5756864,1.0,6,5.1682596,1.0,2.0934647910569386,2.7172592,1.0,0.01352464042981806,0.014307365,1.0
39,0.6183959644275332,0.5627496,1.0,0.5262805573414782,0.6583301,1.0,0.5871022089019429,0.8117045,1.0,9,10.396281,1.0,46.61259608362259,36.215286,1.0,0.06728740260422618,0.018130928,0.0
40,0.9756959869919112,0.56669277,1.0,0.5297593951412805,0.6540738,1.0,0.7677775854009348,0.80542094,1.0,12,10.322701,1.0,23.13125988551848,35.627907,1.0,0.012170499917834464,0.01733874,1.0
41,0.5269652402362698,0.55061424,1.0,0.6176208010985278,0.6549038,1.0,0.5088209177706164,0.7463294,0.0,12,12.172542,1.0,0.7998102644120848,6.961451,1.0,0.3777954450970112,0.3280901,1.0
42,0.8586316505691803,0.64666486,1.0,0.5176579305143738,0.5344047,1.0,0.9746528537031354,0.7685447,1.0,9,7.664041,1.0,21.413131554617596,25.88251,1.0,0.04966005717204243,0.061297312,1.0
43,0.8586140255299342,0.83108205,1.0,0.8854909360290217,0.85083324,1.0,0.9177172023232321,0.81776166,1.0,11,9.725466,0.0,5.045251086481116,6.2751594,1.0,0.005760773040668205,0.0109115755,1.0
