case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.6867593078504399,0.708841,1.0,0.6060718613226298,0.59727275,1.0,10,10.136621,1.0,54.203415370304704,58.909767,1.0,4.527300416864747,6.7709594,1.0,9.448925602234612,5.664991,1.0,0.20405272351631373,0.14521506,1.0
1,0.6076265600672972,0.60637313,1.0,0.7760290542655943,0.7604589,1.0,10,10.407556,1.0,86.24954863489322,52.023514,1.0,2.5753463305784736,2.9151044,1.0,24.596148414968948,22.712683,1.0,0.22180985828002087,0.21690544,1.0
2,0.610754077609489,0.6032687,1.0,0.6671888610206318,0.65282035,1.0,5,4.672839,1.0,38.35418214852422,46.188507,1.0,10.679340265139315,8.453799,1.0,6.253285447248032,4.7762074,1.0,0.027557773262281048,0.02012096,1.0
3,0.9543338880945749,0.9590119,1.0,0.9658467453915539,0.89996547,1.0,11,11.024484,1.0,64.27417403765686,49.71864,1.0,5.781977590395922,6.8189178,1.0,3.111912034043442,3.5651004,1.0,0.099465168200971,0.11921219,1.0
4,0.8053643103268924,0.7941951,1.0,0.6591588906602881,0.58543897,0.0,5,5.0517287,1.0,28.18122710996939,58.431534,1.0,11.814040735176013,15.324973,1.0,21.42804118196947,28.164371,1.0,0.214696088117878,0.26849768,1.0
5,0.6975650137172561,0.67693645,0.0,0.9124104631733898,0.8428558,1.0,5,4.937015,1.0,26.01103323980876,47.13728,1.0,1.073136045623604,1.7474719,1.0,2.722940878186483,3.0363564,1.0,0.023502861622219137,0.0351995,1.0
6,0.9293662732996855,0.84832346,1.0,0.5637251823036258,0.6074466,0.0,14,13.495817,1.0,77.31145079318696,55.960445,1.0,24.72123745948359,29.265848,1.0,1.0425279325427068,13.184125,0.0,0.01116612105234033,0.02336613,1.0
7,0.8957617136400875,0.8813685,1.0,0.8775133663807878,0.81350815,1.0,6,5.814787,1.0,97.5901334451141,54.74848,0.0,2.7134535691965453,7.7171564,1.0,1.9409624960477032,4.228835,1.0,0.03624080803993841,0.101817004,1.0
8,0.5724866734844924,0.61219764,1.0,0.9075950262269014,0.7832886,1.0,16,15.802611,1.0,67.10235056876435,57.031246,1.0,1.427512397051852,3.3336904,1.0,4.963447721062956,6.2317777,1.0,0.16678849147201055,0.27807984,1.0
9,0.7998934341343729,0.67724574,1.0,0.7321550507422754,0.83007604,1.0,7,10.110328,1.0,88.18176317845803,59.287148,1.0,40.16619435131702,29.07849,1.0,23.917356528445954,15.840577,1.0,0.033613000484203466,0.060576186,1.0
