case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.6867593078504399,0.7011829,1.0,0.6060718613226298,0.73454165,1.0,0.5086101504468089,0.27021754,1.0,0.4911490596700523,0.5766068,1.0,9,9.106684,1.0,9.448925602234612,6.7428718,1.0,0.20405272351631373,0.2362362,1.0
1,0.6076265600672972,0.6256851,1.0,0.7760290542655943,0.794808,1.0,0.48612474596255284,0.4904876,1.0,0.8472172070543691,0.8922156,1.0,7,7.009658,1.0,24.596148414968948,29.371065,1.0,0.22180985828002087,0.24306525,1.0
2,0.610754077609489,0.6235961,1.0,0.6671888610206318,0.7523119,1.0,0.09412239452380877,0.28325042,1.0,0.3150464683169357,0.3045411,1.0,11,9.764789,0.0,6.253285447248032,6.6478915,1.0,0.027557773262281048,0.027962705,1.0
3,0.9543338880945749,0.9400456,1.0,0.9658467453915539,0.74444735,0.0,0.5681042658346981,0.53252476,1.0,0.6030463781961873,0.57434547,1.0,9,8.917891,1.0,3.111912034043442,4.33596,1.0,0.099465168200971,0.11343857,1.0
4,0.8053643103268924,0.8826711,0.0,0.6591588906602881,0.6868318,1.0,0.10566027589247218,0.36201206,1.0,0.20201363455521548,0.24399717,1.0,12,12.238432,1.0,21.42804118196947,27.140816,1.0,0.214696088117878,0.27586323,1.0
5,0.6975650137172561,0.6870685,1.0,0.9124104631733898,0.84564936,1.0,0.0936763998676694,0.08466874,1.0,0.17790036933120845,0.18219814,1.0,4,4.5802193,0.0,2.722940878186483,2.1226263,1.0,0.023502861622219137,0.023317238,1.0
6,0.9293662732996855,0.8844417,0.0,0.5637251823036258,0.7245742,1.0,0.8158859153123948,0.79692674,1.0,0.7479050088131886,0.5109566,1.0,14,14.539595,1.0,1.0425279325427068,1.2210511,1.0,0.01116612105234033,0.024603302,0.0
7,0.8957617136400875,0.93233764,0.0,0.8775133663807878,0.71712124,1.0,0.20619649655991423,0.2596591,1.0,0.9732237049457123,0.69505703,1.0,7,7.080217,1.0,1.9409624960477032,1.8828316,1.0,0.03624080803993841,0.025890332,1.0
8,0.5724866734844924,0.6248431,1.0,0.9075950262269014,0.73297143,1.0,0.9660389539443145,0.6578875,1.0,0.6344705618751595,0.55214447,1.0,5,5.1041646,1.0,4.963447721062956,12.691276,1.0,0.16678849147201055,0.36247176,0.0
9,0.7998934341343729,0.88870835,1.0,0.7321550507422754,0.7312433,1.0,0.28101497325606617,0.3794046,1.0,0.8686862575384225,0.79226947,1.0,15,13.163056,0.0,23.917356528445954,22.215876,1.0,0.033613000484203466,0.027735898,1.0
10,0.6320555638230638,0.6647348,1.0,0.6637050477637432,0.72189385,1.0,0.22505369356773564,0.26842478,1.0,0.25277096352554584,0.54806775,1.0,13,13.103309,1.0,2.8727888003378688,3.7823405,1.0,0.16109393686974216,0.18764804,1.0
11,0.582056267169052,0.61914253,1.0,0.9091069802616829,0.8714985,1.0,0.8652519689516066,0.8745256,1.0,0.12871046874897818,0.17700958,1.0,7,7.3332076,1.0,1.1863511610189965,2.147115,0.0,0.015109275943455491,0.022646707,1.0
12,0.6685728484546222,0.64810437,1.0,0.7771028682310748,0.816116,1.0,0.9383343559460687,0.87029284,1.0,0.5137898302951656,0.53333557,1.0,6,5.464306,1.0,2.5211204520090593,2.422621,1.0,0.011486717892898056,0.012210996,1.0
13,0.5162283900138438,0.5888004,1.0,0.6393602580926314,0.72714627,1.0,0.19950919569986858,0.7467363,1.0,0.5441553448582162,0.50406295,1.0,10,10.13594,1.0,5.102782789725789,4.5505295,1.0,0.1740017078047245,0.20983127,1.0
14,0.5594645996513126,0.5581834,1.0,0.9664111379291598,0.80776244,1.0,0.5023453488166133,0.5026618,1.0,0.13224671019806555,0.3536673,1.0,13,9.79534,0.0,23.21495473084798,27.474512,1.0,0.028394959310686536,0.028292164,1.0
15,0.5491299121959075,0.5735568,1.0,0.7068382909063512,0.7177499,1.0,0.17829379519102884,0.553164,1.0,0.8231193168526024,0.7369825,1.0,7,6.270339,1.0,10.088254325035054,9.364121,1.0,0.061920435643287794,0.049827132,1.0
16,0.8657205154726515,0.8384203,1.0,0.6372559238544928,0.7375116,1.0,0.39660288807607913,0.34231636,1.0,0.78456169966543,0.48285878,1.0,15,15.042799,1.0,2.190700706353506,2.7549195,1.0,0.09722883605910347,0.11198425,1.0
17,0.9176783821063716,0.90322345,1.0,0.7131357774687996,0.69545245,1.0,0.5608195147012082,0.61152965,1.0,0.498307142453034,0.5700723,1.0,16,15.712329,0.0,1.0709215395646188,3.4600759,0.0,0.05299787031467953,0.076719575,0.0
18,0.8947628160404218,0.81404406,0.0,0.767074810243914,0.7135149,0.0,0.8014917503098228,0.58798385,0.0,0.27998536383012185,0.19104445,1.0,10,9.949786,1.0,7.756914960373882,7.5792394,1.0,0.10813630424393675,0.10289783,1.0
19,0.8241364391450725,0.87310034,1.0,0.7856029376914928,0.84965986,1.0,0.3332255681123918,0.29182592,1.0,0.2904024862242983,0.31581348,1.0,15,14.035721,0.0,9.30927669771766,13.677541,1.0,0.01654133641916693,0.042294707,1.0
20,0.8064508974201618,0.89395833,1.0,0.7621345736252552,0.7527296,1.0,0.1219440038915367,0.312248,1.0,0.09160291898081419,0.06966686,1.0,8,7.839873,1.0,41.17777846057801,35.801308,1.0,0.1851366668643709,0.15746696,1.0
21,0.7279950087529012,0.63963515,1.0,0.5978783082619965,0.74297386,1.0,0.6606620845048405,0.64654356,1.0,0.8194239085924443,0.50605917,1.0,14,14.155594,1.0,7.002986440796281,3.7298603,1.0,0.23088448450688043,0.18061449,1.0
