case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.37351861570087996,0.51155436,1.0,0.6060718613226298,0.7213333,1.0,0.7543050752234044,0.6970045,1.0,10,10.074111,1.0,0.14390144111629083,17813.457,1.0,0.527602229024975,235.7212,1.0,0.012040545803227986,0.013523653,1.0
1,0.21525312013459452,0.4417386,1.0,0.7760290542655943,0.8387256,1.0,0.7430623729812764,0.7940589,1.0,14,13.377769,1.0,0.053142698546825275,0.09791889,1.0,2.857323268413443,4.0990267,1.0,0.013747200931281655,0.021879751,1.0
2,0.22150815521897793,0.21114646,1.0,0.6671888610206318,0.6789712,1.0,0.5470611972619044,0.56598634,1.0,8,8.615529,1.0,0.6549057171640048,0.6775698,1.0,0.2545356588410565,0.38229218,1.0,0.0005004587093420826,0.0012827693,1.0
3,0.9086677761891497,0.7696915,1.0,0.9658467453915539,0.756372,0.0,0.7840521329173491,0.7540502,1.0,11,11.323665,1.0,0.22164402025636956,0.49500367,1.0,0.07422935074879268,0.07031118,1.0,0.0038449625443053178,0.0068361885,1.0
4,0.6107286206537846,0.6487378,1.0,0.6591588906602881,0.7161699,1.0,0.5528301379462361,0.5539772,1.0,6,6.440911,1.0,0.7827357697288077,0.456286,1.0,2.2398376834325346,1.4073621,1.0,0.013053441909490317,0.007064267,1.0
5,0.3951300274345122,0.4889947,1.0,0.9124104631733898,0.7733742,1.0,0.5468381999338348,0.6884231,1.0,6,6.2461734,1.0,0.011327380030738226,0.07780853,0.0,0.05863810356049263,0.22946714,1.0,0.0003886506612334879,0.00522019,0.0
6,0.8587325465993708,0.6912649,1.0,0.5637251823036258,0.56639147,1.0,0.9079429576561975,0.83176064,1.0,13,12.398773,1.0,2.883032649301897,3.106,1.0,0.010763135840139956,0.10919788,0.0,0.00011915088067575896,0.00262504,0.0
7,0.791523427280175,0.4043162,0.0,0.8775133663807878,0.7804353,1.0,0.6030982482799572,0.679178,1.0,16,15.832704,1.0,0.05827782337987475,0.1668277,1.0,0.03225326482865194,0.14225681,1.0,0.0007732807804145205,0.005544508,1.0
8,0.14497334696898478,0.52048475,1.0,0.9075950262269014,0.71938366,1.0,0.9830194769721572,0.726886,0.0,12,12.195859,1.0,0.01874793398026249,0.11273564,1.0,0.1692768359781225,0.13735807,1.0,0.008740235781357183,0.008161015,1.0
9,0.5997868682687458,0.61802477,1.0,0.7321550507422754,0.76068544,1.0,0.6405074866280331,0.68668896,1.0,14,12.842969,0.0,6.7929477297476,6.011665,1.0,2.719557638287335,3.1297393,1.0,0.0006861281037906426,0.0008285695,1.0
