case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.37351861570087996,0.10438922,0.0,0.6060718613226298,0.5906294,1.0,0.7543050752234044,0.63173056,1.0,10,10.41481,1.0,0.14390144111629083,0.0875908,1.0,0.527602229024975,0.77394885,1.0,0.012040545803227986,0.014951056,1.0
1,0.21525312013459452,0.39335904,1.0,0.7760290542655943,0.86796254,1.0,0.7430623729812764,0.74036497,1.0,14,12.710996,1.0,0.053142698546825275,0.37172076,1.0,2.857323268413443,3.2948706,1.0,0.013747200931281655,0.014116301,1.0
2,0.22150815521897793,0.16999485,1.0,0.6671888610206318,0.6549381,1.0,0.5470611972619044,0.55994827,1.0,8,7.847601,1.0,0.6549057171640048,3.638719,0.0,0.2545356588410565,0.44259167,1.0,0.0005004587093420826,0.0016185605,1.0
3,0.9086677761891497,0.90641135,1.0,0.9658467453915539,0.96535605,1.0,0.7840521329173491,0.70467836,1.0,11,11.440851,1.0,0.22164402025636956,0.71910274,1.0,0.07422935074879268,0.17750053,1.0,0.0038449625443053178,0.0068707713,1.0
4,0.6107286206537846,0.52206916,1.0,0.6591588906602881,0.669469,1.0,0.5528301379462361,0.5339056,1.0,6,5.564385,1.0,0.7827357697288077,2.415315,1.0,2.2398376834325346,2.5139537,1.0,0.013053441909490317,0.012984756,1.0
5,0.3951300274345122,0.31725526,1.0,0.9124104631733898,0.8602166,0.0,0.5468381999338348,0.6943661,1.0,6,5.8726106,1.0,0.011327380030738226,1.6672788,0.0,0.05863810356049263,0.06223565,1.0,0.0003886506612334879,0.0024956893,1.0
6,0.8587325465993708,0.8934263,1.0,0.5637251823036258,0.6297659,1.0,0.9079429576561975,0.77101463,1.0,13,13.122199,1.0,2.883032649301897,2.851828,1.0,0.010763135840139956,0.043198578,0.0,0.00011915088067575896,0.0013083613,0.0
7,0.791523427280175,0.5385084,1.0,0.8775133663807878,0.7643656,0.0,0.6030982482799572,0.78171444,1.0,16,14.142281,0.0,0.05827782337987475,0.14825216,1.0,0.03225326482865194,0.10490502,1.0,0.0007732807804145205,0.00093489717,1.0
8,0.14497334696898478,0.13686441,1.0,0.9075950262269014,0.9004896,1.0,0.9830194769721572,0.97292334,1.0,12,12.022671,1.0,0.01874793398026249,1.6216055,1.0,0.1692768359781225,0.062510625,1.0,0.008740235781357183,0.005588142,1.0
9,0.5997868682687458,0.38058788,1.0,0.7321550507422754,0.6974749,1.0,0.6405074866280331,0.62709993,1.0,14,13.474906,1.0,6.7929477297476,4.959767,1.0,2.719557638287335,3.55371,1.0,0.0006861281037906426,0.0013044783,1.0
10,0.26411112764612754,0.30333984,1.0,0.6637050477637432,0.65456736,1.0,0.6125268467838678,0.550314,1.0,7,7.1928525,1.0,1.4775155627009176,3.4245589,1.0,0.0644557325764611,0.11973474,1.0,0.00827096616329852,0.007934327,1.0
11,0.16411253433810402,0.12617563,1.0,0.9091069802616829,0.8947471,1.0,0.9326259844758034,0.8690658,1.0,6,6.2112436,1.0,0.05679770923063066,1.2643632,1.0,0.013522094686439943,0.045611504,1.0,0.00019263935562811345,0.0036959595,0.0
