case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.7361236659749943,0.75871253,1.0,0.8254476433283428,0.83485276,1.0,4,4.6754317,1.0,63.42086786115335,37.528427,1.0,2.2980156856669094,7.2909846,1.0,1.1275922959613394,4.0498786,1.0,3.7697541089499134,13.861024,1.0,0.025451766141768604,0.07997025,1.0
1,0.6998949357590776,0.7154894,1.0,0.972048241842838,0.9582801,1.0,4,5.732505,0.0,10.510700132741777,29.475792,1.0,49.127468635701476,14.765527,0.0,11.227621741883276,2.792981,0.0,11.867348164497756,10.393736,1.0,0.4784717187044037,0.12365371,0.0
2,0.8851151245672666,0.8787643,1.0,0.8104541390605113,0.8388981,1.0,11,11.004943,1.0,95.50764648039436,60.890408,0.0,12.72668962360665,21.11058,1.0,23.04675105921967,11.891695,1.0,16.542362606696898,22.502007,1.0,0.024371529223714956,0.035456218,1.0
3,0.8810885264081241,0.8311925,1.0,0.5652749085004376,0.5350678,1.0,5,5.14524,1.0,95.84463907893125,53.47034,0.0,19.263064358996793,29.138668,1.0,2.9568853567535673,2.889961,1.0,26.640866661504237,26.31514,1.0,0.08983652995142198,0.12254384,1.0
4,0.5050867130073085,0.5314491,0.0,0.8086573556391844,0.883212,1.0,7,7.285209,1.0,47.12643657172669,55.698498,1.0,6.684465586094923,11.350909,1.0,39.054849473054716,13.9265585,0.0,41.55441841021216,14.295537,0.0,0.04692268381597134,0.17868656,1.0
5,0.6200995783364095,0.65870667,0.0,0.8450129687889598,0.94302195,0.0,8,7.4783487,1.0,53.77824672095315,68.13579,1.0,24.796129814384194,31.99565,1.0,16.310829113364363,8.685903,1.0,23.757241922291566,14.9825535,1.0,0.027780087795991584,0.07051743,1.0
6,0.9432048818219834,0.9362378,1.0,0.5831153290826148,0.70273805,1.0,11,11.658684,0.0,23.379762288358624,55.537594,1.0,2.4149188975509284,8.394008,1.0,1.1538048990558272,2.222812,1.0,31.986288792605592,13.837753,1.0,0.3109719616398294,0.3404292,1.0
7,0.5815827058639353,0.59366184,1.0,0.5582049586377482,0.61341774,1.0,16,15.873098,1.0,38.95111675946662,56.43154,1.0,2.373201781922501,5.9924326,1.0,14.172414588728408,8.1105995,1.0,10.076768465196324,13.970641,1.0,0.3523560162290949,0.17974009,1.0
8,0.9952897871684727,0.9901731,1.0,0.6574712262550503,0.77142125,1.0,15,14.845522,1.0,67.83191889388704,64.75084,1.0,6.272016219613636,13.914826,1.0,2.4970299714954933,5.7121034,1.0,1.392469097946537,12.813225,1.0,0.15803551541363228,0.2625733,1.0
9,0.9762995698700562,0.94434255,1.0,0.6964429552402573,0.70451087,1.0,6,5.6016097,1.0,22.99234523885101,57.84888,1.0,10.784988505591578,2.957691,0.0,47.370239164341044,26.689922,0.0,32.15268927286979,17.013317,1.0,0.36228709550060056,0.19057383,0.0
10,0.8636260177938213,0.7991836,0.0,0.61581663292294,0.6368291,1.0,12,11.33591,1.0,97.44848753753747,53.043602,0.0,2.080586139449658,3.5693257,1.0,5.609383283569544,27.110235,0.0,29.070168936039185,24.436409,1.0,0.02987357414056497,0.12630534,1.0
11,0.8140548979054608,0.8093386,1.0,0.5062397099509193,0.5417638,1.0,12,6.9307613,0.0,18.003263601568275,42.11024,1.0,22.478849116234954,19.242302,1.0,9.148498687449838,3.0239053,0.0,4.7259275310935935,23.063572,1.0,0.06665949682740197,0.032711912,1.0
12,0.6104816757938357,0.6385788,0.0,0.6189316855340803,0.63648754,1.0,10,10.752615,1.0,39.16200650718209,49.42681,1.0,6.451518646065478,4.8782606,1.0,26.588216772832986,14.324226,0.0,3.4712475005188703,2.8013744,1.0,0.4706843921179087,0.3077548,1.0
13,0.9905571713235244,0.9856863,1.0,0.59057829039483,0.7096685,1.0,8,8.380412,1.0,13.780460863039593,51.97426,0.0,2.2426549531166637,6.832636,1.0,2.5059834655961084,5.5477643,1.0,1.901291994306144,13.916392,1.0,0.2338939049234652,0.29787734,1.0
14,0.6089325767884738,0.6626347,0.0,0.5110800734786711,0.71378636,0.0,6,6.239149,1.0,39.657478087284396,52.785038,1.0,7.294277434087347,7.071603,1.0,2.2445108562546627,3.4538047,1.0,2.0460861812703564,12.534679,1.0,0.11581856088018777,0.2896302,1.0
15,0.8874726936559116,0.8454626,1.0,0.66230096156828,0.6411249,1.0,6,5.384214,1.0,95.54985257202823,74.27728,1.0,26.909348639694755,24.535458,1.0,10.011218619121895,23.783709,1.0,41.7506476738835,31.066896,1.0,0.036952680670729626,0.034002203,1.0
16,0.7161978046253894,0.8356148,0.0,0.8641110001103515,0.91849625,1.0,14,13.709392,1.0,58.66436510520895,71.47178,1.0,45.71863929920894,33.18877,1.0,41.88512796032778,10.423258,0.0,9.636657491586922,11.240036,1.0,0.07217445325818193,0.089686535,1.0
17,0.826345521819186,0.8553363,1.0,0.7693047313692978,0.76567155,1.0,4,4.572318,1.0,95.12145916990926,62.204353,0.0,10.25638961209213,17.422657,1.0,13.53307508221186,15.10072,1.0,14.53831403629559,28.917574,1.0,0.03967397914040958,0.054239582,1.0
18,0.7268758502944754,0.72611094,1.0,0.5586906640320979,0.5548931,1.0,10,10.835702,1.0,20.689335908158668,66.83136,0.0,14.377948084791699,28.341629,1.0,1.5808862255839313,4.534163,1.0,2.1974508974023697,14.253338,1.0,0.10444426823595274,0.22335644,1.0
19,0.9954132892041081,0.8690352,0.0,0.8541357610636503,0.9149121,1.0,9,5.9009423,0.0,93.73132587702673,27.796581,0.0,6.899408548593257,14.850331,1.0,16.550598244214118,19.15256,1.0,8.713907643414718,4.6435394,1.0,0.03957654129932632,0.038241588,1.0
20,0.7951578305486591,0.8501612,1.0,0.8571542127104188,0.90046656,1.0,8,5.98197,0.0,11.78513057095515,41.47554,0.0,48.255431567850216,17.228445,0.0,20.470011172891063,6.040364,1.0,4.733759668446661,9.022054,1.0,0.25571980448274406,0.089335226,0.0
21,0.5484408369817124,0.53889656,1.0,0.6545853153410106,0.7038278,1.0,7,7.270265,1.0,78.86408204702713,53.098618,1.0,2.7745269121063894,8.673938,1.0,1.1964452674264123,5.0843487,1.0,3.1333908048743506,13.382869,1.0,0.2024360482850973,0.29861754,1.0
22,0.8877058877389299,0.8908884,1.0,0.5921627514975225,0.57137644,1.0,7,6.5793405,1.0,33.064966434346516,62.00823,1.0,1.2721004456057814,2.37973,1.0,35.24895384368277,27.209658,1.0,22.94557974400855,15.466979,1.0,0.011307505178094658,0.022429775,1.0
23,0.5346529982842639,0.55206037,1.0,0.6029049815711938,0.5719115,1.0,7,7.3704286,1.0,63.55480425420742,60.199085,1.0,1.3872352091718243,4.3606477,1.0,8.969699368005033,21.493437,1.0,4.297776158228914,21.447508,1.0,0.057479096976556246,0.21278748,1.0
