case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
0,0.7361236659749943,0.7280079,1.0,0.8254476433283428,0.8557109,1.0,0.033668832862460585,0.16124478,1.0,0.5935651984572594,0.45202404,1.0,7,5.314347,0.0,12.762667372896594,56.82258,0.0,3.7697541089499134,5.497039,1.0,0.025451766141768604,0.048814,0.0
1,0.6998949357590776,0.7877809,1.0,0.972048241842838,0.7532309,1.0,0.012380031361766575,0.35181504,0.0,0.005674445919353066,0.57975304,0.0,16,15.831871,1.0,65.6371797705996,66.215355,1.0,11.867348164497756,15.366481,1.0,0.4784717187044037,0.4128858,1.0
2,0.8851151245672666,0.9048505,1.0,0.8104541390605113,0.8278645,1.0,0.5596281269704974,0.6184389,1.0,0.9500849608932707,0.9421085,1.0,12,10.194037,0.0,82.18189471148723,72.58916,1.0,16.542362606696898,20.455946,1.0,0.024371529223714956,0.028150119,1.0
3,0.8810885264081241,0.81619287,1.0,0.5652749085004376,0.5587256,1.0,0.11630045890926177,0.19703811,1.0,0.9538293230992361,0.77581686,1.0,13,12.922021,1.0,34.941643278797955,52.968155,1.0,26.640866661504237,24.132013,1.0,0.08983652995142198,0.08386119,1.0
4,0.5050867130073085,0.69345754,1.0,0.8086573556391844,0.80429405,1.0,0.23065220916366613,0.5058377,1.0,0.4125159619080744,0.38997966,1.0,10,9.646795,1.0,94.31623088017916,61.902306,1.0,41.55441841021216,33.138794,1.0,0.04692268381597134,0.03986853,1.0
5,0.6200995783364095,0.8085258,1.0,0.8450129687889598,0.7957526,1.0,0.32317809782446894,0.4111868,1.0,0.48642496356614606,0.3624166,1.0,14,13.065446,0.0,74.22882282434587,64.375275,1.0,23.757241922291566,31.952364,1.0,0.027780087795991584,0.032647893,1.0
6,0.9432048818219834,0.8557584,0.0,0.5831153290826148,0.6810898,1.0,0.6004858566175735,0.45898482,1.0,0.14866402542620694,0.6877927,0.0,7,7.49021,0.0,13.29135538789563,44.382214,1.0,31.986288792605592,13.67753,0.0,0.3109719616398294,0.18178755,0.0
7,0.5815827058639353,0.62123376,1.0,0.5582049586377482,0.7411933,1.0,0.9707315401877613,0.71873635,1.0,0.3216790751051847,0.5401996,1.0,7,7.2074842,1.0,70.99574806367278,63.66619,1.0,10.076768465196324,8.36857,1.0,0.3523560162290949,0.3091747,1.0
8,0.9952897871684727,0.79113746,1.0,0.6574712262550503,0.74377394,1.0,0.947200820688463,0.9406998,1.0,0.6425768765987449,0.5125305,1.0,10,10.118352,1.0,31.052836643902182,52.008827,1.0,1.392469097946537,2.1863544,1.0,0.15803551541363228,0.081722915,0.0
9,0.9762995698700562,0.96455324,1.0,0.6964429552402573,0.7096228,1.0,0.17544992408787152,0.15458816,1.0,0.14435939154278898,0.16304162,1.0,11,10.89551,1.0,98.75701253248708,56.094643,0.0,32.15268927286979,20.883184,1.0,0.36228709550060056,0.23927394,1.0
10,0.8636260177938213,0.8491439,1.0,0.61581663292294,0.70880574,1.0,0.6652233853438287,0.41907007,1.0,0.9716498615281942,0.96301377,1.0,6,4.857947,1.0,49.672484070882334,64.05369,1.0,29.070168936039185,35.062916,1.0,0.02987357414056497,0.039904732,1.0
11,0.8140548979054608,0.84512377,1.0,0.5062397099509193,0.6436646,1.0,0.6305930120875758,0.657836,1.0,0.08892515112853638,0.59475285,1.0,14,13.566569,1.0,60.92584594700579,45.46193,1.0,4.7259275310935935,1.6273098,0.0,0.06665949682740197,0.038277216,0.0
12,0.6104816757938357,0.6598759,1.0,0.6189316855340803,0.7500022,1.0,0.5392323543374532,0.62726283,1.0,0.32402229452424547,0.53737974,1.0,10,10.099323,1.0,85.47044895094581,62.47291,1.0,3.4712475005188703,8.896684,1.0,0.4706843921179087,0.32144436,1.0
13,0.9905571713235244,0.98612463,1.0,0.59057829039483,0.67618364,1.0,0.3679072076253105,0.4130067,1.0,0.042005120700439935,0.55175394,0.0,6,5.990917,1.0,31.13518073707059,51.736195,1.0,1.901291994306144,4.5826344,1.0,0.2338939049234652,0.20827615,1.0
14,0.6089325767884738,0.6678667,1.0,0.5110800734786711,0.7443663,0.0,0.19938732911932633,0.35139924,1.0,0.32952753430315995,0.49839568,1.0,10,10.143379,1.0,28.600065833932454,42.93174,1.0,2.0460861812703564,2.2972271,1.0,0.11581856088018777,0.19436963,1.0
15,0.8874726936559116,0.87578994,1.0,0.66230096156828,0.774022,1.0,0.1924861766308651,0.49932906,1.0,0.9505539174669804,0.95301104,1.0,14,11.927953,0.0,62.99906699433018,53.13425,1.0,41.7506476738835,31.91901,1.0,0.036952680670729626,0.020851368,0.0
16,0.7161978046253894,0.68383324,1.0,0.8641110001103515,0.8808363,1.0,0.813188475936813,0.6454722,1.0,0.540715167835655,0.48542938,1.0,16,15.226615,0.0,95.92581729995787,59.194576,0.0,9.636657491586922,12.693397,1.0,0.07217445325818193,0.09185078,1.0
17,0.826345521819186,0.7961707,1.0,0.7693047313692978,0.6141334,0.0,0.009283259732995819,0.1213311,1.0,0.9457939907767695,0.7636341,1.0,11,9.921066,0.0,69.93377396791365,57.701378,1.0,14.53831403629559,16.110945,1.0,0.03967397914040958,0.039513007,1.0
18,0.7268758502944754,0.747578,1.0,0.5586906640320979,0.7282008,1.0,0.5054054041160523,0.5298156,1.0,0.11877039897954078,0.5503681,1.0,12,12.094759,1.0,20.536416383092423,42.60427,1.0,2.1974508974023697,2.0358176,1.0,0.10444426823595274,0.12411891,1.0
19,0.9954132892041081,0.9288134,0.0,0.8541357610636503,0.8720708,1.0,0.4199507736701681,0.48436248,1.0,0.9303480653002971,0.914151,1.0,10,9.02475,1.0,74.56454935122095,66.54043,1.0,8.713907643414718,5.489175,0.0,0.03957654129932632,0.019200096,0.0
20,0.7951578305486591,0.8125338,1.0,0.8571542127104188,0.72302914,1.0,0.3383342526211245,0.34135303,1.0,0.019834784121723903,0.5645101,0.0,16,15.804988,1.0,79.45421453738179,51.077305,1.0,4.733759668446661,4.1649942,1.0,0.25571980448274406,0.25235233,1.0
21,0.5484408369817124,0.5963795,1.0,0.6545853153410106,0.72537243,1.0,0.28595620173233516,0.5980559,1.0,0.7651564671891903,0.50021404,1.0,7,7.0700507,1.0,14.12623839011442,40.21047,1.0,3.1333908048743506,1.6202192,0.0,0.2024360482850973,0.13244057,1.0
22,0.8877058877389299,0.8598817,1.0,0.5921627514975225,0.7658081,0.0,0.24977923586084627,0.3689808,1.0,0.2562774048260724,0.45164964,1.0,5,4.420964,0.0,91.95739802944053,43.64758,0.0,22.94557974400855,29.000254,1.0,0.011307505178094658,0.037050635,0.0
23,0.5346529982842639,0.62767905,1.0,0.6029049815711938,0.7379226,1.0,0.2777205942540647,0.6433339,1.0,0.5950533806023046,0.51387733,1.0,5,5.0085626,1.0,60.471762090180825,41.77582,1.0,4.297776158228914,3.803243,1.0,0.057479096976556246,0.18093082,0.0
24,0.9339701544772008,0.9243053,1.0,0.8895839805708722,0.7471066,1.0,0.5199343226212423,0.56426865,1.0,0.20238155888883214,0.524781,1.0,9,9.011423,1.0,33.9758232154458,51.14533,1.0,1.9678229308542625,5.760645,1.0,0.42499317328246056,0.23672543,0.0
25,0.7036763606331353,0.87383384,1.0,0.8585232638828217,0.7855355,1.0,0.13777242529220612,0.38448775,1.0,0.15086843583313247,0.20308712,1.0,7,6.244345,0.0,41.778198994742816,60.41126,1.0,17.59791633310988,25.452263,1.0,0.023964469267011682,0.0288058,1.0
26,0.9383110085982893,0.71374667,0.0,0.6762186683173084,0.5969454,1.0,0.9956350713652907,0.8598068,1.0,0.3504074227322336,0.5606576,1.0,12,10.385212,0.0,37.36694470658752,58.12163,1.0,11.715829472799596,18.327057,1.0,0.017582242824013807,0.025216267,1.0
27,0.5004467103846033,0.60559416,1.0,0.9766783913266162,0.92264867,1.0,0.17702645218205504,0.71666205,1.0,0.3582556956422439,0.4185908,1.0,15,15.305469,1.0,61.91892366647947,63.15178,1.0,24.523761801460818,29.748442,1.0,0.288296833746743,0.34563377,1.0
28,0.9605976664943728,0.9576091,1.0,0.8811408113531494,0.7301748,1.0,0.6919357376276709,0.697502,1.0,0.9500712283522963,0.5589856,1.0,9,8.974541,1.0,70.77529229935949,50.867046,1.0,8.154807673051682,4.4864297,1.0,0.1448947131000959,0.17061244,1.0
29,0.808076261787126,0.8100796,1.0,0.9783662948847347,0.72909176,0.0,0.11902843800173868,0.16717951,1.0,0.7004085705060377,0.50712025,1.0,13,13.043413,1.0,12.060345184753267,54.174515,0.0,1.2291653267284668,4.725326,1.0,0.28712623815323146,0.32923356,1.0
30,0.8458763915028988,0.9371486,1.0,0.5010463642794816,0.6304774,0.0,0.9950072080418686,0.99789745,1.0,0.0006104755683409291,0.69457346,0.0,7,6.6528096,1.0,69.71450779969561,78.31861,1.0,5.650346744401579,2.4741726,0.0,0.07603342439454011,0.048819363,1.0
