case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing
0,0.3838738118921833,0.63795537,1.0,0.5274681724709782,0.68940926,1.0,0.7944536388388209,0.7852047,1.0,0.8735904543773518,0.8899455,1.0,12.130807997841568,12.129734,1.0,61.997342697112714,30.22575,1.0,0.150481541017822,0.488148,1.0,0.0002364643451387228,0.001444175,1.0,0.012382135276100917,0.06847321,1.0,0.07450351166994373,254025.44,1.0
1,0.8839861935098836,0.61252946,1.0,0.5199479914473022,0.67511886,1.0,0.11717156191815958,0.504009,1.0,0.7088590362925054,0.72502184,1.0,12.250070066627927,12.241715,1.0,40.922327310273744,76.37399,1.0,0.3129238386818068,0.14855112,1.0,0.04948084023272822,0.033232044,0.0,0.6921059748609905,0.14753953,0.0,0.8280218015258164,0.35845187,1.0
2,0.4743912454867174,0.46174487,1.0,0.9140457873157255,0.91398007,1.0,0.8070420397712706,0.6192439,1.0,0.6276817378958872,0.5755217,1.0,14.511871853377452,14.740123,1.0,69.25358619467133,50.657608,1.0,1.540179024180456,0.7443796,1.0,0.008315239137924839,0.0017019772,0.0,1.1293085719281937,0.7225642,1.0,0.8005467749838664,137.69255,1.0
3,0.8727909680212564,0.6335231,0.0,0.9190343803544386,0.78944165,0.0,0.8529897406239461,0.44278565,1.0,0.7561941478291884,0.7635668,1.0,11.918191240862743,11.979507,1.0,10.661547830252193,34.18962,0.0,0.3576305388476516,0.1629913,1.0,0.00023535267557235262,0.0066406727,0.0,0.7614108871143389,0.9176755,1.0,0.021113469609503995,0.12604748,1.0
4,0.5312019186212737,0.44181302,1.0,0.822033002367452,0.79967123,1.0,0.510323783505929,0.4914429,1.0,0.5995525911234657,0.7391244,1.0,13.59602534304261,13.582814,1.0,29.23710353367457,35.629795,1.0,0.05527997735110736,0.2158368,1.0,0.015630861452578085,0.018782943,1.0,0.05486059564819721,0.10182837,1.0,1.6140635136074808,0.3703312,0.0
5,0.2546624994038176,0.5234221,1.0,0.5252114708875666,0.59533226,1.0,0.08033813831363434,0.24554007,0.0,0.6907513120321653,0.7668008,1.0,9.655586781472719,9.6631975,1.0,99.78526167485664,34.92147,0.0,0.15207198459836221,0.5040396,1.0,0.0007968545235465712,0.0018932024,1.0,0.5529100402181393,0.31552884,1.0,0.8298290452612346,0.18313608,0.0
6,0.3392419539700816,0.5250388,1.0,0.5460910921977257,0.73979163,0.0,0.8692399163932957,0.5092953,1.0,0.5402389214243668,0.7184757,1.0,13.545783345637666,13.538094,1.0,17.847959625669883,29.737137,1.0,0.018715721944541512,0.15917826,1.0,0.00011945958497712822,0.0014735464,1.0,0.2785969085657845,0.11099139,1.0,0.8395386238374486,0.3930517,1.0
7,0.36623039772959165,0.59396595,1.0,0.5595390257392375,0.650307,1.0,0.4414425585059568,0.51196814,1.0,0.790795250098919,0.7299392,1.0,15.729729760835067,15.7535715,1.0,20.80280657963736,26.676647,1.0,0.15118436267019228,0.15057944,1.0,0.00853585715099584,0.009318221,1.0,0.01000627208680867,0.08314746,0.0,0.03049211986305467,0.46113983,1.0
8,0.23574853474851443,0.60044533,1.0,0.810677375504053,0.67285264,1.0,0.4992609516725537,0.53654474,1.0,0.7651193040020825,0.73043114,1.0,5.694933174628336,5.704775,1.0,17.413028515512632,35.785362,1.0,0.29445201118928915,0.43140975,1.0,0.041745437552485526,0.023128174,1.0,0.02783215730050099,0.107802376,1.0,0.010273047962215887,0.43877864,0.0
9,0.05789404834681999,0.4099217,1.0,0.6887715264093022,0.82889915,0.0,0.6062273480195278,0.49418214,1.0,0.894334577969816,0.7169137,1.0,6.902406524316904,6.9184833,1.0,79.00827030238945,34.653214,1.0,0.03421234303215812,0.13578826,1.0,0.0016360393262624731,0.004185463,1.0,0.07569295994245781,0.20800714,1.0,0.016848056166917178,0.3592444,1.0
10,0.6503318495822474,0.37880442,0.0,0.9792760254059463,0.90011775,1.0,0.627161745069346,0.49768904,1.0,0.7225984019739051,0.7502384,1.0,14.920986226133438,14.93076,1.0,26.968173898086842,36.78895,1.0,0.1772778200891646,0.09442223,1.0,0.013860308047742492,0.009348804,1.0,0.2668750224738256,0.2928984,1.0,0.18899951213404276,0.3649549,1.0
11,0.8797077655417647,0.49062645,0.0,0.874278402243431,0.72898346,1.0,0.42829161559041196,0.6595296,1.0,0.6028954313780786,0.64661133,1.0,9.914470072530264,9.915298,1.0,15.524936085123116,35.027126,1.0,0.6696455404207772,0.6100601,1.0,0.00012933558554215085,0.0011103372,1.0,0.10674484127783168,0.15018891,1.0,0.047520169247581734,0.36676306,1.0
12,0.9777561756177464,0.5859357,0.0,0.9058889823115737,0.6487294,1.0,0.2964705540885215,0.55509204,1.0,0.7159136314804934,0.66832143,1.0,9.002448572420633,9.007104,1.0,21.07407846998043,27.567327,1.0,0.17957171724330703,0.25443685,1.0,0.0004482858703230252,0.00078560814,1.0,0.09404547456983806,0.16777375,1.0,0.035425663783303155,0.36743566,1.0
13,0.09925919439031394,0.62290126,1.0,0.7438591243192567,0.6426274,1.0,0.3406426417834397,0.4907313,1.0,0.9530167807208321,0.7360071,1.0,7.426481528087501,7.437682,1.0,19.46317318360128,30.228575,1.0,0.043900493915292264,0.16503908,1.0,0.030298638309826875,0.023165982,1.0,0.017538401583864036,0.11880691,1.0,0.4720969086712658,0.39135334,1.0
14,0.5723451817457028,0.37643224,1.0,0.8785998194851043,0.823038,1.0,0.896118543398266,0.8211615,1.0,0.9168760943789018,0.8802388,1.0,7.119583583458475,7.135688,1.0,96.78026047528239,42.34815,0.0,0.07889274538422524,0.5677166,0.0,0.00025239249091760674,0.0052694525,0.0,0.01415982211676426,0.13149045,0.0,0.15770257609547722,0.38770592,1.0
15,0.8975217503471823,0.49938032,1.0,0.9697704783614564,0.75945264,1.0,0.4893452984648715,0.5980595,1.0,0.5601609296359187,0.6660591,1.0,6.988788206301985,6.9918704,1.0,21.40884489061425,38.509605,1.0,0.08969059528875448,0.4874011,1.0,0.0017305167687646941,0.0045166533,1.0,0.08561031972986366,0.1555282,1.0,0.021488369318910832,0.39591682,1.0
16,0.5142186779537429,0.31930596,1.0,0.7762303434256563,0.7468329,1.0,0.3885670220852616,0.42115209,1.0,0.9837949342917947,0.90563476,1.0,15.93626996060728,14.227439,0.0,52.319690394998744,89.87287,1.0,1.1479233257117416,1.2102487,1.0,0.00035650315527150847,0.0005398517,1.0,0.8101222515342067,0.76270115,1.0,0.9932525297898409,0.6311071,1.0
