q_d_n,q_d,q_s_n,q_s,tau,inv_temp,cost_stop_error,cost_time,cost_go_error,cost_go_missing
0.14835393,0.72425056,0.041877627,0.9465822,8.017433,90.668945,0.94785154,0.012503999,1.133716,0.12706463
0.34691668,0.7818357,0.062194347,0.9693413,8.279468,64.47846,1.7475789,0.015990663,0.69459915,0.075387985
0.65905887,0.83083093,0.1093148,0.8184278,8.224379,38.71886,1.7018192,0.019767728,1.3807484,1.4446071
0.5064675,0.7621406,0.12923133,0.9400533,7.7964783,67.82141,1.5988446,0.018476902,0.9639324,0.06622619
0.0040911436,0.6935804,0.04924488,0.8869107,7.608711,92.99883,1.0154359,0.014798004,0.9208518,0.022701459
0.43163925,0.75591683,0.019600391,0.9682271,8.947473,70.088165,1.4237447,0.010737697,0.24348731,0.013250121
0.0115789175,0.7004638,0.13869445,0.9678012,7.268147,92.586815,0.73266816,0.007325787,0.39428157,0.014055943
0.17004633,0.74041474,0.032123685,0.8597417,7.846298,42.76644,1.8399254,0.018657086,0.9917586,0.011348986
0.16196537,0.73195827,0.02850771,0.8621859,6.132085,67.234665,1.6533717,0.013918662,0.92516154,0.0699494
-0.049286246,0.6904663,0.18195081,0.7616172,7.2329364,89.962166,1.1691697,0.01485811,1.0987749,0.115361795
0.1713947,0.7242435,0.04078543,0.9277701,8.198943,90.79186,1.3532722,0.016234009,0.59399945,0.38278526
0.7023971,0.80602103,0.0025436878,0.9746622,7.0209394,68.99984,1.4634098,0.016567739,0.97866124,0.083065666
0.16488469,0.72659415,-0.002494812,0.9426249,8.669193,95.55427,1.0502887,0.01380252,0.6537824,0.03504329
0.18729043,0.7342757,0.10364902,0.9912603,7.5000095,46.134777,1.1021233,0.012349045,1.181256,0.064773604
0.15007865,0.7085167,0.14079466,0.9756577,7.074998,73.65565,0.8486598,0.009212317,0.73136413,0.08733392
0.020562828,0.69390196,0.12477791,0.9922373,7.892836,45.161785,0.8237638,0.013538704,1.192449,0.06045473
0.21624327,0.73945105,-0.018683314,0.8185965,8.94175,39.054703,1.2978107,0.012207428,0.66073185,0.5398007
0.2551397,0.73739576,0.012578726,0.90352553,7.771399,49.682003,1.7631979,0.021208536,1.2903498,0.0096200565
0.033645093,0.7199638,0.055378556,0.9553485,7.6011877,54.927853,1.255458,0.010312137,0.5421347,0.52372986
0.09025788,0.7176324,0.08213556,0.996218,7.2327986,96.01107,1.4489077,0.019087845,1.0797395,0.7050232
0.47357166,0.7661427,0.05185902,0.84355986,8.279078,64.62615,1.804627,0.022817407,1.0859878,0.03354035
0.18327296,0.72810626,0.022197604,0.98799455,7.6583166,35.43917,1.300338,0.008206116,0.5833026,0.35218477
0.04557669,0.7274239,0.09272599,0.80514455,8.13262,82.52826,0.9573184,0.016078291,0.91868263,0.022277623
0.2653197,0.7489841,0.018828273,1.0055072,8.2899475,73.51722,1.1763192,0.012718994,0.59177566,0.047846433
0.26320064,0.7427721,0.13752544,0.9350865,7.2497163,44.727165,1.6018915,0.018478885,1.569988,0.07013267
0.25418937,0.7468415,0.0666368,0.9787583,7.076941,80.41083,1.4615786,0.014228725,0.7899226,0.024163712
0.32697725,0.74758196,0.14337914,0.89099836,7.4364853,61.977917,2.272869,0.02446087,1.2679864,0.019507088
0.27404928,0.74604964,0.11199546,0.9274262,8.893074,72.70005,0.74311775,0.010674476,0.6630563,0.15155739
0.08701861,0.73348993,0.018838286,0.77633154,7.4967113,72.81107,0.68953127,0.0060515353,0.4782139,0.03040835
0.4529893,0.7980527,0.050080538,0.89138204,7.922514,35.508472,2.132615,0.023306694,1.5269352,0.07186445
0.37788197,0.778649,0.06392455,0.85225254,8.653834,52.197666,1.4983901,0.015393976,0.7806647,0.0102897035
0.14424157,0.694564,-0.010465622,0.8539488,7.3923535,82.21047,1.185622,0.01903648,1.0318133,0.24196713
0.15633571,0.73277223,0.07203019,0.9273269,7.8607836,86.83624,1.4237814,0.016795887,0.86258477,0.038339254
0.025856555,0.7093435,0.12748933,0.9829607,7.218289,66.8456,0.43656248,0.0021797225,0.2780601,0.03696542
0.273175,0.75084955,0.18295485,0.9869838,7.738209,66.66486,0.91503954,0.008963886,0.6017337,0.028897079
0.1697222,0.70192546,0.08782649,0.9725903,7.5125227,95.455894,1.6479156,0.01799945,0.78667456,0.06443193
0.2208041,0.71442723,0.096238375,0.8794664,7.4716167,80.411476,1.9664577,0.026063591,1.4573821,0.089831755
0.012161255,0.7114767,0.08059299,0.8093913,7.818066,48.172703,1.8774381,0.023774017,1.5324963,0.03603584
0.16898811,0.71379554,0.099931955,0.9688939,7.6483097,96.61016,0.8037211,0.012568476,1.1508421,0.041674715
0.15132082,0.78022194,0.102923274,0.94894826,8.135569,96.24172,0.4302123,0.003027349,0.28657776,0.014475009
0.32285893,0.74424183,0.036606908,0.9751487,7.810371,74.85691,1.3340964,0.015324231,0.97325176,0.039464727
0.41105363,0.7584722,0.053462267,0.98833394,7.8079667,78.42502,1.2513222,0.014383797,0.89742535,0.032371316
0.23881304,0.7308724,0.04709637,0.9931773,8.170161,35.69431,1.6262258,0.020226898,1.1879894,0.09904643
0.4955929,0.7530851,0.03713417,0.9043896,8.968724,89.60934,1.6348474,0.018971246,0.6118418,0.06796046
0.14495277,0.72342634,0.10036135,0.8265524,7.9621153,38.024742,2.0183947,0.029748686,2.2678015,1.5946949
0.1786499,0.710012,0.15091999,0.8958658,7.6748943,95.511795,0.9907121,0.014144694,1.0557427,0.0112657435
0.089776814,0.7159301,0.09426057,0.89924955,7.253229,63.724174,1.5343688,0.02020227,1.2805885,0.014200197
0.38358638,0.77146363,0.09557617,0.8639921,8.656422,39.38714,1.3131334,0.012300654,0.5644873,0.15313703
-0.003774345,0.68547046,0.26385617,0.93836546,8.456406,95.0968,0.38079923,0.0062012966,0.50966895,0.0446299
0.19017863,0.7160183,0.061619997,1.0071526,8.418276,69.64455,1.0221475,0.014085015,0.8123986,0.013765325
0.1630007,0.7262176,0.0090812445,0.9553503,7.4884844,69.96225,0.54556364,0.0055443896,0.5466773,0.048005406
0.7445681,0.88644284,0.011032343,0.95101404,8.300343,75.26487,1.6375853,0.01788664,0.7932665,0.010670145
0.17670727,0.7991638,0.12713706,0.95687807,6.683944,91.04517,1.3338102,0.011035909,0.7503631,0.012470185
0.48386157,0.7526635,0.0146740675,0.96321905,8.482056,84.76577,1.0097779,0.012669897,0.6818279,0.17359047
0.15801835,0.73309845,0.0149902105,0.920007,7.5009756,77.95685,1.6251645,0.016497081,0.82846797,0.067637965
0.39468786,0.7742899,0.11654341,0.7810403,8.743571,51.293106,1.5705584,0.0122858705,0.34757265,0.2546535
0.24525964,0.75618815,0.11276114,0.8219247,8.679952,70.63033,1.3884195,0.015915217,0.8019058,0.098181866
0.22368777,0.7295586,0.06359041,0.96062076,8.111534,57.879505,0.8620428,0.010497254,1.0593922,0.06259466
0.09839451,0.712205,0.086307764,0.68396914,7.502591,95.55427,1.6671872,0.02635026,1.732784,0.08344012
0.4632276,0.7443924,0.07994294,0.96744543,8.476143,72.1686,1.5047725,0.019352946,1.0513616,0.6823422
0.009292603,0.71344805,0.20764682,0.97210896,7.986191,67.1408,0.88585794,0.01120326,0.780792,0.026136242
0.120529294,0.7108539,0.05177784,0.90488684,8.34728,70.08092,0.3147525,0.0015415335,0.21543415,0.07530553
0.15535462,0.73821056,0.043527365,0.9258026,8.283361,79.610634,0.9972971,0.012245257,0.94387394,0.01955726
0.12712121,0.7191438,0.19326454,0.8934095,7.890166,78.0313,0.9816047,0.013679985,1.1299498,0.091714785
0.42407444,0.99514115,0.13684702,0.91852534,7.504814,90.75317,1.1673003,0.008182067,0.038659558,0.3623038
-0.009211004,0.68201405,0.21685845,0.97035563,7.789435,80.74048,1.3594857,0.023661612,1.3904097,0.57582504
0.062942445,0.711432,0.12704849,0.98458695,7.088461,84.84159,1.5959554,0.024939656,1.6336294,0.041293334
0.2638564,0.71852994,0.112184644,0.86209697,8.009021,69.05086,1.0632298,0.011623202,0.66222376,0.03986418
0.33457053,0.78319645,0.05550468,0.9968772,8.738858,88.679634,1.1327356,0.013216821,0.5669769,0.042066544
0.19716144,0.7001603,0.0056495667,0.7309362,7.3108277,55.856564,1.8106141,0.027723392,1.5203935,0.0134279085
-0.016539574,0.70267344,0.015830874,0.9614835,7.784433,68.31134,1.2113978,0.015061679,1.1101557,0.012833172
0.16536033,0.6989776,0.09037244,0.90937185,7.7037954,60.10011,1.2657506,0.016756075,0.9259117,1.2240298
0.37752327,0.72516644,0.08694482,0.95071566,7.447502,94.816895,1.3119792,0.015829913,1.068757,0.00922342
0.016376078,0.67558616,0.014847279,0.9819249,7.932831,54.74087,1.462777,0.016896967,0.8891555,0.0214833
0.20425093,0.72555774,0.09983301,0.92261887,8.248404,80.76004,1.4041408,0.021954456,1.2915661,0.101489104
0.37228757,0.7531752,0.07270658,0.97177154,7.9573064,55.908073,1.4256223,0.01654251,1.0984579,0.17507508
0.10776746,0.7092401,0.0054388046,0.91045964,7.933941,56.208984,1.622702,0.02353575,1.9111061,0.08109061
0.06118101,0.7031716,0.63325393,0.89684,7.415347,93.43783,1.0652597,0.017256636,1.327609,0.027035015
0.27061903,0.7037573,0.04474914,0.9939774,7.3700705,83.29361,1.0666595,0.014987615,0.93033564,0.17104447
0.29389095,0.6971265,0.05669427,0.8870665,6.816271,74.67559,1.3018115,0.012777075,0.73112667,0.014302655
0.09530187,0.6661049,0.11024213,0.89024985,7.447962,75.16939,1.2047335,0.013869431,0.61318296,0.03998257
0.33645725,0.7334745,0.021422625,0.8956496,7.7953415,77.738716,0.93042123,0.013658364,1.0989169,0.035275668
0.7715282,0.9114276,0.09720969,0.842414,7.757603,54.789265,1.2136463,0.007458697,0.26550102,0.1236118
